rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Apple Pencil (2nd Generation): Pixel-Perfect Precision and Industry-Leading Low Latency, Perfect for Note-Taking, Drawing, and Signing documents. Attaches, Charges, and Pairs magnetically.",B07K1WWBJK,False,True,4.7,83086
1,"Apple Pencil (2nd Generation): Pixel-Perfect Precision and Industry-Leading Low Latency, Perfect for Note-Taking, Drawing, and Signing documents. Attaches, Charges, and Pairs magnetically.",B07K1WWBJK,False,False,4.7,83086
2,"Stylus Pen for iPad, 13 mins Fast Charging Apple iPad Pencil with Palm Rejection, Tilt Sensitivity, Work for 2018-2022 iPad Air 3/4/5, iPad Mini 5/6, iPad 6/7/8/9/10, iPad Pro 11"", iPad Pro 12.9""",B0BW8LQKL4,False,False,4.5,1191
3,"Apple Pencil (1st Generation): Pixel-Perfect Precision and Industry-Leading Low Latency, Perfect for Note-Taking, Drawing, and Signing documents.",B0BJLG69QR,False,False,4.7,121398
4,"Stylus Pen for iPad 9th&10th Generation-2X Fast Charge Active Pencil Compatible with 2018-2023 Apple iPad Pro11&12.9 inch, iPad Air 3/4/5,iPad 6-10,iPad Mini 5/6 Gen-White",B0831BF1FH,False,False,4.5,83862
5,"iPad Pencil 2nd Generation with Magnetic Wireless Charging,Stylus Pen for iPad,Same as Apple Pencil 2nd Generation,Compatible with iPad Pro 11 in 1/2/3/4,iPad Pro 12.9in 3/4/5/6,iPad Air 4/5,iPad Mini",B0BWYGFSMG,False,False,4.5,1179
6,"Stylus Pen for iPad 2018-2022 with Palm Rejection, Apple Pencil for Apple iPad 10th/9th/8th/7th/6th Generation, iPad Pro 11/12.9 inch, iPad Air 5th/4th/3th Gen, iPad Mini 6th/5th Gen",B0C7BZVJRF,False,False,4.3,379
7,"Stylus Pen for iPad W/Palm Rejection Tilt Sensitivity,13 Mins Fully Charged,MEKO Active Touch Screen Apple Pencil Compatible W/iPad 6/7/8/9/10,iPad Pro12.9&11"",iPad Air3/4/5,iPad mini5/6(1Pack+3Nibs)",B0C8H6S9X3,False,False,4.5,966
8,"Stylus Pen with Palm Rejection,Tilt Sensitive Pencil Compatible with Apple iPad 10th/9th/8th/7th/6th, Pro 11/12.9in, Air 5th/4th/3rd, Mini 6/5 Gen -for Painting Sketching",B0B11XZKBB,False,False,4.3,1517
9,"Stylus Pen for iPad with Palm Rejection, Apple Pencil for iPad 10th/9th/8th/7th/6th Gen, (2018-2023) iPad Pro 11/12.9, iPad Air 5th/4th/3rd Gen,iPad Mini 6/5 with 4ps Nibs",B0C2K51D9N,False,False,4.4,829
10,"iPad Pencil 1st Generation, Fast Charge Apple Pencil for iPad 2018-2023, Tilt & Palm Rejection, Magnetic iPad Pencil for iPad 6/7/8/9/10, iPad Mini 5/6, iPad Air 3/4/5, iPad Pro 11""/12.9"" 3/4/5/6",B0C6DTR1JD,False,False,4.1,623
11,"Stylus Pen for iPad Pencil, Compatible with Apple Pencil 2nd Generation with Magnetic Wireless Charging, for 2018-2023 iPad 10/9/8/7/6 iPad Pro iPad Mini 5/6 iPad Air 5/4/3…",B0CFYCY4LX,False,False,4.3,51
12,"Wireless Charging Apple Pencil 2nd Generation - iPad Stylus Pen with Palm Rejection Compatible with Apple iPad 10/9/8, iPad Mini 6, iPad Air 5/4, iPad Pro 11"" 3/2/1, iPad Pro 12.9"" 6/5/4/3 (Black)",B0BMTCY6ZN,False,False,4.3,4218
13,"5X Fast Charge Kailfee Stylus Pen for iPad(2018-2023), Apple Pencil 2nd Generation, iPad Pencil Compatible with Apple iPad Pro 11&12.9 inch, iPad Air 3/4/5th, iPad 6-10th, iPad Mini 5/6th",B09F5YXS3D,False,False,4.4,3888
14,"iPad Pencil 2nd Generation with Magnetic Wireless Charging, Apple Smart Pen Colorful, Stylus Pen for iPad Compatible with iPad Pro 11 in 1/2/3/4, iPad Pro 12.9 in 3/4/5/6, iPad Air 4/5, iPad Mini 6",B0B66MWG7S,False,False,4.4,1538
15,"Stylus Pen for iPad Pencil Compatible with Apple Pen, iPad Pro 12.9/11-inch, Apple Pencil 2nd Generation, iPad Mini 6th, iPad Air 5th, iPad 10th,9th,8th,7th,6th(2018-2022) Palm Rejection, Tilt -Pink",B08RHVW9BS,False,False,4.4,4960
16,"Apple Pencil Wireless Charging Apple Pencil 2nd Generation,Magnetic Wireless Charging, Touch Screens Compatible with IPad Pro 11 inch 1/2/3, IPad Pro 12.9 Inch 3/4/5, IPad Air 4/5, IPad Mini 6",B0BJYRM4MW,False,False,5.0,1
