rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Introducing Amazon Fire Max 11 tablet, our most powerful tablet yet, vivid 11"" display, octa-core processor, 4 GB RAM, 14-hour battery life, 64 GB, Gray",B0B1VQ1ZQY,False,False,4.4,2283
1,"Amazon Fire 7 Kids Tablet (2022) - ages 3-7. 2 year worry-free guarantee, 10-hr battery, ad-free content, parental controls, durable high-res screen, kid-proof case with kickstand, 16 GB, Blue",B0BLBLRLJB,False,False,4.5,11519
2,"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, Ambient Experience, free & live TV without cable or satellite",B0BP9SNVH9,False,False,3.0,88
3,"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 32 GB, Black",B096WJFX8M,False,False,4.5,11369
4,"All-new Amazon Fire TV Stick 4K streaming device, includes support for Wi-Fi 6, Dolby Vision/Atmos, free & live TV",B0BP9MDCQZ,False,False,4.0,17
5,"Amazon Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, (2021 release), named ""Best Tablet for Big Kids"" by Good Housekeeping, (2021 release), Sky Blue",B0BL8S36JV,False,False,4.7,14654
6,"Amazon Fire TV 55"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3H6JPYZ,False,False,4.5,34557
7,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Glacier White",B09RX41C2L,False,False,4.6,520
8,"Certified Refurbished Echo Show 15 | Full HD 15.6"" smart display with Alexa and Fire TV built in | Remote not included",B08X74Y8BJ,False,False,4.4,214
9,"Amazon Fire TV 65"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, Fire TV Ambient Experience, local dimming, hands-free with Alexa",B0BJMGB9RN,False,False,4.2,1591
10,"Certified Refurbished - Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray",B09JRKG3LC,False,False,4.3,15
11,"Whole Foods Market Organic Tropical Blend Italian Soda, 11.2 fl oz (Pack of 4)",B07FWD1MV7,True,False,4.7,1682
12,"Whole Foods Market Banana Nut Mini Muffin, 12ct",B094JNLR6B,True,False,4.4,484
13,"Fire HD 10 Plus tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Slate, without lockscreen ads",B08F5LD627,False,False,4.6,1420
