rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Simple Joys by Carter's Unisex Babies' Cotton Sleeper Gown, Pack of 3",B0744PN2MV,True,False,4.8,16350
1,"Simple Joys by Carter's Unisex Babies' Flannel Receiving Blankets, Pack of 7",B01M8QG62K,True,False,4.7,35210
2,Simple Joys by Carter's Unisex Babies' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set,B01MQD5THT,True,False,4.8,13173
3,"Unisex Babies' Teething Bibs, Pack of 7",B01M5JGOSG,True,False,4.7,10272
4,Girls' 3-Pack Cotton Sleeper Gown,B073WMFKPZ,True,False,4.8,14454
5,"Simple Joys by Carter's Baby Boys' Short-Sleeve Bodysuit, Pack of 6",B01MDUHQGI,True,False,4.8,58526
6,"Unisex Babies' 8-Piece Towel and Washcloth Set, Multipacks",B07Y2HBC43,True,False,4.8,17507
7,Simple Joys by Carter's Baby Girls' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set,B01MXL8R8M,True,False,4.8,26051
8,baby-girls Sleeveless Bodysuit,B073X3BK41,True,False,4.8,14212
9,"Baby Girls' Teething Bibs, Pack of 7",B01MQD6174,True,False,4.8,9581
10,"Simple Joys by Carter's Unisex Babies' Short-Sleeve Bodysuit, Multipacks",B01MYMRC6F,True,False,4.8,36433
11,Amazon.com Gift Card in a Greeting Card (Various Designs),B00X4S2V7K,False,False,4.8,71921
12,"Simple Joys by Carter's Baby Girls' Long-Sleeve Bodysuit, Pack of 5",B01M2CO8RA,True,False,4.8,38600
13,Baby Girls' Short-Sleeve Bodysuit,B0BL9586J3,True,False,4.8,46040
14,"Unisex Babies' Textured Bodysuits, Pack of 4",B09VV7QTBH,True,False,4.7,7725
15,"Simple Joys by Carter's Toddlers and Baby Boys' Snug-Fit Footless Cotton Pajamas, Pack of 3",B073PTLWKG,True,False,4.8,25639
16,Baby Boys' 2-Way Zip Cotton Footed Sleep and Play,B07ZPQHFL8,True,False,4.8,10956
17,Simple Joys by Carter's Baby Boys' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set,B01MDUHM8T,True,False,4.8,11078
18,Boys' Disney | Marvel | Star Wars Sleeper Gowns,B08WY2R1F9,True,False,4.8,386
19,"Toddlers and Baby Boys' Snug-Fit Footed Cotton Pajamas, Pack of 3",B0744PQTJ9,True,False,4.7,43828
