rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",B06XZTZ7GB,False,True,4.7,89201
1,Makukke School Backpacks for Teen Girls - Laptop Backpacks 15.6 Inch College Cute Bookbag Anti Theft Women Casual Daypack,B09JZMRBXN,False,True,4.5,1171
2,"Carhartt 21L Classic Daypack, Durable Water-Resistant Pack with Laptop Sleeve, Black, One Size",B08X2HRF3C,False,False,4.6,1661
3,"Paude Backpack for Men and Women,School Backpack for Teens,15.6 inch Laptop Backpack with USB Charging port for Business College Travel",B08QHTN5L1,False,False,4.5,3109
4,"JanSport SuperBreak One Backpacks, Black - Durable, Lightweight Bookbag with 1 Main Compartment, Front Utility Pocket with Built-in Organizer - Premium Backpack",B0007QCQGI,False,False,4.6,38936
5,"Matein Travel Laptop Backpack, Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port, Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook, Grey",B06XZTZ7GB,False,False,4.7,89201
6,"Amazon Basics Laptop Backpack Fits Up to 17-Inch Laptops, Black",B00EEBS9O0,True,False,4.5,17467
7,"YOREPEK Travel Backpack, Extra Large 50L Laptop Backpacks for Men Women, Water Resistant College Backpack Airline Approved Business Work Bag with USB Charging Port Fits 17 Inch Computer, Black",B071ZYHCM6,False,False,4.7,40739
8,coofay Black Carry on Backpack For Women Men Waterproof College Gym Backpack Lightweight Small Travel Backpack Rucksack Casual Daypack Laptop Backpacks Hiking Backpack,B0B3H71528,False,False,4.6,646
9,WATERFLY Lightweight Packable Hiking Backpack： Foldable Travel Daypack Ultralight Camping Day Pack for Woman Man,B08P35PZG6,False,False,4.5,1312
10,"adidas Excel 6 Backpack, Jersey Grey/Onix Grey/Rose Gold, One Size",B08JWKPPJT,False,False,4.8,4585
11,"VGCUB Carry on Backpack,Large Travel Backpack for Women Men Airline Approved Gym Backpack Waterproof Business Laptop Daypack",B0B6F558KR,False,True,4.6,3097
12,"DUSLANG 17 Inch Laptop Backpack for Travel Water Resistant College Backpack for Men Laptop Bag with USB Charging Port,Black",B092TQG5ZD,False,False,4.6,884
13,EASYFUN Sling Bag Lightweight Crossbody Sling Backpack for Women Men Large Shoulder Chest Bag Daypack for Hiking Traveling,B0C9GTZQPD,False,False,5.0,17
14,Trail maker Classic 17 Inch Backpack with Adjustable Padded Shoulder Straps (Light Blue),B07BBV7LJR,False,False,3.9,273
15,YALUNDISI Vintage Backpack Travel Laptop Backpack with usb Charging Port for Women & Men College Backpack Fits 15.6 Inch Laptop Black,B08JH262KV,False,False,4.7,5175
16,"SUPACOOL Lightweight Casual Laptop Backpack with USB Charging Port For for Men and Women, Daily use backpack, Backpack for College (Full Black)",B09G1TPWBQ,False,True,4.4,4089
17,"adidas Foundation 6 Backpack, Jersey Onix Grey/Black, One Size",B09G9B9N21,False,False,4.8,2270
18,"SHRRADOO Extra Large 52L Travel Laptop Backpack with USB Charging Port, College Backpack Airline Approved Business Work Bag Fit 17 Inch Laptops for Men Women,Black",B07V4R4Z77,False,False,4.7,27138
19,"adidas Women's VFA 4 Backpack, Wonder Taupe Beige, One Size",B09YKTMDB6,False,False,4.6,866
20,"Bagsure Travel Laptop Backpack, Business Water Resistant Laptop Backpack with USB Charging Port, College Bag for Men & Women",B09XC98KCQ,False,False,4.6,1752
21,Amazon Basics Carry-On Travel Backpack - Black,B01J24H2K0,True,False,4.5,8502
