rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"VAGAU Bathroom Rugs 2 Pieces Chenille Bath Rug Mat, Extra Thick and Soft Absorbent Bath Rugs, Machine Washable, Non-Slip Plush Bath Mats for Tub, Shower, and Bath Room (Maroon RED)",B07XCGT4VT,False,True,4.5,4452.0
1,"YIHOUSE Memory Foam Bath Mat Cobblestone Bathroom Rugs Super Water Absorbent Machine Washable Bath Rugs(17x24,Dark Gray)",B08R5NZNZW,False,True,4.3,1613.0
2,"Deconovo Bathroom Rugs, 32""x20"", Bath Mats for Bathroom Non Slip, Thick Soft Durable Bath Rugs, Absorbent Bath Mat, Machine Wash & Quick Dry Chenille Bathroom Mat for Bathtub and Shower Floor, Grey",B08SVVMN34,False,True,4.3,265.0
3,BYSURE Black Memory Foam Rug Set 3 Piece Non Slip Extra Absorbent Shaggy Soft & Dry Bath Mat Sets for Bathroom Washable Carpets Set,B08GKK74T3,False,True,4.4,2118.0
4,"SONORO KATE Bathroom Rug 32""×20"", Non-Slip Bath Mat, Soft Cozy Shaggy Durable Thick Chenille Rugs for Bathroom,Easier to Dry, Plush Bathtubs, Rain Showers and Under The Sink (Dark Grey)",B09C67QZ2D,False,False,4.6,15278.0
5,"OLANLY Luxury Bathroom Rug Mat 24x16, Extra Soft and Absorbent Microfiber Bath Rugs, Non-Slip Plush Shaggy Bath Carpet, Machine Wash Dry, Bath Mats for Bathroom Floor, Tub and Shower, Blue",B096HG87YV,False,False,4.4,25860.0
6,"Bathroom Rugs Set Non Slip 3 Piece Bath Rugs Extra Soft Chenille Bathroom Mats Bath Mat Set,Absorbent Shaggy Rugs Perfect Plush Mats U-Shaped Toilet Rug,Bathroom Carpets for Bathroom,Tub,Shower",B09NND842V,False,False,4.3,1040.0
7,"OLANLY Memory Foam Bath Mat Rug 24x16, Ultra Soft Non Slip and Absorbent Bathroom Rug, Machine Wash Dry, Comfortable, Thick Bath Rug Carpet for Bathroom Floor, Tub and Shower, Black",B099FJJYYC,False,False,4.3,7667.0
8,"2 Piece Bathroom Rugs Bath Mat Set - Soft Plush Chenille Shower Mats For Bathroom Non-Slip Bath Rug With Rubber Backing, Ultra Absorbent Bath Rugs, Bathtub Mat, Bathroom Rug Mats - 30x20 + 24x17 Inch",B09VLJD5JT,False,False,4.4,7625.0
9,"EGYPHY Chenille Striped Bathroom Rug Mat, Luxury Extra Thick and Soft Shaggy Microfiber Bath Rugs, Absorbent, Non-Slip, Plush Bath Mats for Shower, Bathtub and Kitchen,17X24 inches-Grey",B092ZGGWP6,False,False,4.3,700.0
