rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Ufree Beard Trimmer for Men, Electric Razor for Men, Cordless Hair Clipper Shaving Kit for Mustache Body Nose Ear Hair Facial, Adjustable Beard Grooming Kit Birthday Gifts for Men",B0BMKLJW22,False,True,4.5,1935
1,"Ufree Beard Trimmer for Men, Waterproof Electric Razor Nose Hair Trimmer, Cordless Hair Clippers Shavers for Men, Mustache Body Face Beard Grooming Kit, Gifts for Men Husband Father",B08P4HHSZT,False,True,4.4,9267
2,"Beard Trimmer for Men, All in One Mens Beard Grooming Kit, IPX7 Washable Hair Clippers for Beard, Face, Nose Hair Trimmer Body Shaver, Hair Clippers Electric Razor for Men Gifts",B0BZ465J7C,False,True,4.5,546
3,"PRITECH Hair Trimmer for Men, Rechargeable Hair Clippers, Beard Trimmer, Home Haircut Kit, Cordless Barber Grooming Sets, Waterproof Body Trimmer, Groin Hair Trimmer, Nebula Gray",B0874RT49D,False,True,4.3,14465
4,"Philips Norelco Multigroomer All-in-One Trimmer Series 3000, 13 Piece Mens Grooming Kit, for Beard, Face, Nose, and Ear Hair Trimmer and Hair Clipper, NO Blade Oil Needed, MG3750/60",B01K1HPA60,False,False,4.5,165763
5,"WAHL Groomsman Rechargeable Beard Trimmer kit for Mustaches, Nose Hair, and Light Detailing and Grooming with Bonus Wet/Dry Electric Nose Trimmer – Model 5622v",B07BB313YL,False,False,4.3,66524
6,"Braun All-in-One Style Kit Series 3 3430, 3-in-1 Trimmer for Men with Beard Trimmer, Ear & Nose Trimmer, Hair Clippers, Ultra-Sharp Blade, 20 Length Settings, Washable",B0BNLY9M3D,False,False,4.3,1151
7,"NEW Philips Norelco Multigroom Series 5000 18 Piece, Beard Face, Hair, Body and Intimate Hair Trimmer for Men - NO BLADE OIL MG5910/49",B0BQN79PH9,False,False,4.5,32771
8,"Beard Trimmer for Men, Beard Trimming Kit w/Case, Cordless Hair Clipper T-Blade Trimmer, Electric Razor Shaver for Nose Body Face Mustache Grooming -180 Mins Shaving, Gifts for Him",B0C1B3YHTG,False,False,4.8,245
9,"Philips Norelco Multigroom Series 7000, Mens Grooming Kit with Trimmer for Beard, Head, Hair, Body, Groin, and Face - NO Blade Oil Needed, MG7910/49",B0BQN7TMFS,False,False,4.6,59678
10,"Ufree Electric Razor Shavers for Men, Beard Trimmer Hair Trimmer Shaving Kit, Electric Shavers Barber Clippers for Men, Birthday Gifts for Him, Mens Grooming Kit with 4 Guards 2 Foil Shaver Head",B0B12WD6MV,False,True,4.3,2525
11,"Ufree Beard Hair Trimmer for Men Professional, Grooming Cutting Kit, Mustache T Blade Liners Trimmer Electric Shavers, Cordless Zero Gapped Edgers Clippers Barber Supplies, Gifts for Men",B0B4SBSHJP,False,True,4.3,2149
12,"Professional Hair Clippers and Trimmer Kit for Men,Barber Clipper Set Cordless Hair Cutting,Beard Trimmer Grooming Haircut Kit",B09VKS4ZZ4,False,True,4.3,1119
13,"Ufree Hair Trimmer, Beard Trimmer for Men Electric Razor Shavers Cordless Hair Clippers, Zero Gapped T Blade Liners Grooming Hair Cutting Kit, Gifts for Men Husband Father",B08DFFV9NC,False,True,4.3,8948
14,WAHL Groomsman Battery Operated Facial Hair Trimmer for Beard & Mustache Trimming Including Light Detailing and Body Grooming – Model 9906-717V,B00068EXQ8,False,False,4.3,14915
15,"Panasonic Cordless Men's Beard Trimmer With Precision Dial, Adjustable 19 Length Setting, Rechargeable Battery, Washable - ER-GB42-K (Black)",B075LQYFNB,False,False,4.4,16646
16,"Braun All-in-One Style Kit Series 5 5471, 8-in-1 Trimmer for Men with Beard Trimmer, Body Trimmer for Manscaping, Hair Clippers & More, Ultra-Sharp Blade, 40 Length Settings, Waterproof",B0BNLX8TCB,False,False,4.5,2918
