rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",B01C5QS1T8,False,True,4.4,17370
1,"Automatic Upper Arm Blood Pressure Monitor with Large Cuff 4.5 in Backlit Adjustable Font Screen, 9-17 inches Cuff, arrhythmia and Home",B0BPPLN8FD,False,True,4.8,4031
2,Blood Pressure Monitor Automatic Digital Upper Arm Blood Pressure Monitors for Home Use Led Large Font Screen 4.5 in Backlit,B0CBLPB31D,False,True,5.0,115
3,"Blood Pressure Machine, Automatic Digital Upper Arm Blood Pressure Monitor with Adjustable Large Cuff, Irregular Heartbeat & Hypertension Detector 1",B0BG5KKZGZ,False,True,4.8,1009
4,"iHealth Track Smart Upper Arm Blood Pressure Monitor with Wide Range Cuff That fits Standard to Large Adult Arms, Bluetooth Compatible for iOS & Android Devices",B01C5QS1T8,False,False,4.4,17370
5,"OMRON Bronze Blood Pressure Monitor, Upper Arm Cuff, Digital Blood Pressure Machine, Stores Up To 14 Readings",B07S2H3XB9,False,False,4.6,30698
6,"Omron Upper Arm Blood Pressure Monitor, 3 Series",B07S3LNS1L,False,False,4.6,11670
7,Blood Pressure Monitor Adjustable Upper Arm Automatic BP Machine Accurate Digital Blood Pressure Machine with 2x120 Reading Memory Large Backlit Display BP Monitor with Storage Bag Instant,B0CG91DFT5,False,False,5.0,260
8,Blood Pressure Monitor Automatic Wrist Blood Pressure Monitors for Home Use BP Machine Cuff Digital Large LCD Display 2X99 Readings with Carrying Case,B0CF1D9S4J,False,False,4.3,325
9,"Blood Pressure Monitor Upper Arm Blood Pressure Monitors for Home Use BP Machine with 2x120 Reading Memory Adjustable Arm Cuff 8.7""-15.7"" Large Display with LED Background Light Storage Bag",B0CCXHL3JJ,False,False,4.5,511
10,"IPROVEN New 2023 Smart Upper Arm Blood Pressure Monitor - Home Use, 500 Memory Sets - Large Adjustable Cuff - Largest Widescreen Backlit Display - Bluetooth App for iOS & Android",B0BN41FQFF,False,True,4.5,591
11,"Meraw Blood Pressure Cuff Automatic Arm, Blood Pressure Monitor Home Use, Blood Pressure Machine Large Arm 8.6-16.5"" Dual Users Bluetooth APP High Accuracy Irregular Heartbeat Monitoring Storage Bag",B0C8S1S94V,False,True,4.3,25
12,"Blood Pressure Monitor,maguja Blood Pressure Machine,BP Monitor Automatic Upper Arm Cuff Digital with 8.7-17inches Adjustable Blood Pressure Cuff for Home Use",B08YR2848L,False,True,4.4,7222
13,"Wellue BP2A Bluetooth Blood Pressure Monitor for Home Use - Wireless Uppr Arm Cuff BP Machine with One Piece Design, Stores Data and Connects Easily to The APP for iOS & Android",B0BZHK95G3,False,True,4.5,1376
14,"Blood Pressure Monitor,AILE Blood Pressure Machine Upper Arm Large Cuff(8.7""-16.5"" Adjustable),Automatic high Blood Pressure Cuff for Home use (White)",B0BF9YHRFM,False,False,4.3,3901
15,Blood Pressure Monitor Upper Arm Large LED Backlit Screen 1000 Sets Memory Automatic Digital BP Machine Adjustable BP Cuff,B08QFSNNRQ,False,False,4.4,7355
16,"OMRON Silver Blood Pressure Monitor, Upper Arm Cuff, Digital Bluetooth Blood Pressure Machine, Stores Up To 80 Readings",B07RYBKNC2,False,False,4.5,27749
17,Konquest KBP-2704A Automatic Upper Arm Blood Pressure Monitor - Adjustable Cuff 8 ½ ” to 16 ½ ” (22 to 42 cm) - Large Backlit Display - Irregular Heartbeat Detector - Tensiometro Digital,B077CXGSJW,False,False,4.5,31626
18,"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",B07Q6G9B4K,False,True,4.4,673
19,"IPROVEN Upper Arm Blood Pressure Cuff, Easy to Use, Backlit Display, Large Cuff Adjustable 8¾ - 16½ inch, Automatic & Accurate Blood Pressure Monitor for Home Use - BPM-656",B07WFGBGWP,False,True,4.5,5298
20,"Blood Pressure Monitors, Bp Monitor - Blood Pressure Machine Large Cuff Blood Pressure Monitor Upper Arm Cuff 8.7''-17.3'', Large Screen, 2 Users Total 198 Memories, Clinically Accurate for Home Use",B0B6395FWW,False,True,4.4,579
21,"Checkme BP2 Bluetooth Blood Pressure Monitor for Home Use, Wireless BP Cuff Automatic Upper Arm Machine, Portable Digital BP Monitor with 50 BP Readings, Unlimited Data Stored in APP for iOS & Android",B0BY2RLQ97,False,True,4.5,219
22,Wrist Blood Pressure Monitor Adjustable Cuff Home Automatic Digital Blood Pressure Machine LCD Large Screen Display Bp Monitor Dual Users Mode with Portable Storage Bag,B0CG8J9K6M,False,False,4.8,974
23,"Blood Pressure Monitor,maguja Blood Pressure Machine,BP Monitor Automatic Upper Arm Cuff Digital with 8.7-17inches Adjustable Blood Pressure Cuff for Home Use",B08YR2848L,False,False,4.4,7222
24,MMIZOO Wrist Blood Pressure Monitor Bp Monitor Large LCD Display Blood Pressure Machine Adjustable Wrist Cuff 5.31-7.68inch Automatic 99x2 Sets Memory with Carrying Case for Home Use (W1681),B07XYW52VQ,False,False,4.3,46088
25,"VERWINT Automatic Blood Pressure Monitor Upper Arm with Large Backlit Display, Accurate Digital BP Monitor with Adjustable Cuff 8.7""-16.5"", 3x199 Sets Memory, Include Batteries and Type C Cable",B0BLN3GBDV,False,False,4.7,1488
26,"Portable Blood Pressure Monitors for Home Use Adjustable Blood Pressure Wrist Cuff Automatic Bp Machine Large Screen Display Reading Memory bp Pressure Monitor Wrist, White 1st Aid",B0BYRMKQX3,False,False,4.5,11533
27,"Blood Pressure Monitors for Home Use Digital Blood Pressure Machine Adjustable Large Blood Pressure Cuff for Upper Arm 9-17"" Backlit Display 2x500 Memories 4 AAA Batteries Carry Case FSA/HSA Eligible",B08R1JSG6H,False,False,4.4,2231
28,"Vaunn Medical Automatic Blood Pressure Machine with Large Cuff, Digital Blood Pressure Monitor, Upper Arm Cuff 8.7-16.5"" (vB100A)",B07JZHRKHT,False,False,4.5,3379
29,"OMRON Platinum Blood Pressure Monitor, Upper Arm Cuff, Digital Bluetooth Blood Pressure Machine, Stores Up To 200 Readings for Two Users (100 each)",B07RX8WQ4K,False,False,4.5,20891
30,"Blood Pressure Monitors for Home Use Upper Arm, MEDGRAM Accurate Blood Pressure Cuff for Home Use with Large Cuff 8.7-16.5 inch(22-42cm), Automatic & Digital BP Machine, 2 x 120 Sets Memory",B08YMQX29Z,False,False,4.5,2560
31,Blood Pressure Monitor Automatic Digital Upper Arm Blood Pressure Monitors for Home Use Led Large Font Screen 4.5 in Backlit,B0CBLPB31D,False,False,5.0,115
32,Omron 5 Series Wireless Upper Arm Blood Pressure Monitor,B07RXL4ZPS,False,False,4.5,2095
33,"Omron Wireless Upper Arm Blood Pressure Monitor, 7 Series",B01BHA7T0K,False,False,4.5,1131
34,"Blood Pressure Monitors for Home Use, Automatic Extra Large Upper Arm Blood Pressure Cuff, Accurate Blood Pressure Machine with Large VA Display",B0CFDM471G,False,False,4.8,320
35,"Portable Blood Pressure Monitor ZIQING Mini Upper Arm Blood Pressure Machine with Comfortable BP Cuff 22-44 cm 2 x 99 Sets Memory Irregular Heartbeat Voice Blood Pressure Monitors for Home Use, White",B0BLND1S7D,False,False,4.3,142
36,Clinical Automatic Blood Pressure Monitor FDA Approved by Generation Guard with Portable Case Irregular Heartbeat BP and Adjustable Wrist Cuff Perfect for Health Monitoring,B01H31OF8G,False,False,4.2,12768
37,Blood Pressure Monitor Wrist Automatic BP Machine Adjustable Cuff 198 Memory Readings Large Backlit LCD Display with Carrying Storage Bag Great Monitors for Home Use,B0CGJ2JQV9,False,False,4.9,89
38,"Blood Pressure Monitors, Bp Monitor - Blood Pressure Machine Large Cuff Blood Pressure Monitor Upper Arm Cuff 8.7''-17.3'', Large Screen, 2 Users Total 198 Memories, Clinically Accurate for Home Use",B0B6395FWW,False,False,4.4,579
39,"Care Touch Digital Wrist Blood Pressure Monitor, Wrist BP Cuff for Adults Size 5.5-8.5"", Blood Pressure Monitors for Home Use, Automatic High Blood Pressure Machine with Batteries & Carrying Case",B01JPRM9LG,False,False,4.2,38442
40,"Blood Pressure Monitor for home use: AILE Blood Pressure Machine,Upper Arm Blood Pressure Cuff(8.7-16.5""Adjustable),Automatic BP Monitor,high Blood Pressure machine large Cuff,2*99 Memory,Easy to use",B0BW4B2CK6,False,False,4.4,7846
41,Blood Pressure Monitor Upper Arm Cuff 8.7-16.5in Blood Pressure Machine 240 Sets Memory Large LED Backlit Screen BP Monitor with Storage Bag,B0CH11LT1Q,False,False,5.0,70
42,"iHealth Neo Wireless Blood Pressure Monitor, Upper Arm Cuff, Bluetooth Blood Pressure Machine, Ultra-Thin & Portable, App-Enabled for iOS & Android",B07Q6G9B4K,False,False,4.4,673
43,"Blood Pressure Monitor Upper Arm with One Piece Design, Digital BP Machine for Home Use with Cuff Size 9-14 Inch, Portable Meter, Built-in Battery",B08GQY72BK,False,False,4.5,3409
44,"yuwell Blood Pressure Monitor, Extra Large Upper Arm Cuff, Digital BP Machine for Home Use & Pulse Rate Monitoring Meter, Automatic, Large Display, Voice Broadcasting with Power Adapter and Batteries",B08DP2KZ9X,False,False,4.4,7082
45,Blood Pressure Monitor Rechargeable Upper Arm BP Monitor Cuff LED Display Blood Pressure Machine Voice Broadcasting Home Use Digital Blood Pressure Monitor Includes Charging Cord,B0CJN1NCXN,False,False,5.0,260
46,Paramed Blood Pressure Monitor - Bp Machine - Automatic Upper Arm Blood Pressure Cuff 8.7-15.7 inches - Large LCD Display 120 Sets Memory - Device Bag & Batteries Included,B07JN1DF1D,False,False,4.6,24357
47,"Withings BPM Connect - Digital Blood Pressure Cuff & Heart Rate Monitor - Blood Pressure Machine Arm Cuff, FDA Cleared, FSA/HSA Eligible, IOS & Android",B07SJV1HNR,False,False,4.2,10790
48,Omron M3 HEM-7131-E Intellisense Blood Pressure Monitor,B00IIOI9FS,False,False,4.7,22902
49,"Checkme BP2 Bluetooth Blood Pressure Monitor for Home Use, Wireless BP Cuff Automatic Upper Arm Machine, Portable Digital BP Monitor with 50 BP Readings, Unlimited Data Stored in APP for iOS & Android",B0BY2RLQ97,False,False,4.5,219
