rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Pharmedoc Pregnancy Pillows, U-Shape Full Body Pillow – Cooling Cover Grey – Pregnancy Pillows for Sleeping – Body Pillows for Adults, Maternity Pillow and Pregnancy Must Haves",B0C79XTWWM,False,True,4.3,122501
1,"Siluvia Body Pillow for Adults-Premium Adjustable Loft Quilted- Hypoallergenic Fluffy - Quality Plush - Down Alternative Pillow (Gray-LightGray, 21”x54“)",B09PQ8GM4H,False,True,4.6,2944
2,"WhatsBedding Black Body Pillow with Pillowcase, Full Body Pillows for Adults, Large Long Body Pillow Insert, Long Pillow for Bed, Machine Washable, 20 x 54 Inches",B0B8Z6TGFN,False,True,4.6,740
3,"Coop Home Goods Adjustable Full Body Pillows for Sleeping, Soft Zippered Washable Cover - Neck & Knee Full Support for Side Sleepers, Long Body Pillow for Pregnancy, 20x54",B00OKY8BOY,False,True,4.7,2632
4,DOWNCOOL Large Body Pillow Insert- Breathable Full Body Pillow for Side Sleeper - Soft Long Bed Pillow for Adults - 20 x 54 inch,B07YS5DX7Y,False,False,4.4,12931
5,WhatsBedding Memory Foam Body Pillow -Fluffy Body Pillows for Adults -Large Long Bed Pillows for Sleeping - 20x54 inch (White),B0B7BS78D8,False,False,4.5,12526
6,"Utopia Bedding Full Body Pillow for Adults (White, 20 x 54 Inch), Long Pillow for Sleeping, Large Pillow Insert for Side Sleepers",B01FXROXFW,False,False,4.6,13880
7,"HUXMEYSON Body Pillow with Satin Pillowcase, Cooling Body Pillows for Adults, Long Pillow for Bed with Removable Cover, Grey (20""x54"")",B0BY4BMKPG,False,False,4.5,204
8,"ELNIDO QUEEN Body Pillow with Pillowcase - Soft Long Bed Pillow for Adults - Breathable Full Body Pillow Insert for Sleeping, 20x54inches, Grey",B098JTY3BQ,False,False,4.5,10311
9,"HYMOKEGE Body Pillows for Adults, Full Body Pillow Inserts Firm and Fluffy, 20X54 Long Pillows for Sleeping and Back Pain",B0BNC7DQ5Q,False,False,4.5,577
10,"INSEN Pregnancy Pillows, L Shaped Full Body Maternity Pillow with Removable Cover, 57 Inch Pregnancy Pillows for Sleeping, Blue Jersey Cotton",B09RZK3C84,False,True,4.4,555
11,"Qeils Body Pillow for Adults,Long Pillow for Sleeping, Large Pillow Insert for Side Sleepers - 21""x54""(Grey)",B096DHGJX5,False,True,4.6,1505
12,"BATTOP Pregnancy Pillows with Cooling Cover,Maternity Body Pillow for Sleeping,Support for Back, Hips, Legs, Belly for Pregnant Women,Pregnancy Must Haves",B0C7ZYKBCF,False,True,4.5,6584
13,WhatsBedding Memory Foam Body Pillow -Fluffy Body Pillows for Adults -Large Long Bed Pillows for Sleeping - 20x54 inch (White),B0B7BS78D8,False,True,4.5,12526
14,"WhatsBedding Full Body Pillows for Adults - Long Body Pillow Insert for Sleeping - Soft Large Bed Pillows for Side Sleeper - Breathable &Machine Washble - 20x54 Inches, White",B0C7T63NR1,False,False,4.6,740
15,"DreamField Linen Cooling Bamboo Full Body Pillow for Adults - Shredded Memory Foam Long Hug Pillow for Sleeping, Removable and Washable Hypoallergenic Bamboo Pillow Cover with Zipper",B096T13P4Y,False,False,4.4,3907
16,"WhatsBedding Body Pillow for Adults, Long Body Pillow Insert for Pregnancy, Full Body Pillow for Bed, Stripe Insert Only - Dark Gray 20x54 inch",B0BVHSZ3X2,False,False,4.5,298
17,Gehannah Body Pillow - Shredded Memory Foam Body Pillow - Cooling Body Pillow - Body Pillows - Adjustable Long Bed Pillow for Sleepingfor Adults for Side/Back Sleeper and Pregnancy,B0BPS1CYNV,False,False,4.9,12
18,ELEMUSE Full Body Pillow for Adults - Shredded Memory Foam & Zippered Cooling Bamboo Cover - 20 x 54 Long Pillow for Sleeping - Bed Pillows for Side Sleeper,B096JKMRVR,False,True,4.3,1954
19,"HYPREST 100% French Linen Body Pillow Cover, 20x54 Body Pillow Cover Cooling, Super Soft Breathable Moisture-Absorbing Stone Washed Flax Linen Pillowcase for Body Pillow, Envelope Design",B09SH3DX7S,False,True,4.5,118
20,"Merryword White Body Pillow Cover 20x54inches Long Pillowcase White Ruffled Chic Boho Pillowcases Ruffled Fringe Decor Body Ruffled Pillow Sham Cute Pillowcase (1 Body, White)",B09WMBXHCG,False,True,4.3,498
21,"bbhugme Adjustable Pregnancy Pillow – Full Body Support for Side Sleeping - Adjustable Firmness and Shape - Supports Back, Legs, Belly, Hips for Pregnant Women - Removable Cover - Dusty Pink",B09GSB9K7Y,False,True,4.5,226
22,"XeGe Cozy 20x54 Long Furry Body Pillow Sham, Plush Fuzzy Faux Fur Body Pillowcase with Zipper, Rectangular Fluffy Pillow Cover for Pregnant Women Side Sleeper, Shaggy Bedding Pillow Aqua Ombre",B09VKBTHYR,False,False,4.5,1360
23,"Siluvia Body Pillow for Adults-Premium Adjustable Loft Quilted- Hypoallergenic Fluffy - Quality Plush - Down Alternative Pillow (Gray-LightGray, 21”x54“)",B09PQ8GM4H,False,False,4.6,2944
24,"YUGYVOB Cooling Body Pillow for Adults- Satin Stripe Long Pillow for Bed, Full Body Pillow Insert, Fluffy & Firm, 20x54 Inch",B0B158C1HS,False,False,4.5,1499
25,"Pregnancy Pillows, U Shaped Full Body Pillow with Washable Velvet Cover, 55 Inch Maternity Pregnancy Pillows for Sleeping, Support for Back, Hips, Legs, Belly for Pregnant Women (Grey)",B0CBTLLXR3,False,False,4.5,375
26,"Evolive Ultra Soft Microfiber Body Pillow Cover/Pillowcases 21""x54"" with Hidden Zipper Closure (21""x54"" Body Pillow Cover, Charcoal Grey)",B07G4CTD75,False,False,4.6,63566
27,"Pharmedoc Pregnancy Pillows, U-Shape Full Body Pillow – Cooling Cover Grey – Pregnancy Pillows for Sleeping – Body Pillows for Adults, Maternity Pillow and Pregnancy Must Haves",B0C79XTWWM,False,False,4.3,122501
28,"WishSmile Body Bamboo Cooling Pillowcases Long Pillow Cases Breathable Cool Silky Soft Moisture Wicking for Hot Sleepers,Hair and Skin Friendly,Dark Grey,1 Pack,20x54 inches",B09BL2SMVG,False,False,4.5,2606
29,"Contour Swan Original Body Pillow | Cozy, Huggable Pillow for Back, Hip, Knee, and Leg Relief | Total Comfort and Support for Side Sleepers | As Seen on TV",B0BGMCGF19,False,False,3.9,2287
30,"cauzyart Pregnancy Pillows for Sleeping 55 Inches U-Shape Full Body Pillow and Maternity Support - for Back, Hips, Legs, Belly for Pregnant Women with Removable Washable Velvet Cover",B0BFDK2JQT,False,False,4.6,3193
31,"Oubonun Premium Adjustable Loft Quilted Body Pillows - Firm and Fluffy - Quality Plush - Down Alternative - Head Support Pillow - 21""x54""",B07M7TLN6G,False,False,4.6,14918
32,Olaftin Body Pillow for Adults Memory Foam Cooling Long Pillow for Bed for Side Sleeper 20x54 Inch,B0C77MZJ19,False,False,4.8,35
33,"MIULEE Long Body Pillow for Adults ,Memory Foam Cooling Body Pillow for Bed Full Body Pillow for Back/Stomach/Side Sleeper 20x54 Inch Grey",B09YCPQMG8,False,False,4.6,261
34,"YKiMi Body Pillows for Adults with Pillowcase- Stripe Full Body Pillow with Velvet Pillow Cover- Premium Long Pillows for Sleeping - Down Alternative Bed Pillow,Dark Gray, 20""x 54""",B0C9TTDTRH,False,False,4.3,335
35,"Pharmedoc Pregnancy Pillows, C-Shape Full Body Pillow – Jersey Cover Dark Grey – Pregnancy Pillows for Sleeping – Body Pillows for Adults, Maternity Pillow and Pregnancy Must Haves",B0C83K95WQ,False,False,4.5,18267
36,Cosybay Full Body Pillow Insert with Black Pillowcase - Fluffy Long Bed Pillow for Adults - Firm Large Body Pillow with Washable Cover for Side and Back Sleepers - 20x54 Inch(Black),B0BZ7V6XS6,False,False,4.5,7292
37,"MOON PINE U Shaped Pregnancy Pillow, Maternity Full Body Pillow for Back, Legs and Belly Support, Sleeping Pillow for Pregnant Women and Side Sleepers with Removable Cover (Grey)",B082F3F2MJ,False,False,4.6,4956
38,"Full Body Pillow Vacuum Package 150x50cm, Anime Body Pillow Insert for Adults, Cooling Long Body Pillow for Bed, Great for Side Sleeper",B01C6OX860,False,False,4.6,2194
39,Snuggle-Pedic Body Pillow for Adults - White Pregnancy Pillows w/Shredded Memory Foam - Firm Maternity Side Sleeper Pillow for Adults - Long Cuddle Pillow for Bed - 20x54 Full Body Pillow,B011U1LIK8,False,False,4.4,22811
40,"BEDELITE Body Pillow Cover with Zipper Closure, Super Soft and Cozy Fuzzy Fleece Body Pillow Case Cover 20 x 54 Inches, Luxury Fluffy Plush Long Body Pillow Pillowcase for Fall and Winter(Gray)",B0B76MT1V1,False,False,4.5,262
41,"Sasttie Pregnancy Pillows for Sleeping, Maternity Pillow for Pregnant Women, U Shaped Side Sleeper Pregnancy Must Haves, 59'' Full Pregnant Pillow with Removable Velvet Cover, Grey",B0BTBT7ML3,False,False,4.4,372
42,"Chilling Home Pregnancy Pillows, U Shaped Full Body Maternity Pillow 58 inch, Pregnant Women Must Haves Pregnancy Pillows for Sleeping with Removable Cover",B08392QS7Q,False,False,4.3,14829
43,"Nestl Cooling Body Pillow - Shredded Memory Foam Pillows, Body Pillows for Adults, Gel Infused Cooling Pillow, Adjustable Body Pillows for Sleeping, Breathable Bed Pillows, 20x54 Inch Long Pillow",B07WHTXSPR,False,False,4.3,7748
