rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Mini Dark Chocolate Peanut Butter Cups, 4.7 Ounce",B07NR8RP9V,True,False,4.5,1888.0
1,"Bazooka Candy Brands Halloween Candy Box - 18 Count Lollipops W/ Assorted Flavors From Ring Pop, Push Pop, Baby Bottle Pop & Juicy Drop - Candy Gift Box For Halloween",B01D0O11B4,False,True,4.8,26966.0
2,"Nerds Favorites Trick or Treat Assorted Candy, 90 Count | Individually Wrapped Halloween Candy | Big Chewy, Grape & Strawberry, Gummy Clusters",B0BP2Y11WV,False,True,4.7,474.0
3,"REESE'S Miniatures Milk Chocolate Peanut Butter Cups, Halloween Candy Party Pack, 35.6 oz",B07N9M672V,False,True,4.7,24413.0
4,"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars",B0017L4PH0,False,False,4.8,97422.0
5,"Nerds Gummy Clusters, Back to School Candy, Rainbow, Resealable 8 Ounce Bag",B08LGD7WRZ,False,False,4.8,7452.0
6,Assorted Candy Variety Pack - Individually Wrapped Party Candy Assortment - Candy For Every Occasion! (32 Ounces),B0CFYXNYMC,False,False,3.4,24.0
7,"STARBURST FaveREDS Fruit Chews Chewy Candy, Sharing Size, 15.6 oz Bag (Packaging may vary)",B07WXJFFSY,False,False,4.7,7812.0
8,"JOLLY RANCHER Fruity Bash, Individually Wrapped Hard Candy Bag, 13 oz",B089QSXLDB,False,False,4.4,1063.0
9,"SweeTARTS Rope Bites, Back to School Candy, Mixed Fruit, 8 Ounce",B07NHR5JKQ,False,False,4.4,4848.0
10,"Hershey Assorted Milk Chocolate and Creme Flavors Snack Size, Halloween Candy Bulk Variety Bag, 38.22 oz (75 Pieces)",B0BSR3NQQH,False,True,4.9,10.0
11,"REESE'S Miniatures Assorted Flavored Peanut Butter Cups, Candy Party Pack, 32.1 oz",B07N9LFVDG,False,True,4.7,22100.0
12,"STARBURST FaveREDS Fruit Chews Chewy Candy, Sharing Size, 15.6 oz Bag (Packaging may vary)",B07WXJFFSY,False,True,4.7,7812.0
13,"Ferrero Rocher Collection Premium Gourmet Assorted Hazelnut Milk Chocolate, Dark Chocolate and Coconut, 24 Count",B01BDI89SW,False,True,4.7,50839.0
14,SOUR PATCH KIDS & SWEDISH FISH Mini Halloween Candy Variety Pack - 1 pack (22 total Trick Or Treat Bags),B0CJCPSZXF,False,False,,
15,"Trolli Sour Brite Crawlers, Back to School Candy, Very Berry Flavored Sour Gummy Worms, 7.2 Ounce",B072N8MC23,False,False,4.6,998.0
16,"SKITTLES Wild Berry Chewy Candy, Sharing Size, 15.6 oz Bag",B07W6RHTZJ,False,False,4.6,3621.0
17,"SweeTARTS Chewy Fusions, Back to School Candy, Fruit Punch Medley, 9 ounce",B0986LG22F,False,False,4.6,14349.0
18,Bomber 8.0lb Bulk Halloween Candy Chocolate Individually Wrapped Mix. Individually Wrapped Bulk Halloween Fun Size Chocolates in a 8lb Box (8lb Fun Size),B09T6R7LJJ,False,True,3.9,546.0
19,"TWIZZLERS Twists Strawberry Flavored Licorice Style, Candy Packs, 2.5 oz (18 Count)",B06X3W4SKK,False,True,4.6,49010.0
20,"Ferrero Rocher Premium Gourmet Milk Chocolate Hazelnut, Individually Wrapped Candy for Gifting, 24 Count",B002Y1Z80U,False,True,4.8,32461.0
21,Jolly Ranchers Assorted Fruit Flavored Hard Candy - 2 pounds of Individually Wrapped Bulk Jolly Ranchers Mix,B0C7XHLP22,False,True,3.6,62.0
22,"Charms Blow Pops, Assorted Flavors, 45 count bag, 29.25 ounces",B096YJW78Y,False,False,4.7,1146.0
23,"Skittles LIFE SAVERS Gummy, STARBURST Duos and Original & SKITTLES Wild Berry and Original Fun Size Chewy Bulk Halloween Candy Assortment - 97.68oz/315 pieces",B08Y728XP6,False,False,4.7,3424.0
24,"Freeze Dried Candy Skittles - Assorted Original Flavors Snack - Orange, Lemon, Grape, Strawberry and Lime, Perfect for Traveling, Camping or as a Sweet Treat Gift, 8oz.",B0C6RGBPPZ,False,False,3.5,24.0
25,"Halloween Bulk Assorted Fruit Candy - Starburst, Skittles, Swedish Fish, Air Heads, Jolly Rancher, Sour Punch, Sour Patch Kids, Haribo Gold-Bears Gummi Bears & Twizzlers (32 Oz Variety Pack)",B07G7FFZ79,False,False,4.3,23649.0
26,"SKITTLES & STARBURST Variety Pack Fun Size Chewy Candy Assortment, 31.9 oz, 65 Pieces Bag",B00CHTWPXM,False,False,4.7,12762.0
27,"Mentos Candy, Mint Chewy Candy Roll, Fruit, Non Melting, 1.32 Oz , 6 count(Pack of 1)",B00W7A2YV4,False,False,4.7,41875.0
28,Ring Pop Individually Wrapped Bulk Lollipop Variety Halloween Party Pack – 20 Count Lollipop Suckers w/ Assorted Flavors - Fun Candy for Halloween Parties and Trick or Treating Bags,B06XGNL1RX,False,False,4.8,73493.0
29,"JOLLY RANCHER Assorted Fruit Flavored Hard Candy Variety Bag, 46 oz",B086D2GK77,False,False,4.7,47450.0
30,"TWIZZLERS Twists Strawberry Flavored Licorice Style, Low Fat Candy Tub, 5 lb",B000NMI7RI,False,False,4.6,49010.0
31,"Trolli Sour Brite Crawlers, Back to School Candy, Sour Gummy Worms, 28.8 Ounce Resealable Bag",B01N41NR6P,False,False,4.7,20243.0
32,"LIFE SAVERS Wint-O-Green Breath Mints Hard Candy, Sharing Size, 13 oz Bag",B09VRJFML3,False,False,4.8,26868.0
33,"Assorted Bulk Chocolate Mix - Snickers, Kit Kat, Milky Way, Twix, Whoopers, Heath & More! By Candy Market (32 Ounces)",B0C9PJS1YY,False,False,2.8,363.0
34,"Welch's Fruit Snacks, Mixed Fruit, Gluten Free, Bulk Pack, Individual Single Serve Bags, 0.8 oz (Pack of 40)",B0BWSKYV63,False,False,4.8,30180.0
35,Fun Dips/48-Bx,B002G24HD6,False,False,4.7,6210.0
36,"Franken Favorite Assorted Halloween Candy, 215ct Bag | Individually Wrapped Trick or Treat Candy | SweeTARTS, Nerds, Trolli, Laffy Taffy",B0BWL19X38,False,False,4.6,81.0
37,"SKITTLES & STARBURST Variety Pack Full Size Chewy Candy Assortment, 37.05 oz, 18 Bars",B07TRNR58Z,False,False,4.7,14977.0
38,Candy,B07VZNWVPN,False,False,4.5,687.0
39,"Butterfinger, CRUNCH, Baby Ruth and 100 Grand, 140 Count Candy Variety Pack, Assorted Mini and Fun Size Chocolate Bars, Trick or Treat Candy, 55.7 oz",B097QMCPFG,False,False,4.6,1147.0
40,LaetaFood Smarties Candy Rolls Original Flavors (1 Pound Bag),B0BXLZGQCM,False,False,4.6,880.0
41,"Push Pop Individually Wrapped Halloween Bulk Lollipop Variety Party Pack - 24 Count Lollipops In Assorted Fruity Flavors - Fun Lollipops For Halloween Candy Bowls, Parties & Trick Or Treating Bags",B002RGU0M8,False,False,4.7,7784.0
42,Tootsie Fruit Chews Assoretd Fruit Rolls - 5.83oz Extra Value Bag,B01LOIEAPM,False,False,4.0,962.0
