rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Hydrating Hyaluronic Acid Serum, 1 Fluid Ounce, 1-Pack",B0BTX3GJ6M,True,False,4.3,108
1,"Amazon Basics Refining Retinol Serum, 1 Fluid Ounce, 1-Pack",B0BTX3QR46,True,False,4.5,56
2,"Amazon Basics Moisturizing Cream, 16 Ounces, 1-Pack",B0BTX1V469,True,False,4.5,187
3,"365 by Whole Foods Market, Facial Cleanser Daily For Normal To Oily Skin, 16 Ounce",B083JW49FP,False,False,4.5,154
4,"Amazon Basics Renewing Salicylic Acid Cleanser, 8 Fluid Ounces, 1-Pack",B0BTX4DLHX,True,False,4.5,231
5,"Amazon Basics Daily Moisturizing Lotion, 12 Fluid Ounces, 2-Pack",B0BTX3FBDX,True,False,4.3,56
6,"Amazon Basics Acne Foaming Cream Cleanser, 5 Fluid Ounces, 1-Pack",B0BTXZ9F2K,True,False,4.4,6
7,"Amazon Basics Daily Acne Control Cleanser, Maximum Strength 10% Benzoyl Peroxide Acne Medication, Fragrance Free, 5 Ounce",B09HHBVQTF,True,False,4.3,11871
8,"Amazon Basics Clarifying Pink Grapefruit Body Wash, 2% Salicylic Acid Acne Treatment, Dermatologist Tested, 8.5 Fluid Ounces, Pack of 1",B09HHBQKW5,True,False,4.4,14344
9,"Amazon Basics Triple Replenishing Moisturizer, Night Cream, 1.7 Ounces, 1-Pack",B0BTWZVJZV,True,False,4.5,47
10,"Amazon Basics Ultra Moisturizing Skin Cream for Dry & Sensitive Skin, Dermatologist Tested, Fragrance Free, 16 Ounce, 1 Pound (Pack of 1) (Previously Solimo)",B07SWHLG2G,True,False,4.5,5987
11,"Amazon Basics Deep Cleansing Exfoliating Scrub, 5 Ounces, 1-Pack",B0BTX3JT84,True,False,4.4,24
12,"Amazon Basics Replenishing Classic Cleanser, 6.78 Fluid Ounces, 1-Pack",B0BTX34KG3,True,False,4.6,103
13,"Amazon Basics Retinol Eye Cream, Fragrance Free, 0.5 Ounces, 1-Pack",B0BV2PSH3M,True,False,4.7,18
14,"Amazon Basics Hyaluronic Acid Daily Hydrating Lotion, 3 Fluid Ounces, 1-Pack",B0BTX3VNHN,True,False,4.4,52
15,"Amazon Aware Hydrating Face Cleanser with Avocado & Sandalwood Oils, Vegan, Cucumber, Dermatologist Tested, Normal to Dry Skin, 5.8 fl oz",B0BC1NZ2B6,True,False,3.7,219
16,"Amazon Basics Salicylic Acid Acne Wash, 6 Fluid Ounces, 1-Pack",B0BTX4LWCR,True,False,4.3,109
17,"Amazon Brand - Solimo Morning Fresh Facial Cleanser with Ginseng and Vitamin C, 8 fl oz",B07SVCPQ7V,True,False,4.3,8225
18,"Amazon Basics Eczema Soothing Moisturizing Cream with Colloidal Oatmeal, 7.3 Ounces, 1-Pack (Previously Solimo)",B09HH8KR2X,True,False,4.3,1448
19,"Amazon Basics Advanced Blemish Spot Treatment with 2% Salicylic Acid Acne Medication, 0.75 Fluid Ounces, 1-Pack",B0BV6HT9PJ,True,False,4.9,12
20,"Amazon Basics Oil-free Facial Moisturizer for Sensitive Skin, Fragrance Free, 4 Fluid Ounce (Previously Solimo)",B07N31VZP8,True,False,4.3,5822
21,"Amazon Basics Extra-Dry Skin Lotion with Vitamins B5 & E, Clean Scent, 16 fl oz (Previously Solimo)",B07SJVNJRL,True,False,4.4,6017
22,"Amazon Aware Balancing Face Moisturizer with Licorice Root Extract & Vitamin C, Vegan, Cucumber, Dermatologist Tested, Oily to Combination Skin, 1.7 fl oz",B0BBXN7WMM,True,False,3.9,319
23,"Amazon Basics Brightening Vitamin C Serum, 1 Fluid Ounce, 1-Pack",B0BTXZJYB7,True,False,4.2,45
24,"Amazon Aware Hydrating Face Moisturizer with Avocado & Almond Oils, Squalane & Cocoa Butter, Vegan, Cucumber, Dermatologist Tested, Normal to Dry Skin, 1.7 fl oz",B0BC1QHQ7W,True,False,4.3,951
25,"Amazon Basics Healing Ointment and Skin Protectant for Dry & Cracked Skin, Fragrance Free, 14 Ounce, 4-Pack (Previously Solimo)",B09HHBSXS4,True,False,4.5,6056
26,"Amazon Basics Witch Hazel Pore Perfecting Toner, 16 Fluid Ounces, 1-Pack",B0BV6H35NM,True,False,4.6,268
27,"Amazon Basics Original Clean Astringent Skin Cleanser, Fresh Scent, 10 Fl Oz (Previously Solimo)",B07SS6LFRT,True,False,4.5,5762
28,"Amazon Basic Care Maximum Strength Anti-Itch Intensive Healing Lotion, Hydrocortisone 1 Percent, Itch Relief For Eczema, Dry Skin, Flaking Skin, Scaly Skin, Redness and Rash, 3.5 Ounce (Pack of 1)",B08ZDX827C,True,False,4.6,10491
29,"Amazon Brand - Solimo Sheer Face Sunscreen SPF 30, Reef Friendly (Octinoxate & Oxybenzone Free), 3.0 Fluid Ounce",B086BSZXB1,True,False,4.5,3120
30,"Amazon Brand - Solimo Sport Sunscreen Lotion, SPF 50, Reef Friendly (Octinoxate & Oxybenzone Free), Broad Spectrum UVA/UVB Protection, 8 Fluid Ounce (Pack of 6)",B07WDQ4Y6Q,True,False,4.5,6830
31,"Amazon Brand - Solimo Baby Sunscreen SPF 50, Reef Friendly (Octinoxate & Oxybenzone Free), 8 Fluid Ounce (Pack of 2)",B0814XNQ4C,True,False,4.5,1013
