rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P23H371,True,False,4.4,140287
1,"Starbucks K-Cup Coffee Pods, Naturally Flavored Coffee Variety Pack for Keurig Brewers, 100% Arabica, 6 Boxes (60 Pods Total)",B075SWV15X,False,True,4.7,37838
2,"Starbucks K-Cup Coffee Pods, Starbucks Blonde, Medium, Dark Roast And Naturally Flavored Coffee Variety Pack, 1 Box (40 Pods)",B07L9V4Y98,False,True,4.6,7511
3,Starbucks K-Cup Coffee Pods—Dark Roast Coffee—Sumatra for Keurig Brewers—100% Arabica—4 boxes (96 pods total),B071J3ZF26,False,True,4.8,4026
4,"The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 48 Count",B00NA794MK,False,False,4.7,82949
5,"Amazon Brand - Solimo Variety Pack Light and Medium Roast Coffee Pods (Kona, Breakfast, Donut), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07P48JYC9,True,False,4.4,140287
6,"Kirkland Signature Organic Breakfast Blend Light-Roast Coffee, K-Cup Pods, 120 Count",B07TRZLZKQ,False,False,4.6,3789
7,"Keurig Coffee Lovers' Collection Sampler Pack, Single-Serve K-Cup Pods, Compatible with all Keurig 1.0/Classic, 2.0 and K-Café Coffee Makers, Variety Pack, 40 Count",B071Z8LD77,False,False,4.6,71925
8,"McCafé Premium Roast, Keurig Single Serve K-Cup Pods, Medium Roast Coffee Pods, 96 Count",B08DBYJKVW,False,False,4.7,68823
9,"The Original Donut Shop Mocha Latte, Single-Serve Keurig K-Cup Pods, Flavored Coffee Pods, 20 Count",B07XCYT65C,False,False,4.6,18318
10,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Kona Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07NZV7JL5,True,False,4.4,51390
11,"Maud's Super Flavored Coffee Variety Pack, 80ct. Solar Energy Produced Recyclable Single Serve Coffee Pods Jam-Packed with 16 Flavors - 100% Arabica Coffee California Roasted, KCup Compatible",B08DQQVL1H,False,True,4.2,75627
12,"VitaCup Pumpkin Spice Coffee Pods, with Antioxidants, Vitamins, Medium Dark Roast 100% Arabica Coffee, Recyclable Single Serve Pods Compatible with Keurig K-Cup Brewers,10ct",B0CGCBPM45,False,True,3.5,3
13,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Pike Place Roast for Keurig Brewers—100% Arabica—4 boxes (96 pods total),B009GDBNF8,False,True,4.8,9414
14,"San Francisco Bay Compostable Coffee Pods - Original Variety Pack (80 Ct) K Cup Compatible including Keurig 2.0, French, Breakfast, Fog, Organic Rainforest",B00HS6FQRQ,False,False,4.5,79432
15,"Café Bustelo Espresso Style Dark Roast Coffee, 72 Keurig K-Cup Pods",B00MA5LA48,False,False,4.7,31268
16,"Crave Beverages Flavored Coffee Pods Sampler, Compatible with 2.0 K-Cup Brewers, Assorted Variety Pack, 100 Count",B07M7PQDH3,False,False,4.4,48041
17,"Peet's Coffee, Dark Roast K-Cup Pods for Keurig Brewers - Major Dickason's Blend 75 Count (1 Box of 75 K-Cup Pods)",B01N2KFHRS,False,False,4.8,28529
18,"Starbucks K-Cup Coffee Pods, Medium Roast, Pike Place Roast for Keurig Brewers, 100% Arabica, 1 Box (40 Pods)",B0944QNV4Y,False,True,4.7,1482
19,"Two Rivers Coffee Pods Compatible with K Cup Brewers Including 2.0, Assorted Flavored Coffee 100 Count",B071456ZW7,False,True,4.4,54544
20,"Starbucks K-Cup Coffee Pods, Dark Roast, Caffè Verona for Keurig Brewers, 100% Arabica, 1 Box (40 Pods)",B0944B7K4W,False,True,4.7,1310
21,"Starbucks K-Cup Coffee Pods, Black Coffee Variety Pack for Keurig Brewers, 100% Arabica, 4 Boxes (96 Pods Total)",B07FYJ4MRF,False,True,4.8,647
22,Maxwell House Breakfast Blend Light Roast K-Cup Coffee Pods (84 ct Box),B01MXRCTIH,False,False,4.7,19748
23,"Green Mountain Coffee Roasters Caramel Vanilla Cream, Single-Serve Keurig K-Cup Pods, Flavored Light Roast Coffee Pods, 32 Count",B0798CX2Q9,False,False,4.7,41528
24,"Green Mountain Coffee Roasters Half Caff, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 12 Count (Pack of 6), Total 72 Count",B00I08JH58,False,False,4.7,76700
25,"Caribou Coffee Caribou Blend, Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 32 Count",B0798KV8HL,False,False,4.7,21510
26,"Two Rivers Coffee Flavored Coffee Pods Compatible with Keurig K Cup Brewers, Assorted Variety Pack Flavored Coffee, 40 Count",B00N0JIACS,False,False,4.4,54544
27,Starbucks K-Cup Coffee Pods—Medium Roast Coffee—Pike Place Roast for Keurig Brewers—100% Arabica—6 boxes (60 pods total),B07PNKZ4Y8,False,False,4.7,2996
28,Maxwell House House Blend Medium Roast K-Cup Coffee Pods (84 ct Box),B00NLVFO2O,False,False,4.7,24825
29,"Don Francisco's Kona Blend Medium Roast Coffee Pods - 24 Count - Recyclable Single-Serve Coffee Pods, Compatible with your K-Cup Keurig Coffee Maker (Including 2.0)",B06Y3JQJJP,False,False,4.5,3507
30,"Green Mountain Coffee Roasters Dark Magic Coffee, Keurig Single-Serve K-Cup pods, Dark Roast, 24 Count, Pack of 4",B007TJGZYU,False,False,4.7,37003
31,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Kona Blend, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",B07NZV7JL5,True,False,4.4,51390
32,"Gevalia Colombia K-Cup Coffee Pods, for a Keto and Low Carb Lifestyle (84 ct Box)",B0884B4LDQ,False,False,4.7,28741
33,"IHOP Medium Roast Signature Blend Keurig K-Cup Coffee Pods, 10 ct Box",B0BQ41BVXC,False,False,4.3,453
34,Lavazza Perfetto Single-Serve Coffee K-Cups for Keurig Brewer (Pack of 40) (Packaging May Vary),B08ZW8V27M,False,False,4.4,5463
35,"Krispy Kreme Classic, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee Pods, 32 Count",B0798LF9DX,False,False,4.7,14798
36,"Amazon Brand - Happy Belly Dark Roast Coffee Pods, Compatible with K-Cup Brewer, 96 Count",B08ZZP3BKK,True,False,4.3,2481
37,"Dunkin' Original Blend Medium Roast Coffee, 10 Count (Pack of 6), Total 60 Keurig K-Cup Pods",B00XA1075Y,False,False,4.8,34962
38,"Eight O'Clock Coffee The Original, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee Pods, 72 Count",B00I08JKI2,False,False,4.7,17624
39,"Kauai Coffee Single-Serve Pods, Na Pali Coast Dark Roast Arabica Coffee from Hawaii’s Largest Coffee Grower, Compatible with Keurig K-Cup Brewers - 12 Count",B00H29LR9K,False,False,4.6,21215
40,100 ESPRESSO ITALIA Variety Pack - Nespresso Compatible Capsules - Italian Espresso Coffee Capsules. Expresso Coffee Pods,B08CY7K2N6,False,False,4.3,3348
41,"Victor Allen Coffee Caramel Macchiato Single Serve K-cup, 80 Count (Compatible with 2.0 Keurig Brewers) (Packaging May Vary)",B01HCV7R14,False,False,4.6,4920
