rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"KEKUOU 3 Pieces Stretch Couch Covers for 2 Cushion Couch Sofa, Sofa Cover Slipcover for 2 Separate Cushion Couch with Soft Elastic Furniture Protector for Dog, Kids (Loveseat,Black)",B0C1SLWVJ1,False,True,4.2,30
1,"KEKUOU Stretch Sofa Cover Slipcover ，Couch Covers for 3 Cushion Couch Sofa (79""-94"") Furniture Protector 3 Seater Sofa with Elastic Bottom for Kids,Dog, Jacquard Small Checked(Large,Black)",B08PNQCKF7,False,True,4.2,8870
2,"Asnomy Couch Covers for 3 Cushion Couch Stretch Sofa Covers Slipcovers, Pet Protector Furniture Covers for Dogs Cats Spandex Jacquard Fabric Small Checks（Large， Black）",B08QF5HZGZ,False,True,4.0,6657
3,"Asnomy Couch Covers for 3 Cushion Couch Sofa Cover Velvet Stretch Slipcovers for Dogs Cats,3 Seat Cushion Furniture Protector Machine Washable（Large，Dark Grey）",B09YY7VMHZ,False,True,4.5,894
4,"XINEAGE 2023 Newest 4 Pieces Couch Covers for 3 Cushion Couch Super Stretch Thick Soft Sofa Cover Anti Slip Sofa Slipcover Dogs Cats Furniture Protector (Light Gray, 71""-91"")",B0BWJ9YYZD,False,False,4.5,76
5,"ZNSAYOTX 1 Piece Jacquard Couch Covers for 3 Cushion Couch Living Room High Stretch Sofa Cover Pets Dogs Friendly Anti Slip Thickened Slipcovers Furniture Protector (Sofa, Light Grey)",B08DY6R1N4,False,False,4.2,3109
6,"Easy-Going Reversible Couch Cover for 3 Cushion Couch Sofa Cover for Dogs Water Resistant Furniture Protector Cover with Elastic Straps for Pet Cat (Sofa, Chocolate/Beige)",B075WQLXMV,False,False,4.3,83080
7,"Easy-Going Stretch Sofa Slipcover 1-Piece Sofa Cover Furniture Protector Couch Soft with Elastic Bottom for Kids, Polyester Spandex Jacquard Fabric Small Checks (Sofa, Black)",B082D4815N,False,False,4.3,71519
8,"PureFit Super Stretch Chair Sofa Slipcover – Spandex Non Slip Soft Couch Sofa Cover, Washable Furniture Protector with Non Skid Foam and Elastic Bottom for Kids, Pets （Sofa, Dark Gray）",B07QQ21GL2,False,False,4.2,53282
9,"2023 New Wear-Resistant Universal Sofa Cover, Stretch Couch Cushion Slipcovers Replacement, Anti-Slip L Shape Sofa Covers, Chaise Lounge Sofa Slipcover (Weave Grey,Chaise Cover)",B0BFB3Q1GP,False,False,3.8,1173
