rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics 3-Seater Deep Lounge Sofa Outdoor Patio Furniture Cover,B00LFIZ6PU,True,False,4.5,7743.0
1,"Amazon Basics Lounge Deep-Seat Outdoor Patio Furniture Cover, Set of 2, Beige / Tan",B00LFIZ4Q6,True,False,4.6,4813.0
2,"Amazon Basics Gel Odor Eliminator, Charcoal, 17 oz",B09B1QT2RP,True,False,3.8,85.0
3,"Amazon Basics Lounger Sofa Couch Style Pet Bed with Memory Foam, Bolsters, and Removable Cover for Dog or Cat, Small, Grey, 25 in x 20 in x 6.5 in",B07DZJ9DNJ,True,False,4.5,3256.0
4,"Amazon Basics Shaggy Long Fur Faux Fur Throw Pillow Covers, 18""x18"", Pack of 2 - Light Grey",B08FTK72VF,True,False,4.5,3518.0
5,Amazon Basics Griffen 3-Seater Sofa Outdoor Patio Furniture Cover,B00LFIZ6W8,True,False,4.4,2798.0
6,Amazon Basics 2-Seater Bench Patio Cover,B00LFIZ4MA,True,False,4.6,3357.0
7,"Amazon Basics Memory Foam Filled Bean Bag Lounger with Microfiber Cover, 6 ft, Black, Solid",B07TP4SPNF,True,False,4.3,5461.0
8,"Amazon Basics Coffee Table Patio Cover, Medium, Beige/Tan, 48""x28""",B00LFIZAF6,True,False,4.7,2378.0
9,"Amazon Basics High-Back Chair Outdoor Patio Furniture Cover, 35 x 28 x 35 inches, Beige / Tan",B00S13DBGS,True,False,4.7,12158.0
10,Amazon Basics Lounge Deep-Seat Patio Cover (Set of 2) WITH Amazon Basics 2-Seater Deep Lounge Sofa Patio Cover,B07393BCMX,True,False,4.4,13.0
11,Amazon Basics 2-Seater Deep Lounge Sofa Outdoor Patio Furniture Cover & Coffee Table Patio Cover,B08GR2P2G8,True,False,5.0,2.0
12,"Amazon Brand – Stone & Beam Hillman Mid-Century Sofa Couch with Wood Base and Legs, 78""W, Ivory",B07QHYD995,True,False,4.7,359.0
13,"Amazon Brand - Stone & Beam Westview Extra-Deep Down-Filled Sofa Couch, 89""W, Smoke",B082VL45Z5,True,False,4.2,961.0
14,"Amazon Brand – Stone & Beam Lauren Down-Filled Oversized Sofa Couch, 89""W, Pearl",B07P8SS172,True,False,4.5,2013.0
15,Amazon Basics Lounge Deep-Seat Patio Cover (Set of 2) WITH Amazon Basics 3-Seater Deep Lounge Sofa Patio Cover,B07391WBS3,True,False,4.8,12.0
16,"Amazon Brand – Stone & Beam Rustin Contemporary Deep-Seated Sofa Couch, 89""W, Grey",B08NYFRTVW,True,False,4.2,14.0
17,"Amazon Brand – Rivet Frederick Mid-Century Channel Tufted Velvet Sofa Couch, 77.5""W, Grey",B082VLTCM4,True,False,4.7,150.0
18,Amazon Basics Lounge Deep-Seat Patio Cover (Set of 2) WITH Amazon Basics 2-Seater Bench Patio Cover,B073966SPP,True,False,4.5,3.0
19,"Amazon Basics Lounge Deep-Seat Outdoor Patio Furniture Cover, Set of 2 & Griffen 3-Seater Sofa Outdoor Patio Furniture Cover",B08GQ3XLDN,True,False,4.3,8.0
20,Amazon Basics Griffen 3-Seater Sofa Outdoor Patio Furniture Cover & Adirondack-Chair Outdoor Patio Furniture Cover,B084GMVPSD,True,False,3.8,5.0
21,"Amazon Basics Griffen 3-Seater Sofa Outdoor Patio Furniture Cover & Dining Table Outdoor Patio Furniture Cover, 75 Inch",B08GQ7K61K,True,False,,
22,"Amazon Basics 2-Seater Deep Lounge Sofa Outdoor Patio Furniture Cover & Dining Arm Chair Outdoor Patio Furniture Cover, Set of 2",B08GR252CY,True,False,,
