rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"BULKSUPPLEMENTS.COM Creatine Monohydrate Powder - Creatine Pre Workout, Creatine for Building Muscle - 5g (5000mg) of Micronized Creatine Powder per Serving, Creatine Monohydrate 500g (1.1 lbs)",B00E9M4XFI,False,True,4.6,45221
1,"Thorne Creatine - Creatine Monohydrate, Amino Acid Powder - Support Muscles, Cellular Energy and Cognitive Function - Gluten-Free, Keto - NSF Certified for Sport - 16 Oz - 90 Servings",B07978VPPH,False,True,4.6,9112
2,"Nutricost Creatine Monohydrate Micronized Powder 500G, 5000mg Per Serv (5g) - Micronized Creatine Monohydrate, 100 Servings",B00GL2HMES,False,True,4.7,30119
3,"NatureBell Creatine Monohydrate Powder 500 Grams, 5000mg Per Serving, Pure Unflavored Creatine Powder - Micronized - Pre Workout | Keto | Vegan | Dissolves Easy | Filler Free - 100 Servings (1.1Lb)",B09VCTVH98,False,True,4.6,5395
4,"Optimum Nutrition Micronized Creatine Monohydrate Powder, Unflavored, Keto Friendly, 60 Servings (Packaging May Vary)",B002DYIZEE,False,False,4.6,81380
5,"Nutricost Creatine Monohydrate Micronized Powder 500G, 5000mg Per Serv (5g) - Micronized Creatine Monohydrate, 100 Servings",B00GL2HMES,False,False,4.7,30119
6,"BULKSUPPLEMENTS.COM Creatine Monohydrate Powder - Creatine Pre Workout, Creatine for Building Muscle - 5g (5000mg) of Micronized Creatine Powder per Serving, Creatine Monohydrate 500g (1.1 lbs)",B00E9M4XFI,False,False,4.6,45221
7,"Creatine Monohydrate Powder 1.1lbs (100 Servings of 5 Grams Each - Third Party Tested Micronized Creatine Powder) Unflavored, Keto, Vegan Friendly (with Scoop)(Creatina Monohidratada) by Double Wood",B0BMPLP7K6,False,False,4.7,951
8,Evlution Pure Creatine Monohydrate Powder 5000mg Nutrition Pre and Post Workout Recovery Drink Mix Creatine Powder for Enhanced Muscle Mass Athletic Performance and Muscle Recovery - Unflavored,B073V45GLR,False,False,4.6,2510
9,"Bucked Up Creatine Monohydrate 250 Grams Micronized Powder, Essentials (50 Servings)",B09R5KPNHZ,False,False,4.7,4098
10,"Gorilla Mind Gorilla Mode Creatine – Creatine Monohydrate Micronized Powder / Improved Muscle Size, Power Output and Strength / 5 Grams per Servings, 30 Servings",B0BKC3FH99,False,True,4.6,145
11,GNC Pro Performance Pro Performance Creatine Monohydrate - 50 Servings,B0BNP415CJ,False,True,4.7,79
12,"Bucked Up Creatine Monohydrate 250 Grams Micronized Powder, Essentials (50 Servings)",B09R5KPNHZ,False,True,4.7,4098
13,"NutraBio Creatine Monohydrate - Micronized and Pure Grade - Supports Muscle Energy and Strength - (150 Grams) - Unflavored, HPLC Tested (150g)",B00N2W566Q,False,True,4.6,6176
14,"It's Just! - Creatine Monohydrate Powder, 17.6oz, Pure Creatine Powder, Made in USA, 3rd Party Lab Tested, 5g Per Serving, Scoop Included, No Fillers, No Added Flavor",B0CCCNKD73,False,False,4.6,19
15,"NAKED nutrition Pure Micronized Creatine Monohydrate - 100 Servings - 500 Grams, 1.1Lb Bulk, Vegan, Non-GMO, Gluten Free, Soy Free. Aid Strength Gains, No Artificial Ingredients - Naked Creatine",B0B9YMNYWK,False,False,4.7,8878
16,GNC Pro Performance Pro Performance Creatine Monohydrate - 50 Servings,B0BNP415CJ,False,False,4.7,79
17,"NatureBell Creatine Monohydrate Powder 500 Grams, 5000mg Per Serving, Pure Unflavored Creatine Powder - Micronized - Pre Workout | Keto | Vegan | Dissolves Easy | Filler Free - 100 Servings (1.1Lb)",B09VCTVH98,False,False,4.6,5395
18,BEYOND RAW Chemistry Labs Creatine HCl Powder | Improves Muscle Performance | 120 Servings,B07RV3BQ45,False,True,4.5,3114
19,"Myprotein - Creatine Monohydrate Powder Bag 0.55 lbs - Pure Unflavored Creatine Powder - Post/Pre Workout Supplement for All Sports and Exercises - Gluten Free, Vegan, Dissolves Easy - (50 Servings)",B00HN8LE7A,False,True,4.6,5504
20,"Micronized Creatine Monohydrate Powder 400 G - Unflavored Vegan Creatine Powder for Pre Workout and Recovery - Pure Creatine for Women and Men - Instantized Creatine Supplement, 80 Servings",B0BD7499LX,False,True,4.5,499
21,"Creatine Monohydrate Powder 1 kg (2.2 Lbs), 5000mg Per Serv, Micronized Creatine Powder, Unflavored, Pure, No Filler, Keto & Vegan Friendly, Easy Dissolve Pre Workout Creatine for Women and Men",B09YFHGK3F,False,True,4.7,479
22,Ryse Element Series Creatine Monohydrate | Increase Lean Muscle Mass | Improve Strength & Power | Reduce Fatigue | Perform Better | 60 Servings,B099KRBL53,False,False,4.7,804
23,Creatine Monohydrate Powder | MuscleTech Platinum | Pure Micronized | Muscle Recovery + Builder for Men & Women | Workout Supplements | Unflavored (80 Servings),B00IUHNCIW,False,False,4.6,27298
