rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"BULKSUPPLEMENTS.COM Creatine Monohydrate Powder - Creatine Pre Workout, Creatine for Building Muscle - 5g (5000mg) of Micronized Creatine Powder per Serving, Creatine Monohydrate 500g (1.1 lbs)",B00E9M4XFI,False,True,4.6,45221.0
1,"Nutricost Creatine Monohydrate Micronized Powder 500G, 5000mg Per Serv (5g) - Micronized Creatine Monohydrate, 100 Servings",B00GL2HMES,False,True,4.7,30119.0
2,"Gorilla Mind Gorilla Mode Creatine – Creatine Monohydrate Micronized Powder / Improved Muscle Size, Power Output and Strength / 5 Grams per Servings, 30 Servings",B0BKC3FH99,False,True,4.6,145.0
3,"NatureBell Creatine Monohydrate Powder 500 Grams, 5000mg Per Serving, Pure Unflavored Creatine Powder - Micronized - Pre Workout | Keto | Vegan | Dissolves Easy | Filler Free - 100 Servings (1.1Lb)",B09VCTVH98,False,True,4.6,5395.0
4,"Optimum Nutrition Micronized Creatine Monohydrate Powder, Unflavored, Keto Friendly, 60 Servings (Packaging May Vary)",B002DYIZEE,False,False,4.6,81380.0
5,"Nutricost Creatine Monohydrate Micronized Powder 500G, 5000mg Per Serv (5g) - Micronized Creatine Monohydrate, 100 Servings",B00GL2HMES,False,False,4.7,30119.0
6,"BULKSUPPLEMENTS.COM Creatine Monohydrate Powder - Creatine Pre Workout, Creatine for Building Muscle - 5g (5000mg) of Micronized Creatine Powder per Serving, Creatine Monohydrate 500g (1.1 lbs)",B00E9M4XFI,False,False,4.6,45221.0
7,"Creatine Monohydrate Powder 1.1lbs (100 Servings of 5 Grams Each - Third Party Tested Micronized Creatine Powder) Unflavored, Keto, Vegan Friendly (with Scoop)(Creatina Monohidratada) by Double Wood",B0BMPLP7K6,False,False,4.7,951.0
8,"Thorne Creatine - Creatine Monohydrate, Amino Acid Powder - Support Muscles, Cellular Energy and Cognitive Function - Gluten-Free, Keto - NSF Certified for Sport - 16 Oz - 90 Servings",B07978VPPH,False,False,4.6,9112.0
9,Evlution Pure Creatine Monohydrate Powder 5000mg Nutrition Pre and Post Workout Recovery Drink Mix Creatine Powder for Enhanced Muscle Mass Athletic Performance and Muscle Recovery - Unflavored,B073V45GLR,False,False,4.6,2510.0
10,"Bucked Up Creatine Monohydrate 250 Grams Micronized Powder, Essentials (50 Servings)",B09R5KPNHZ,False,True,4.7,4098.0
11,"Jocko Fuel Creatine Monohydrate Powder - Creatine for Men & Women, Supplement for Athletic Performance & Muscle Health, 90 Servings 16 oz (Unflavored)",B0BT23VBLJ,False,True,4.7,245.0
12,"Creatine Monohydrate Powder 1 kg (2.2 Lbs), 5000mg Per Serv, Micronized Creatine Powder, Unflavored, Pure, No Filler, Keto & Vegan Friendly, Easy Dissolve Pre Workout Creatine for Women and Men",B09YFHGK3F,False,True,4.7,479.0
13,"Micronized Creatine Monohydrate Powder 400 G - Unflavored Vegan Creatine Powder for Pre Workout and Recovery - Pure Creatine for Women and Men - Instantized Creatine Supplement, 80 Servings",B0BD7499LX,False,True,4.5,499.0
14,BEYOND RAW Chemistry Labs Creatine HCl Powder | Improves Muscle Performance | 60 Servings,B07CKFG53T,False,False,4.5,3114.0
15,"NAKED nutrition Pure Micronized Creatine Monohydrate - 100 Servings - 500 Grams, 1.1Lb Bulk, Vegan, Non-GMO, Gluten Free, Soy Free. Aid Strength Gains, No Artificial Ingredients - Naked Creatine",B0B9YMNYWK,False,False,4.7,8878.0
16,Creatine Monohydrate Powder | MuscleTech Platinum | Pure Micronized | Muscle Recovery + Builder for Men & Women | Workout Supplements | Unflavored (80 Servings),B00IUHNCIW,False,False,4.6,27298.0
17,"GNC Pro Performance Creatine Monohydrate 3500mg - 120 Capsules, Helps Improve Athletic Performance",B001KYS2DC,False,False,4.4,2792.0
18,"Thorne Creatine - Creatine Monohydrate, Amino Acid Powder - Support Muscles, Cellular Energy and Cognitive Function - Gluten-Free, Keto - NSF Certified for Sport - 16 Oz - 90 Servings",B07978VPPH,False,True,4.6,9112.0
19,"Nutricost Creatine Monohydrate Powder (Fruit Punch, 500 Gram)",B01M3SO70X,False,True,4.5,998.0
20,BEYOND RAW Chemistry Labs Creatine HCl Powder | Improves Muscle Performance | 120 Servings,B07RV3BQ45,False,True,4.5,3114.0
21,"Myprotein - Creatine Monohydrate Powder Bag 0.55 lbs - Pure Unflavored Creatine Powder - Post/Pre Workout Supplement for All Sports and Exercises - Gluten Free, Vegan, Dissolves Easy - (50 Servings)",B00HN8LE7A,False,True,4.6,5504.0
22,"NatureBell Creatine Monohydrate Powder 500 Grams, 5000mg Per Serving, Pure Unflavored Creatine Powder - Micronized - Pre Workout | Keto | Vegan | Dissolves Easy | Filler Free - 100 Servings (1.1Lb)",B09VCTVH98,False,False,4.6,5395.0
23,"ProMera Sports CON-CRET Patented Creatine HCl Capsules 750 mg, 72 Caps",B0088XS44K,False,False,4.5,1390.0
24,"CON-CRET Patented Creatine HCl Powder, Lemon-Lime Stimulant-Free Workout Supplement for Energy, Strength, and Endurance, 64 Servings",B018ITUO5K,False,False,4.4,3933.0
25,"Bucked Up Creatine Monohydrate 250 Grams Micronized Powder, Essentials (50 Servings)",B09R5KPNHZ,False,False,4.7,4098.0
26,"SUNWARRIOR Active Creatine, 10.58 OZ",B0BS1X7P75,False,False,,
27,"MuscleTech Cell-Tech Creactor | Creatine HCl Formula | Muscle Builder for Men & Women | Creatine HCl + Free-Acid Creatine Supplements | Fruit Punch Extreme, 120 Servings",B00M6TJ1CQ,False,False,4.6,1578.0
28,Ryse Element Series Creatine Monohydrate | Increase Lean Muscle Mass | Improve Strength & Power | Reduce Fatigue | Perform Better | 60 Servings,B099KRBL53,False,False,4.7,804.0
29,GNC Pro Performance Pro Performance Creatine Monohydrate - 100 Servings,B0BNP5SZWN,False,False,4.7,79.0
30,"Life Extension Creatine Capsules – For Healthy Muscle Performance - Energy Support Supplement Non-GMO, Gluten Free – 120 Capsules",B00BPS3L8E,False,False,4.4,1835.0
31,"It's Just! - Creatine Monohydrate Powder, 17.6oz, Pure Creatine Powder, Made in USA, 3rd Party Lab Tested, 5g Per Serving, Scoop Included, No Fillers, No Added Flavor",B0CCCNKD73,False,False,4.6,19.0
32,"Beast Sports Nutrition Creature, Cherry Limeade - 11.64 oz - 5 Forms of Creatine + Creatine Optimizers - Improve Strength, Muscle Tone, Endurance, Recovery & Energy Production - 60 Servings",B00AOJ00O8,False,False,4.5,1991.0
33,"NutraBio Creatine Monohydrate - Micronized and Pure Grade - Supports Muscle Energy and Strength - (150 Grams) - Unflavored, HPLC Tested (150g)",B00N2W566Q,False,False,4.6,6176.0
34,"One Sol Creatine for Women Booty Gain, All Natural Women's Creatine Powder with Creapure, Increase Lean Muscle Mass, Reduce Recovery Time, Promotes Brain & Bone Health (Unflavored, 100 Servings)",B0BRNWSMVD,False,False,4.5,847.0
35,"Cellucor Cor-Performance Creatine Monohydrate for Strength and Muscle Growth, 72 Servings",B01BVRO7T0,False,False,4.6,7073.0
36,"Creatine Monohydrate,Micronized, Pure,Unflavored,280g (9.8oz)",B0BFH8568W,False,False,4.3,80.0
37,"Six Star Creatine Pills Post Workout X3 Creatine Capsules Creatine Monohydrate Blend Muscle Recovery & Muscle Builder for Men & Women Creatine Supplements, 20 Servings",B005DKV9SE,False,False,4.5,5754.0
38,"Glaxon Dr. Creatine, Creatine Monohydrate in Delayed Release Capsules, Creatine Pills for Enhanced Performance, Better Absorption, Reduced Stomach Discomfort, 200 Capsules, 50 Servings",B08VQ57NLW,False,False,4.5,57.0
39,"Creatine Monohydrate Powder MuscleTech Cell-Tech Creatine Post Workout Recovery Drink Muscle Builder For Men & Women Muscle Building Supplements Fruit Punch, 3 lbs (27 Serv)",B008LQT7UY,False,False,4.6,5596.0
40,"NOW Sports Nutrition, Creatine Monohydrate 750 mg, Mass Building*/Energy Production*, 120 Veg Capsules",B0018OADEA,False,False,4.3,1279.0
41,"Jacked Factory Creatine Monohydrate Powder 425g - Creatine Supplement for Muscle Growth, Increased Strength, Enhanced Energy Output and Improved Athletic Performance 85 Servings, Unflavored",B08DH161T6,False,False,4.6,9089.0
42,"Nutricost Micronized Creatine Monohydrate 3,000mg 500 Capsules, 125 Servings, 750mg of Creatine Monohydrate Per Capsule",B01IW245EY,False,False,4.6,3054.0
43,"Jocko Fuel Creatine Monohydrate Powder - Creatine for Men & Women, Supplement for Athletic Performance & Muscle Health, 90 Servings 16 oz (Unflavored)",B0BT23VBLJ,False,False,4.7,245.0
44,"Micronized Creatine Powder, Unflavored, 10.6 oz (300 g), Optimum Nutrition",B00HF1JQHK,False,False,4.6,1034.0
45,"Muscle Feast Creapure Creatine Monohydrate Powder for Muscle Growth Nutritional_Supplement, Vegan Keto Friendly Gluten-Free Easy to Mix, Unflavored, 300g, 55.0 Servings (Pack of 1)",B008S0I1Q4,False,False,4.6,8089.0
46,"Animal Creatine Chews Tablets - Enhanced Creatine Monohydrate with AstraGin to Improve Absorption, Sea Salt for Added Pumps, Delicious and Convenient Chewable Tablets - Grape",B0B4Z2RTY1,False,False,4.3,1819.0
47,"BSN Micronized Creatine Monohydrate Powder, Unflavored, 2 Months Supply-60 Servings, 10.9 ounce",B00QEMY4T6,False,False,4.6,4471.0
48,"PEScience TruCreatine+, Pure Creatine Monohydrate and ElevATP Powder, 30 Servings",B079XCTJJG,False,False,4.6,2132.0
49,MuscleTech Cell-Tech Creactor Creatine HCl Powder | Post Workout Muscle Builder for Men &amp; Women | Creatine Hydrochloride + Free-Acid | Unflavored (120 Servings),B00UWSRZ8K,False,False,4.3,2206.0
50,"Creatine Monohydrate Powder | 2.2lbs (35.2 oz) | HPLC Purity Tested | Vegetarian, Non-GMO, & Gluten Free Supplement | by Horbaach",B0BSXR71QC,False,False,4.3,106.0
51,Evlution Pure Creatine Monohydrate Capsules 1000mg Nutrition Pre and Post Workout Recovery Vegan Creatine Pills for Muscle Gains and Muscle Recovery Supplement - Creatine Muscle Builder for Men,B081G8V25N,False,False,4.5,985.0
52,ALLMAX Essentials CREATINE - 1000 g Powder - Improves Performance & Training Intensity - Vegan & Gluten Free - 200 Servings,B00IP2I94O,False,False,4.6,2829.0
53,"Creatine Monohydrate Powder 300 Grams (60 Servings), Unflavored | Pure | Micronized Creatine Powder, 5000mg(5g) Per Serving, 2 Month Supply, Vegan | Keto, Non-GMO, No Filler, No Additives",B09YX7G6JJ,False,False,4.6,1145.0
54,"Creatine Monohydrate Powder 500 Grams (1.1 LBS), 5000mg Per Serv, Micronized Creatine Powder, Unflavored, Pure, No Filler, Keto & Vegan, Easy Dissolve Pre Workout Creatine for Women and Men",B09TNMZBQ5,False,False,4.7,1350.0
55,Creatine Capsules - 5g of Premium 3X ThreeAtine Pre Workout Bulk Muscle Mass Gainer - High Absorption Easy-to-Take Creatine Monohydrate Capsules Optimum Performance for Men Women - 180 Capsules,B09MZV4LCS,False,False,4.3,9388.0
56,Fitness Labs German Creatine Monohydrate Powder | 1.1 lb | Creapure Fitness Supplement | 100 Servings,B008KMUNRA,False,False,4.6,847.0
57,"Myprotein - Creatine Monohydrate Powder Bag 1.1 lbs- Pure Unflavored Creatine Powder - Post/Pre Workout Supplement for All Sports and Exercises - Gluten Free, Vegan, Dissolves Easy - (100 Servings)",B00CHJ3DW4,False,False,4.6,5504.0
