rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"NineSky Dehumidifier for Home, 85 OZ Water Tank, (800 sq.ft) Dehumidifiers for Bathroom, Bedroom with Auto Shut Off, 7 Colors LED Light(Black)",B0BW3J4T44,False,True,4.4,4819.0
1,"70 Pints Dehumidifier for Home and Basement, 4,500 Sq. Ft. Dehumidifiers with Auto Drain or Manual Drainage, 0.8 gal Water Tank Capacity, Auto Shut off for Room, Bedroom, Bathroom",B0CDW61ZL3,False,True,4.7,27.0
2,"SIMSEN 95oz Dehumidifiers for Home, 7000 Cubic Feet(720 sq ft) Quiet Dehumidifier for Home with Drain Hose and 2 Working Modes, Portable Small Dehumidifiers for Bedroom Bathroom Basements Closet RV",B09V853BP2,False,True,4.3,4368.0
3,"BUBLUE 8,500 Sq. Ft 125 Pint Dehumidifier for Basements, Home and Large Room with Auto or Manual Drainage | 50db Industry Leading Noise Reducing | 1.72 Gallon Water Tank | Energy Saving, 3 Operation Modes, and 24 hr Timer | Household Commercial Dual-purpose",B0C9PBRQB7,False,True,4.4,911.0
4,"Dehumidifiers for Home, 25oz Dehumidifier Small Dehumidifiers for Room 285sq.ft with Auto-off, Ultra-Quiet Energy Saving Mini Dehumidifiers for Bedroom Bathroom Closet Desktop Office RV",B0BGN335KB,False,False,4.3,1135.0
5,"BREEZOME 60 OZ Dehumidifiers for Home, Dual-Semiconductor Quiet Dehumidifier with Timer Sleep Mode Auto-Off Auto Defrost 7 Colors Light Portable Small Dehumidifiers for Bedroom, Bathroom, RV",B0CHFJCBWD,False,False,4.6,5.0
6,"DampRid Lavender Vanilla Hanging Moisture Absorber, 16 oz., 3 Pack - Eliminates Musty Odors for Fresher, Cleaner Air, Ideal for Closet, 14% More Moisture Absorbing Power*",B09QXVTB18,False,False,4.7,8114.0
7,"NineSky Dehumidifier for Home, 85 OZ Water Tank, (800 sq.ft) Dehumidifiers for Bathroom Bedroom with Auto Shut Off,7 Colors LED Light(Gray)",B0BW36F2ZY,False,False,4.4,4819.0
8,"30 Pint Dehumidifiers for Home with Drain Hose, VEAGASO 2,500 Sq.Ft Dehumidifier for Basement, Large Room, Bathroom, Three Operation Modes, Intelligent Humidity Control, Dry Clothes, 24HR Timer",B0BVZ62Y3M,False,False,4.5,363.0
9,"MORFY Dehumidifiers for Room, Upgraded version 85 OZ Dehumidifiers, 6500 Cubic Feet(680sq ft) Small Dehumidifiers for Room with Drain Hose and Auto Shut Off, Portable Quiet Dehumidifier for Bedroom Bathroom RV Laundry Room or Closet",B0CGTZLLVZ,False,False,4.5,67.0
10,"30 Pint Dehumidifiers for Home with Drain Hose, VEAGASO 2,500 Sq.Ft Dehumidifier for Basement, Large Room, Bathroom, Three Operation Modes, Intelligent Humidity Control, Dry Clothes, 24HR Timer",B0BVZ62Y3M,False,True,4.5,363.0
11,"Shinco 40 Pints Dehumidifier for Home and Basements, 2000 Sq.Ft Dehumidifier with Drain Hose, Auto or Manual Drainage, Auto Defrost, Quietly Remove Moisture, Intelligent Humidity Control, 24HR Timer",B08P359Q79,False,True,4.2,820.0
12,"AIRPLUS 4,500 Sq.Ft 70 Pint Dehumidifiers for Basement and Home-with Drain Hose,Efficient,Energy-with Dual Protection and 4 Smart Modes,24H Timer,Defrost,for Large room",B0CC2DR9GM,False,True,4.7,47.0
13,"SAHAUHY 158 Pints Crawlspace Dehumidifier for Basement,Home,Commercial spaces and Job Sites with Drain Hose,Washable Filter,Auto Defrost,Remote Monitoring,5 Years Warranty(Black)",B0BQYM7VVY,False,True,4.4,615.0
14,"LUBAIR 4500 Sq.ft 50 Pint Dehumidifiers for Basements and Home, Large Room Basements with Automatic Drain or Manual Drainage,Intelligent Humidity Control, Laundry Dry, Auto Defrost, 24H Timer, Child Lock for Office, Living Room.",B0BQHHWVGL,False,False,4.5,294.0
15,"SEAVON Dehumidifiers for Home, 2200 Cubic Feet (215 sq ft), Portable Compact 27oz Capacity Quiet Mini Dehumidifier for Bedroom, Basements, Bathroom, Garage, Wardrobe Closet, Kitchen, Office, RV",B083J36134,False,False,4.3,5126.0
16,"Dehumidifier, ToLife Dehumidifiers for Room, 95 OZ Water Tank, (950 sq.ft) Dehumidifiers for Basement Home Bathroom Bedroom with Auto Shut Off, 7 Colors LED Light, Grey",B0CBK3L1VH,False,False,4.4,554.0
