rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Gooamp 100ML Ceramic Diffuser,Aromatherapy Diffuser,Essential Oil Diffuser with 7 Color Lights Auto Shut Off for Home Office Room,Wood Grain Base (0.5/1/2/ON hrs Working time)",B0BJKMWDBS,False,True,4.4,344
1,"Katusie 500ML Essential Oil Diffuser with 10 Essential Oils Gift Set, Aromatherapy Diffuser Humidifier with 2 Mist Mode 4 Timers＆ 7 Ambient Light Waterless Auto Off for Large Room Home Office",B097T2K8Q1,False,True,4.3,2049
2,"ASAKUKI 500ml Premium, Essential Oil Diffuser with Remote Control, 5 in 1 Ultrasonic Aromatherapy Fragrant Oil Humidifier Vaporizer, Timer and Auto-Off Safety Switch",B01MR4Y0CZ,False,True,4.5,50367
3,"ASAKUKI 300ML Essential Oil Diffuser, Quiet 5-in-1 Premium Humidifier, Natural Home Fragrance Aroma Diffuser with 7 LED Color Changing Light and Auto-Off Safety Switch",B07LBQR3QY,False,True,4.3,10953
4,"ASAKUKI 500ml Premium, Essential Oil Diffuser with Remote Control, 5 in 1 Ultrasonic Aromatherapy Fragrant Oil Humidifier Vaporizer, Timer and Auto-Off Safety Switch",B01MR4Y0CZ,False,False,4.5,50367
5,"Dukya Essential Oil Diffuser, 110ml Colorful Aromatherapy Diffuser with 8 Colors Lights, Adjustable Mist Mode, Waterless Auto Off for Home Office Room, Basic White",B0B4WR6SJZ,False,False,4.5,1695
6,"Himalayan Salt lamp Diffuser, 2-in-1 Salt Lamp & Ultrasonic Essential Oil Aromatherapy Diffuser, 220ml Tank Oil Diffuser Waterless Auto-Off, Salt Rock Lamp for Home Office Room",B0C1SL94T1,False,False,3.8,33
7,"ASAKUKI 300ML Essential Oil Diffuser, Quiet 5-in-1 Premium Humidifier, Natural Home Fragrance Aroma Diffuser with 7 LED Color Changing Light and Auto-Off Safety Switch",B07LBQR3QY,False,False,4.3,10953
8,"YIKUBEE Essential Oil Diffusers, 500ml Diffusers for Essential Oils Large Room,Home, Aromatherapy Oil Diffuser with Cool Mist",B09TFH65FK,False,False,4.3,7267
9,"Essential Oil Diffusers,Aromatherapy Diffuser for Home Bedroom, Grass Plants Raining Artificial Night Light -Humidifiers for Bedroom Fountain Bedside Sleeping Relaxing Mood Water Drop Sound",B0C23DT8NP,False,False,4.1,74
10,"Colorful Flame Air Aroma Diffuser Humidifier, Upgraded 7 Flame Colors Noiseless Essential Oil Diffuser for Home,Office,Yoga with Auto-Off Protection 180ml (8Hours Black)",B0B4NN6ZK2,False,True,4.1,1202
11,COCODOR Preserved Flower Reed Diffuser/White Jasmine/6.7oz(200ml)/1 Pack/Home & Office Decor Aromatherapy Diffuser Oil Gift Set,B0848JGM78,False,True,4.2,14252
