rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Dishwasher Detergent Pacs, Fresh Scent, 85 Count (Previously Solimo)",B09CLR75K6,True,False,4.5,30188
1,"Cascade Platinum Plus ActionPacs Dishwasher Detergent Pods, Mountain, 62 Count",B0BS4ZTJMB,False,True,4.8,84775
2,"Tide Ultra OXI Power PODS with Odor Eliminators Laundry Detergent Pacs, 63 Count, Cascade Platinum Plus ActionPacs Dishwasher Detergent Pods, Mountain, 52 Count Bundle",B0C47P881T,False,True,4.9,181
3,"BLUELAND Dishwasher Detergent Tablet Starter Set - Unscented Plastic-Free & Eco Friendly Alternative to Liquid Pods or Sheets - Natural, Sustainable - 60 Washes",B0BDCN9P5C,False,True,4.4,859
4,"Cascade Platinum Plus ActionPacs Dishwasher Detergent Pods, Fresh, 62 Count",B0BS5H2VNB,False,False,4.8,84775
5,"Cascade Complete Dishwasher Pods, Dishwasher tabs, Dish Washing Pods for Dishwasher, Dishwasher tablets, Fresh Scent ActionPacs, 78 Count",B01NCJSM2T,False,False,4.8,89901
6,"Amazon Basics Dishwasher Detergent Pacs, Fresh Scent, 85 Count (Previously Solimo)",B09CLR75K6,True,False,4.5,30188
7,Finish - Quantum - 82ct - Dishwasher Detergent - Powerball - Ultimate Clean & Shine - Dishwashing Tablets - Dish Tabs (Packaging May Vary),B07CVWG5L8,False,False,4.8,25786
8,"Finish All in 1 Gelpacs Orange, Dishwasher Detergent Tablets 84 count (packaging may vary )",B0085CJ1LY,False,False,4.5,22566
9,"Cascade Platinum Dishwasher Pods, Dishwasher Detergent, Dishwasher Pod, Dishwasher Soap Pod, Actionpacs Dish Washing Pod, Lemon, 62 Count Dishwasher Detergent Pods",B086ZJTVS5,False,False,4.8,85917
10,"Cascade Platinum ActionPacs Dishwasher Detergent Pods, Lemon, 36 Count",B01N5D2VN8,False,False,4.8,1552
11,"Cascade Platinum Dishwasher Soap Pods, Actionpacs + Oxi with Dishwasher Cleaner and Deodorizer Action, Fresh, 62 Count of Dish Detergent Pods",B08QVJBYMK,False,False,4.8,15623
12,"Cascade Complete Dishwasher Pods, Dishwasher tabs, Dish Washing Pods for Dishwasher, Dishwasher tablets, Lemon Scent ActionPacs, 78 Count",B07G28CM6P,False,False,4.8,16414
13,"Amazon Brand - Presto! Triple Action Dishwasher Pacs, Fresh Scent, 70 Count",B08T724H21,True,False,4.4,4844
14,"Finish - All in 1 - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs - Fresh Scent, 94 Count (Pack of 1) - Packaging May Vary",B06XX33G82,False,False,4.6,72602
15,FINISH - Quantum - 22ct - Dishwasher Detergent - Powerball - Ultimate Clean & Shine - Dishwashing Tablets - Dish Tabs,B09MZR6Y1H,False,False,4.7,756
16,Finish Quantum Infinity Shine - 70 Count - Dishwasher Detergent - Powerball - Our Best Ever Clean and Shine - Dishwashing Tablets - Dish Tabs (Packaging May Vary),B082V9BTWQ,False,False,4.7,20640
17,"Seventh Generation Dishwasher Detergent Packs for Sparkling Dishes Free & Clear Dishwasher Tabs 45 Count, Pack of 2 (Packaging May Vary)",B01FHUJ1FC,False,False,4.7,12182
18,Dishwasher Detergent Sheets for Soft Water Dish Washing Plastic-Free Liquidless Dishwashing Soap Strips 60 Sheet 120 Strips Lemon Scent,B0C61W7MFZ,False,True,3.4,87
19,"Molly's Suds Dishwasher Pods | Natural Dishwasher Detergent, Cuts Grease & Rinses Clean (Residue-Free) for Sparkling Dishes, Biodegradable Auto-Release Tabs (Citrus - 120 Count)",B0BS1SHP2B,False,True,4.5,1613
20,"Seventh Generation Power+ Dishwasher Rinse Aid, Fragrance Free, 8 fl oz, (Pack of 9)",B001PBELQW,False,True,4.7,699
21,"Dishwasher Cleaner and Deodorizer Tablets, Heavy Duty Deep Cleaning Eco Friendly Descaler Removes Odor, Calcium, Limescale, Hard Water Marks - 1 Year Supply",B0BZSZ4CB1,False,True,4.3,205
22,Finish - Quantum - 64ct - Dishwasher Detergent - Powerball - Ultimate Clean & Shine - Dishwashing Tablets - Dish Tabs,B0857XP96L,False,False,4.8,10804
23,"Cascade Platinum Dishwasher Soap Pods, Boost Actionpacs, Lemon, 37 Count Dishwasher Detergent Pods",B0BL1XTJCW,False,False,4.8,974
24,"Molly's Suds Dishwasher Pods | Natural Detergent, Cuts Grease & Rinses Clean (Residue-Free) for Sparkling Dishes, Biodegradable Auto-Release Tabs (Fragrance Free - 60 Count)",B0B1P5L7L9,False,False,4.5,1613
25,"Dropps Dishwasher Detergent | Lemon, 64 Pods | Deep Cleans for Sparkling, Shiny Dishes| Low-Waste Packaging | No Rinse Aid or Pre-Wash Needed | Powered by Natural Mineral-Based Ingredients",B09ND2KTCV,False,False,4.5,7239
26,"Lemi Shine Dish Detergent Booster, Hard Water Stain Remover, Multi-Use Citric Acid Cleaner with Award-Winning Dishwasher Cleaner (38 oz + 1 Dishwasher Cleaner, 1 Pack)",B082FPBWW3,False,True,4.7,15484
27,"COMFEE’ Countertop Dishwasher, Energy Star Portable Dishwasher, 6 Place Settings & 8 Washing Programs, Speed, Baby-Care, ECO& Glass, Dish Washer for Dorm, RV& Apartment, Black",B09ST4M8VF,False,True,4.3,1555
28,"40 Pack Highly Efficient Dishwasher Cleaner for Kitchen Tableware Care,Dishwasher Cleaning Tablets Removes Limescale Build Up",B0BRV1WXH9,False,True,4.3,6
29,"If You Care Dishwasher Tablets 40 Count - Powerful, Plant Based, Concentrated, Biodegradable, Natural Dish Cleaner Detergent, Dishwashing Soap Tabs",B00HBBX9ZO,False,False,4.3,1862
30,"Seventh Generation Power+ Dishwasher Detergent Packs for Sparkling Dishes Fresh Citrus Scent Dishwasher Tabs, 40 Count, Pack of 2 (Packaging May Vary)",B01FHUJ1ZW,False,False,4.6,1807
31,Finish Power - 43ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs,B09VCPN18P,False,False,4.6,498
32,"Grab Green Automatic Dishwashing Detergent Pods, 60 Count, Tangerine Lemongrass Scent, Plant and Mineral Based, Superior Cleaning, Powerful Grease Removal, Brilliant Shine",B005KVGE7C,False,False,4.3,4060
33,Finish - Quantum with Activblu technology - 37ct - Dishwasher Detergent - Powerball - Ultimate Clean and Shine - Dishwashing Tablets - Dish Tabs,B0857X2P8D,False,False,4.7,3252
34,"BLUELAND Dishwasher Detergent Tablet Starter Set - Unscented Plastic-Free & Eco Friendly Alternative to Liquid Pods or Sheets - Natural, Sustainable - 60 Washes",B0BDCN9P5C,False,False,4.4,859
35,"Palmolive PowerPacs Dishwasher Pods, 99.9% Biodegradable Formula in Dishwasher Tabs With No Added Fragrance - 60 count",B08L8RPZTV,False,False,3.9,667
36,Finish Power - 76ct - Dishwasher Detergent - Powerball - Dishwashing Tablets - Dish Tabs,B09V8XX13Q,False,False,4.6,1117
37,"Mrs. Meyer's Automatic Dishwasher Pods, Lemon Verbena, 20 Count - Pack of 3 (60 Total Pods)",B01M8LHHUH,False,False,4.7,2834
