rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Plush Pet Bed and Dog Crate Pad, X-Large, 46 x 29 x 4 Inches, Gray",B07DZVTYQB,True,False,4.5,32131
1,"INVENHO Dog Beds for Large Dogs, Soft Plush Orthopedic Dog Bed, Waterproof Dog Crate Bed with Removable Cover and Nonskid Bottom, Egg Crate Foam Pet Bed Mat, Machine Washable (36""x27""x3"")",B0C5ZVKPDW,False,True,4.6,135
2,"Furhaven Orthopedic Dog Bed for Large/Medium Dogs w/ Removable Bolsters & Washable Cover, For Dogs Up to 55 lbs - Plush & Suede Sofa - Espresso, Large",B01JAY0PZ6,False,True,4.5,76195
3,"Utotol Dog Beds for Medium Dogs, Washable Medium Dog Bed Breathable Soft Pet Bed, Waterproof Non-Slip Bottom",B07RJWCQL3,False,True,3.9,10171
4,"Washable Dog Bed Deluxe Plush Dog Crate Beds Fulffy Comfy Kennel Pad Anti-Slip Pet Sleeping Mat for Large, Jumbo, Medium, Small Dogs Breeds, 35"" x 23"", Gray",B09D7DWTVB,False,False,4.6,10622
5,"BFPETHOME Dog Beds for Large Dogs, Orthopedic Dog Bed for Medium Large Dogs, Egg- Foam Dog Crate Bed (L(36 * 27 * 6.5) Inch, Grey)",B09N8W2SC4,False,False,4.6,2482
6,"SHU UFANRO Medium Dog Bed for Small Medium Dogs, Washable Rectangle Durable Puppy Bed, Orthopedic Dog Sofa Bed, Soft Breathable Sleeping Pet Cuddler Beds for Indoor with Anti-Slip Bottom, Grey",B0C3QJ9YN1,False,False,4.4,55
7,"Bedsure Orthopedic Dog Bed for Medium Dogs - Waterproof Dog Sofa Bed Medium, Supportive Foam Pet Couch Bed with Removable Washable Cover, Waterproof Lining and Nonskid Bottom, Grey",B089QXMQXK,False,False,4.6,30947
8,"Veehoo Calming Dog Bed & Cat Bed, Anti-Anxiety Small Dog Beds for Medium Dogs, Washable Donut Round Pet Bed with Fluffy Faux Fur for Puppy and Kitten, 23x23 inch, Brown",B0919W1ZBZ,False,False,4.3,140
9,"kimpets Dog Bed Calming Dog Beds for Small Medium Large Dogs - Round Donut Washable Dog Bed, Anti-Slip Faux Fur Fluffy Donut Cuddler Anxiety Cat Bed(20"")",B08SBKPDVM,False,False,4.3,1523
10,"Amazon Basics Cooling Elevated Dog Bed with Metal Frame, Large, 51 x 31 x 8 Inch, Grey",B076VXVB2L,True,False,4.5,67751
