rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Plush Pet Bed and Dog Crate Pad, X-Small, 23 x 18 x 2.5 Inches",B07DZJR1P7,True,False,4.5,32131.0
1,"Amazon Basics Cooling Elevated Dog Bed with Metal Frame, Large, 51 x 31 x 8 Inch, Grey",B076VXVB2L,True,False,4.5,67751.0
2,"Amazon Basics Round Bolster Pet Bed with Flannel Top, 20-Inch, Brown and Ivory",B07233P1W2,True,False,4.4,16137.0
3,"Amazon Basics 24-Inch Self Warming Pet Bed For Cat or Dog, Rectangle, Grey, 24""L x 7""W x 20""H",B07FDDNXG3,True,False,4.6,12203.0
4,"Amazon Basics Lounger Sofa Couch Style Pet Bed with Memory Foam, Bolsters, and Removable Cover for Dog or Cat, Small, Grey, 25 in x 20 in x 6.5 in",B07DZJ9DNJ,True,False,4.5,3256.0
5,"Amazon Basics Cozy Pet Cave Bed for Dog, Large 35 x 35 x 13 Inches, Blue",B07H8CTX45,True,False,4.2,2047.0
6,"Amazon Basics 29-Inch Padded Pet Bolster Bed for Dog, White, 29.13""L x 18.9""W x 2.76""H",B07FVSZ795,True,False,4.5,8575.0
7,"Amazon Basics Cuddler Pet Bed For Cats or Dogs - Soft and Comforting - X-Large, Floral Print",B07P6P3J69,True,False,4.4,6273.0
8,"AmazonBasics Water-Resistant Pet Bed - Rectangular, Teal, 17.7 Inch",B07NZVNZFZ,True,False,4.2,2330.0
9,"Amazon Basics 3 Step Non Slip Pet Stairs for Dogs and Cats, Cocoa",B09T43Y7DZ,True,False,4.2,649.0
10,"Amazon Basics Foldable Steps for Dogs and Cats, Tan",B09T42V7QW,True,False,4.4,1097.0
11,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YL52SSY,True,False,,
12,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YLQDFCW,True,False,,
13,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YKTXWMP,True,False,,
14,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YLG671M,True,False,,
15,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YLHPWCN,True,False,,
16,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YKNHTC3,True,False,,
17,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YKZ481Z,True,False,,
18,Amazon Basics Metal Dog Crate and Plush Pet Bed Bundle,B09YLN119H,True,False,,
