rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"DAGANXI Tactical Dog Collar, Adjustable Military Training Nylon Dog Collar with Control Handle and Heavy Metal Buckle for Medium and Large Dogs, with Patches and Airtags Case (L, Black)",B0962R78HN,False,True,4.5,8493
1,"Fida Heavy Duty Dog Collar, Ultra Comfortable Soft Neoprene Padded, Adjustable Reflective Nylon Pet Collar with Durable Metal Belt Buckle for Small Breeds (S, Blue)",B09B9VCSW9,False,True,4.5,2192
2,"PAWBLEFY Personalized Dog Collars - Reflective Nylon Collar Customized with Name and Phone Number - Adjustable Sizes for Small Dogs, Medium, and Large - 4 Colors for Male Female boy Girl Puppies",B09YKCQRFG,False,True,4.5,4761
3,ActiveDogs Weighted K9 Dog Collar w/Sheepskin Padding for Muscle Building & Endurance Training - 5 x 1 lb. Weights,B07MXNRJ3M,False,True,4.7,203
4,"Joytale Reflective Dog Collar,Soft Neoprene Padded Breathable Nylon Pet Collar Adjustable for Small Dogs,Teal,S",B08CK9FVB9,False,False,4.6,46538
5,"Charmkit Dog Collar for Small Medium Large Dogs,Adjustable Soft Puppy Collars with Quick Release Buckle,M",B0C61N8JWN,False,False,4.6,8
6,"Country Brook Design - Purple Martingale Heavy Duty Nylon Dog Collar - 21 Vibrant Color Options (1 Inch Width, Medium)",B07N2XQ3JB,False,False,4.6,19074
7,"DAGANXI Tactical Dog Collar, Adjustable Military Training Nylon Dog Collar with Control Handle and Heavy Metal Buckle for Medium and Large Dogs, with Patches and Airtags Case (L, Black)",B0962R78HN,False,False,4.5,8493
8,"Faleela Soft &Comfy Bowtie Dog Collar,Detachable and Adjustable Bow Tie Collar,for Small Medium Large Pet (S, Beige)",B09185Z9BL,False,False,4.6,3912
9,"DOGWONG Cotton Hemp Dog Collar, Heavy-Duty White Dog Collar Durable Soft Natural Fabric Pet Dog Collar Cute Wedding Puppy Necklace for Small Medium Large Dog",B0C2TSNNYP,False,False,4.7,285
10,"Mercano Adjustable Dog Collar - Special Design Patterns, Soft Nylon Comfortable Durable Pet Collar for Small Medium Large Dogs (S, Tribal Green)",B0C4153SXS,False,True,4.7,204
11,"Made to ROAM Premium Dog Collar - Adjustable Heavy Duty Nylon Collar with Quick-Release Metal Buckle (Colorado Nightsky, Size 0)",B0916RJYJ6,False,True,4.7,6159
12,"KISSBAK Dog Collar for Medium Dogs - Special Design Cute Girl Dog Pet Collar Soft Adjustable Fancy Floral Girl Puppy Dog Collars (M, Lotus Flower)",B0BW8ZB9JW,False,True,4.7,4533
13,"Tactical Dog Collar Military Dog Collar Adjustable Nylon Dog Collar Heavy Duty Metal Buckle with Handle for Dog Training (Brown,L)",B08Y1LXPYR,False,True,4.4,10374
14,"Grepad Polyester Dog Collar for Large Dogs Female Male,Durable Comfortable Padded Basic Dog Collars for Puppy Small Medium Breed with Quick Release Safety Buckle for Dog Boy Girl,Pink,L",B0C6QP8L1Z,False,False,4.3,122
15,"Ladoogo Reflective Dog Collar Padded with Soft Neoprene Breathable Adjustable Nylon Dog Collars for Small Medium Large Dogs (Small (Pack of 1), Blue Collar+Leash)",B08PPCDGYT,False,False,4.6,9614
16,"TagME Reflective Nylon Dog Collars, Adjustable Classic Dog Collar with Quick Release Buckle for Small Dogs, Royal Blue, 5/8"" Width",B08PKD28HC,False,False,4.5,16873
17,Faygarsle Cotton Designer Dogs Collar Cute Flower Dog Collars for Girl Female Small Medium Large Dogs with Flower Charms M,B0BGN2LZLB,False,False,4.6,1573
18,Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Products for Extra Small Four Legged Child Necklace Chain Anti-Lost Shiny Stainless Steel Charm,B096G34R6P,False,True,4.7,17203
19,"WOOFO Premium Dog Collar | Super Adjustable for All Breeds, Quick Release Buckle | Extra Soft and Widened Padding & Reflective Trim Design for Safety (Large, Yellow)",B0BTYSSPHM,False,True,4.2,34
20,"Tactical Dog Collar and Bungee Leash,Military Dog Collar & Leash Set with USA American Flag Adjustable K9 Collar with Heavy Duty Metal Buckle & Handle,with Patches and Airtags Case (L, Black)",B0BRV8FY41,False,True,4.5,288
21,"Dog Muzzle, Soft Mesh Muzzles for Large Medium Small Dogs Labrador Retriever Husky Beagle Poodle, Adjustable Dog Mouth Guard with Matching Collar for Scavenging Licking Grooming",B0CBRBMK2K,False,True,4.4,22
22,"Timos Dog Collar for Small Medium Large Dogs,Adjustable Soft Puppy Collars with Quick Release Buckle,Sunset Valley,M Length 13.39''-20.87''",B08KT86T31,False,False,4.6,8965
23,"Reflective Dog Collar with Buckle Adjustable Safety Nylon Collars for Small Medium Large Dogs, Pink M",B08NSJNWJG,False,False,4.6,6132
24,"Tactical Dog Collar Military Dog Collar Adjustable Nylon Dog Collar Heavy Duty Metal Buckle with Handle for Dog Training (Brown,L)",B08Y1LXPYR,False,False,4.4,10374
25,Carhartt Dog Collar Brown/Brushed Brass Large,B07NSFR681,False,False,4.8,2490
26,"Joytale Neoprene Padded Dog Collar for Large Dogs, 11 Colors, Reflective Wide Pet Collars with Durable Metal Belt Buckle, Adjustable Heavy Duty Nylon Dog Collar, Teal",B09SL1HW8D,False,False,4.6,2635
27,"Taglory Reflective Dog Collar with Safety Locking Buckle, Adjustable Nylon Pet Collars for Large Dogs Female Male, Red, L",B07QDYB6XW,False,False,4.7,28467
28,"Elegant little tail Dog Collar, Floral Pattern Pet Collar Durable Cute Dog Collars Summer Female Pet Gift Adjustable Dog Collar for Small Dogs",B0C6SRJ2YD,False,False,4.4,56
29,"JC HOUSE Soft Padded Dog Collar, Neck 12’’-20’’, Adjustable Heavy Duty Collar with 3M Reflective Logo for Medium, Large Dogs, Camo Orange, M",B0BZW57BNW,False,False,4.6,26
