rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective No-Choke Pet Oxford Vest with Easy Control Handle for Large Dogs, Black, L",B01M8JT6FT,False,True,4.5,159813.0
1,AUROTH Tactical Dog Harness for Large Dogs No Pull Adjustable Reflective K9 Working Training Easy Control Pet Vest Military Service Harnesses Woodland Camo L,B07XNTV93Y,False,True,4.6,53208.0
2,"rabbitgoo Tactical Dog Harness for Large Dogs, Heavy Duty Dog Harness with Handle, No-Pull Service Dog Vest Large Breed, Adjustable Military Dog Vest Harness for Training Hunting Walking, Black, L",B0828PFJLY,False,True,4.4,17586.0
3,"Personalized Dog Harness - for Extra-Small Small Medium Puppy Dogs Harness,Reflective Step in Harness Customized with Name and Phone Number in Black, Blue, Orange and Pink",B0CJPJJKTB,False,True,,
4,"Voyager Step-in Air Dog Harness - All Weather Mesh Step in Vest Harness for Small and Medium Dogs by Best Pet Supplies - Harness (Pink), Small",B08CCGNBVY,False,False,4.6,51108.0
5,"rabbitgoo Dog Harness, No-Pull Pet Harness with 2 Leash Clips, Adjustable Soft Padded Dog Vest, Reflective No-Choke Pet Oxford Vest with Easy Control Handle for Large Dogs, Black, L",B01M8JT6FT,False,False,4.5,159813.0
6,"PHOEPET No Pull Dog Harness Medium Reflective Front Clip Vest with Handle,Adjustable 2 Metal Rings 3 Buckles,[Easy to Put on & Take Off](M, Orange)",B07GVCFQV6,False,False,4.5,18083.0
7,"PoyPet No Pull Dog Harness, No Choke Reflective Dog Vest, Adjustable Pet Harnesses with Easy Control Padded Handle for Small Medium Large Dogs(Tumalo Teal,S)",B0928LFMRD,False,False,4.5,43299.0
8,"No Pull Dog Harness with Soft Padded Handle,Reflective Strip Escape Proof and Quick Fit to Adjust Dog Harness,Easy for Training Walking for Small & Medium and Large Dog(Brown,M)",B09Y16CND3,False,False,4.5,1873.0
9,"AMTOR Dog Harness with Leash Set,No Pull Adjustable Reflective Step-in Puppy Harness with Padded Vest for Extra-Small/Small Medium Large Dogs and Cats(Green,S)",B09PL1RN8X,False,False,4.4,7170.0
10,"ICEFANG GN7 Agile-Moving Reflective Tactical Dog Harness with Handle,Walking Training K9 Molle Vest,No-Pull Front Clip,5-Points Adjust,Hook and Loop Panel (Large (Chest:28""-35""), Coyote Brown)",B09H5J3ZMJ,False,True,4.5,78.0
11,"Personalized No Pull Dog Harness with Custom Name and Phone Number by PawPawify, Heavy Duty Pet Vest to Prevent Tugging, Pulling, or Choking, Training and Walking S Chest 20-25in Color Grid",B08HZCJ8WT,False,True,4.3,6448.0
12,"rabbitgoo Tactical Dog Harness No Pull, Military Dog Vest with Handle & Molle, Easy Control Service Dog Harness for Large Dogs Training Walking, Adjustable Reflective Pet Harness, Black, L",B09J867KR3,False,True,4.5,4040.0
13,"rabbitgoo Escape Proof Dog Harness, Soft Padded Full Body Pet Harness, Reflective Adjustable No Pull Vest with Lift Handle and Leash Clip for Large Dogs Walking Hiking Training, L, Black",B07L2TBG5C,False,True,4.4,3073.0
14,"Dog Harness Vest for Small and Medium Dogs No Pull, Easy Walk Soft Step in Escape Proof Reflective Harness and Leash Set, S Black",B0BCYGBDMN,False,False,4.4,1724.0
15,"PetSafe The Ultimate No-Pull Dog Harness - Easy Walk - Take Control & Teach Better Leash Manners - Helps Stop/Prevent Pets Pulling - Medium, Black/Silver",B0009ZD3QY,False,False,4.3,42366.0
16,Pawtitas Solid Color Step in Dog Harness or Vest Harness Dog Training Walking of Your Puppy Harness Extra Small Dog Harness Teal Dog Harness,B073TLYFX4,False,False,4.2,15477.0
17,"PoyPet Reflective Soft Breathable Mesh Dog Harness Choke-Free Double Padded Vest with Adjustable Neck and Chest(Military Green,M)",B089FZ3PD9,False,False,4.5,7654.0
