rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics No-Pull Adjustable Soft Padded Dog Vest Harness with Reflective Stripes, Black, Medium",B0BL3MJJVZ,True,False,4.3,89.0
1,"Amazon Basics No-Pull Adjustable Front Clip Working Dog Molle Vest Harness, Black, X-Large",B0BL3FRD6X,True,False,4.5,64.0
2,"Amazon Basics Retractable Dog Leash, Medium - 16ft",B0B2DYG1JK,True,False,4.1,91.0
3,"Amazon Basics Adjustable Chest Mount Harness For GoPro Camera (Compatible with GoPro Hero Series), Black",B01D3I8A7A,True,False,4.4,5312.0
4,"Amazon Basics Dog Adjustable Life Jacket with Reflective Stripes, Yellow, Medium",B0BL3M91J3,True,False,4.2,47.0
5,Amazon Basics Pet Car Booster Bucket Seat - 18 x 18 x 16 Inches,B0735GGXGK,True,False,4.6,4860.0
6,"Amazon Basics Tie-Out Cable for Dogs up to 90lbs, 25 Feet",B06ZZX4H9Y,True,False,4.6,24200.0
7,"Amazon Basics Adjustable Chest Mount Harness for GoPro Camera (Compatible with GoPro Hero Series), Black & Small Carrying Case for GoPro and Accessories - 9 x 7 x 2.5 Inches, Black",B07W3L9MPY,True,False,,
8,Wiring Harness Kit for Driving Lights - Automotive,B081S7CCW8,False,False,,
9,"Amazon Basics No-Pull Adjustable Front Clip Working Dog Molle Vest Harness, Black, Medium",B0BL3MHGFB,True,False,4.5,64.0
10,"Amazon Basics Dog and Puppy Pee Pads with 5-Layer Leak-Proof Design and Quick-Dry Surface for Potty Training, Heavy Duty Absorbency, Regular, 24 x 23 Inch - Pack of 80",B07CWHWB5M,True,False,4.5,219623.0
11,"Amazon Basics Top Entry Cat Litter Box and Black Scoop, Oval, Grey, 20.5 x 14.75 x 14.38 inches",B0B7M15C9F,True,False,4.4,1870.0
12,"Amazon Basics Foldable Metal Exercise Pet Play Pen for Dogs, Fence Pen, Single Door, Black, 60 x 60 x 48 Inches",B075897YPY,True,False,4.6,64293.0
