rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Sweet Potato Slices For Dogs - Single Ingredient Grain Free Dog Treats, Best High Anti-Oxidant Healthy 100% Natural Thick Cut Dried Sweet Potato Dog Treats With No Added Preservatives (14oz)",B071YRRJDK,False,True,4.3,7775
1,Purina Beggin' Strips With Real Meat Dog Training Treats With Bacon and Cheese Flavors - (2) 26 oz. Pouches,B09FWJYX65,False,True,4.8,1529
2,"Dentalife DentaLife Made in USA Facilities Small/Medium Dog Dental Chews, Daily - (2) 47 ct. Pouches",B07TR68MVS,False,True,4.7,9426
3,Waggin' Train Chicken Jerky for Dogs - Limited Ingredient Dog Treats for Dogs 30 oz. Pouch,B01KTNNJWI,False,True,4.7,11550
4,"Milk-Bone MaroSnacks Dog Treats, Beef, 40 Ounce",B003PMQMK2,False,False,4.7,73573
5,"Milk-Bone Soft & Chewy Dog Treats, Beef & Filet Mignon Recipe, 25 Ounce",B006HKA6II,False,False,4.7,45891
6,"Pork Chomps Dog Chews, 5-inch Munchy Sticks, Assorted Flavors, 50 Count",B00X4S4IIK,False,False,4.3,3706
7,"Milk-Bone Original Dog Treats Biscuits for Large Dogs, 10 Pounds (Packaging May Vary)",B0018CLXTG,False,False,4.8,56598
8,"Blue Buffalo Health Bars Natural Crunchy Dog Treats Biscuits, Pumpkin & Cinnamon 16-oz Bag",B003P9XG68,False,False,4.7,30173
9,"Chicken and Sweet Potato Jerky Wraps Rawhide Free Dog Treats, Healthy, Easily Digestible, Long Lasting, and High Protein Dog Treat, 16 oz, Brown",B08P2DP1J8,False,False,4.6,6768
10,"Zuke’s Mini Naturals Soft Dog Treats for Training, Soft and Chewy Dog Training Treats with Chicken Recipe",B000H0ZJHW,False,True,4.6,33958
11,"Purina Beggin' Strips Dog Treats, Original With Bacon Flavor - (2) 26 oz. Pouches",B09GJJLDWR,False,True,4.8,2462
12,"Purina Beggin' Strips With Real Meat Dog Treats, With Bacon and Peanut Butter Flavor - (2) 26 oz. Pouches",B09FWL92SZ,False,True,4.8,843
13,"Purina Prime Bones Made in USA Facilities Limited Ingredient Medium Dog Treats, Chew Stick With Wild Venison - 9 Ct. Pouch",B0828KY8N5,False,True,4.5,10436
14,"Milk-Bone Flavor Snacks Dog Biscuits, Small Crunchy Dog Treats, 24 Ounce",B0043OX542,False,False,4.8,63087
15,"Good'N'Fun Triple Flavored Rawhide Kabobs for Dogs, 1.5 Pound (Pack of 1)",B07BVL8TQF,False,False,4.8,25325
16,"Blue Buffalo Nudges Grillers Natural Dog Treats, Steak, 16oz Bag",B0BCX4939V,False,False,4.7,3908
17,"Pup-Peroni Original Lean Beef Flavor Dog Treats, 22.5 Ounce",B097S7N153,False,False,4.8,20280
18,"Purina Prime Bones Mini Knotted Chews Rawhide Free, Natural Dog Treats with Real Duck - 26 ct. Pouch",B09NWCNP1D,False,True,4.5,421
19,Nature Gnaws USA Turkey Tendons for Dogs - Premium Natural Chew Treats - Delicious Reward Snack for Small Medium & Large Dogs - Made in The USA 4 oz Bag,B0BQRY8B3B,False,True,4.6,507
20,"Rachael Ray Nutrish Soup Bones Dog Treats, Beef & Barley Flavor, 6 Bones",B00YXSNYKS,False,True,4.5,43842
21,Dentalife DentaLife ActivFresh Daily Oral Care Mini Dog Chews - (2) 45 ct. Pouches,B07RWNP9S2,False,True,4.6,2969
22,"DreamBone Spirals Variety Pack, Treat Your Dog to a Chew Made with Real Meat and Vegetables",B07ZV2LM5K,False,False,4.7,7830
23,"Natural Balance Limited Ingredient Mini-Rewards Chicken Grain-Free, Training Treats for Dogs | 5.3-oz. Canister",B0793GS3CL,False,False,4.7,7359
24,Amazon Brand - Wag Dog Treats Chicken and Waffle Bites 12oz,B07V7G181F,True,False,4.6,24968
25,"Pork Chomps Baked Pork Skin Dog Chews, 5-inch Mini Twists, Real Chicken Wrap, 12 Count",B07TZYGRHQ,False,False,4.4,5132
26,"Good'n'Fun Triple Flavored Rawhide Kabobs for Dogs, Treat Your Dog 12-Ounce | 18 Count",B010IU5B78,False,False,4.7,19432
27,Three Dog Bakery Birthday Confetti Lick'n Crunch 13 Ounce (Pack of 1),B0C63FD3FQ,False,False,4.6,37
28,"Merrick Power Bites Dog Treats, Real Beef Recipe - 6 oz. Bag",B00JAEKHOG,False,False,4.6,15761
29,"Milo's Kitchen Dog Treats, Chicken Meatballs, 18 Ounce",B00CV9ICIA,False,False,4.7,14910
30,"Bocce's Bakery Oven Baked Bac'n Nutty Treats for Dogs, Wheat-Free Everyday Dog Treats, Made with Real Ingredients, Baked in The USA, All-Natural Soft & Chewy Cookies, PB & Bacon Recipe, 6 oz",B07Y93XY6Q,False,False,4.6,17627
31,"Canine Carry Outs Bacon Flavor Dog Treats, 47 Ounce",B09CV3C4T8,False,False,4.8,8782
32,"Dreambone Chicken & Vegetable Twist Sticks, Dog Chew Sticks, Rawhide Free Treats for Dogs 50 Count (Pack of 1)",B0718YFR4K,False,False,4.6,30114
33,"Wellness Soft Puppy Bites Natural Grain-Free Treats for Training, Dog Treats with Real Meat and DHA, No Artificial Flavors (Lamb & Salmon, 8-Ounce Bag)",B08MV5Y4BM,False,False,4.6,52404
34,"Blue Buffalo Nudges Jerky Cuts Natural Dog Treats, Chicken, 16oz Bag",B0BCX5Y7BY,False,False,4.7,2556
35,"Pet 'n Shape Chik 'n Hide Twists – Chicken Wrapped Rawhide Natural Dog Treats, Small, 16 oz",B01KZECQRK,False,False,4.6,6455
36,"Good 'n' Fun Triple Flavor Twists, Treat Your Dog to Premium Cuts of Real Meat With Rawhide",B01J1VCW4K,False,False,4.7,13454
37,"Beneful Purina Beneful Made in USA Facilities Dog Training Treats, Baked Delights Snackers - 36 oz. Pouch",B07P765HNR,False,False,4.8,5260
38,Full Moon Beef Jerky Healthy All Natural Dog Treats Human Grade Made in USA Grain Free 11 oz,B0857ZSMNG,False,False,4.5,16185
39,"PURINA Busy Busy Bone Made in USA Facilities, Long Lasting Small/Medium Breed Adult Dog Chews, Peanut Butter Flavor - 6 ct. Pouch",B093CM2JVQ,False,False,4.6,4398
40,"Hill's Grain Free Dog Treats, Soft-Baked Naturals with Chicken & Carrots, Healthy Dog Snacks, 8 oz. Bag",B00DURIQUQ,False,False,4.6,15573
41,"Blue Buffalo BLUE Bits Natural Soft-Moist Training Dog Treats, Chicken Recipe 19-oz Bag",B08XY91T66,False,False,4.7,24058
42,"Rachael Ray Nutrish Savory Roasters Real Meat Dog Treats, Roasted Chicken Recipe, 12 Ounces, Grain Free",B06W2GRZSS,False,False,4.7,9977
43,Dogs Love Chicken Premium Two Ingredients Jerky Treats for Dogs (3 lbs USA Raised Chicken),B014S96C9G,False,False,4.7,8920
44,"K9 Kabob Real Chicken and Duck Dog Treats, Flavor, Made with Chicken, Duck, Beef, Healthy, Easily Digestible, Long Lasting, High Protein , 12 oz",B08P2B6PY9,False,False,4.6,5672
45,"NUTRO Crunchy Dog Treats with Real Peanut Butter, 16 oz. Bag",B008T6RIVG,False,False,4.8,21294
46,"Blue Buffalo Baby BLUE Training Treats Natural Puppy Soft Dog Treats, Savory Chicken 4-oz Bag",B082GDR98F,False,False,4.6,2370
47,"Three Dog Bakery Assort Mutt Cookie Trio, Soft Baked Treats for Dogs, Three Flavor; Oatmeal and Apple, Peanut Butter, and Vanilla, 3 Pound Bulk Resealable Pack",B08JFBV3TY,False,False,4.7,6964
48,"Freeze Dried Dog Training Treats, 475+ for Puppy , Low Calorie, Vet Approved, All Natural, Healthy for Small to Large Dogs (Chicken)",B0817PTT86,False,False,4.5,15251
49,"Fruitables Dog Treats Pumpkin & Banana Flavor, 7 oz",B002R8J7YS,False,False,4.6,15712
50,"Blue Dog Bakery Natural Dog Treats, Softies, Peanut Butter Flavor, 16.2oz Bag, 1 Bag",B01GRBRKEO,False,False,4.3,7965
51,"PEDIGREE MINI JUMBONE Small Dog Treats Real Beef Flavor, 21 oz. Pack (35 Treats)",B01LNB6YVS,False,False,4.7,5210
52,"PURINA Busy Busy Bone Made in USA Facilities, Long Lasting Small/Medium Breed Adult Dog Chews, Peanut Butter Flavor - 10 ct. Pouch",B08SGSFZ4N,False,False,4.7,1492
53,"Purina Beggin' Strips Dog Treats, Original With Bacon Flavor - (2) 26 oz. Pouches",B09GJJLDWR,False,False,4.8,2462
54,"Rachael Ray Nutrish Soup Bones Dog Treats, Beef & Barley Flavor, 11 Bones",B07KPQ3PKV,False,False,4.5,43842
55,Full Moon Chicken Strips Healthy All Natural Dog Treats Human Grade Made in USA Grain Free 24 oz,B01F311C2K,False,False,4.7,4960
56,"Dingo Non-China Munchy Stix Dog Chews For All Dogs, 50-Count",B07235ZGX2,False,False,4.6,8804
57,"Waggin' Train Limited Ingredient, Grain Free Dog Treat, Chicken Jerky Tenders - 11 oz. Pouch",B00I18UVSE,False,False,4.7,11550
58,"SmartBones Smart Twist Sticks, Rawhide Free Dog Chew Sticks, Made With Real Chicken, 50 Sticks , 9.7 Ounce (Pack of 1)",B0787L37JT,False,False,4.6,8938
59,"Full Moon All Natural Human Grade Dog Treats, Essential Beef Savory Sticks, 22 Ounce, 1.375 Pound (Pack of 1)",B09MZDFLSV,False,False,4.7,1905
