rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Low-Odor Chisel Tip Dry Erase White Board Marker, Assorted Colors - Pack of 12",B00T3ROM9G,True,False,4.7,29119.0
1,"Amazon Basics Fine Point Tip Permanent Markers, Black, 24-Pack",B06ZZ2NDZX,True,False,4.6,44094.0
2,"Amazon Basics Supertip 40 Colors Washable Markers, Pack of 40, Multicolored",B07VXTRSK6,True,False,4.5,1949.0
3,"Amazon Basics Magnetic Dry Erase Whiteboard Calendar, 12"" x 17"", Includes 4 Markers And Eraser",B085PHGTB8,True,False,4.6,2739.0
4,"Amazon Basics Bullet/Chisel Reversible Tip Chalk Markers, Bold Point, 8 Pack, Bright Colors",B07S9G3VGF,True,False,4.4,2551.0
5,"Amazon Basics Retractable Permanent Markers - Black, 12 Count",B089MTWSHC,True,False,4.2,4128.0
6,"Amazon Basics Washable Fine Tip Assorted School Marker Pens, Pack of 24 Colors",B0B4N1PWHT,True,False,4.7,98.0
7,"Amazon Basics Erasable Highlighters - Dual Tip, Assorted Colors, 12-Pack",B087TZCTFG,True,False,4.5,1701.0
8,"Amazon Basics Chisel Tip, Fluorescent Ink Highlighters, Assorted Colors - Pack of 12",B01FV0FBX4,True,False,4.7,25598.0
9,"Amazon Basics Fabric Markers, Assorted Colors, 8-Pack",B09MS59NGN,True,False,4.4,692.0
10,"Amazon Basics Tank Style Highlighters - Chisel Tip, Assorted Colors, 12-Pack",B087TZG2S8,True,False,4.8,4697.0
11,"Amazon Basics Magnetic Dry Erase White Board, Whiteboard with Silver Aluminium Frame, 36 X 24 Inches & Amazon Basics Dry Erase White Board Markers - Low Odor, Chisel Tip - 12 Pack, Assorted Colors",B09GQN2N9J,True,False,5.0,1.0
12,"Amazon Basics Whiteboard Drywipe Magnetic with Pen Tray and Aluminium Trim, 90 cm x 60 cm (WxH)",B077TD1JRS,True,False,4.5,30716.0
13,"Amazon Basics Magnetic Dry Erase White Board, 35 x 23-Inch Whiteboard - Black Wooden Frame",B07K6CGJ94,True,False,4.6,25762.0
14,"Amazon Basics Multipurpose Copy Printer Paper, 8 Ream Case & White Board Marker, Assorted Colors - Pack of 12 & Wide Ruled 8.5 x 11.75-Inch Lined Writing Note Pads",B0BMYMD639,True,False,,
15,"Amazon Basics Multipurpose Copy Printer Paper, 10 Ream Case & White Board Marker, Assorted Colors - Pack of 12 & Wide Ruled 8.5 x 11.75-Inch Lined Writing Note Pads",B0BMYK2HXD,True,False,,
