rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,perk up plus extended clean dry shampoo,B0BDSYCZCV,False,True,4.2,347.0
1,perk up talc-free dry shampoo,B07H349CVV,False,True,4.5,15202.0
2,Dove Dry Shampoo Volume & Fullness 2 Count for Oily Hair for Refreshed Hair 5 oz,B08BTGSTB1,False,True,4.5,5590.0
3,JET LAG Invisible Dry Shampoo | Weightless + Refresh Style | Vegan + Cruelty Free |,B07JJJJX7J,False,True,4.5,333.0
4,"Batiste Dry Shampoo, Tropical Fragrance, Refresh Hair and Absorb Oil Between Washes, Waterless Shampoo for Added Hair Texture and Body, 5.71 oz Dry Shampoo Bottle",B0BTMT38N4,False,False,4.4,121.0
5,perk up talc-free dry shampoo,B07H349CVV,False,False,4.5,15202.0
6,"Batiste Dry Shampoo, Original Fragrance, Refresh Hair and Absorb Oil Between Washes, Waterless Shampoo for Added Hair Texture and Body, 6.35 OZ Dry Shampoo Bottle",B07MGZ6X2Q,False,False,4.6,14526.0
7,Dove Dry Shampoo Volume & Fullness 2 Count for Oily Hair for Refreshed Hair 5 oz,B08BTGSTB1,False,False,4.5,5590.0
8,"Batiste Dry Shampoo Spray Variety, 26.92 oz",B07KYXYFCH,False,False,4.7,2956.0
9,"Kristin Ess Hair Style Reviving Dry Shampoo with Vitamin C for Oily Hair, Blonde and Brunette Hair, Dry Shampoo Powder Spray for Women, Vegan, 4.3 oz",B06ZY1X37F,False,False,4.4,1059.0
10,Not Your Mother's Plump for Joy Dry Shampoo - (4-Pack) 7 oz - Dry Shampoo - Instantly Absorbs Hair Oil While Enhancing Style with Fresh Volume,B0BLJ65ZVH,False,True,4.5,6259.0
11,"SHVYOG Dry Shampoo Powder, Travel Size Dry Shampoo, Powder Dry Shampoo for Dark Hair, Absorb Oil Mattifying Root Boost Dry Shampoo for Women, No White Cast, Benzene-Free, 0.29oz",B0CFQ8FV6B,False,True,3.8,16.0
12,"Paul Mitchell Dry Wash Dry Shampoo, Refreshes All Hair Types, 6.6 oz.",B07CX9TF93,False,True,4.3,537.0
13,"Briogeo Scalp Revival Dry Shampoo Powder, Clarifying Shampoo Scalp Cleanser for Dry Scalp & Itchy Scalp, Scalp Treatment with Tea Tree Oil for Hair, Travel Size Dry Shampoo, Detox Shampoo, 1.7 oz",B06XNPXM53,False,True,4.2,704.0
14,Dry Shampoo Dark Tones,B0100QWEMU,False,False,4.5,7843.0
15,Detox Dry Shampoo,B00BIGBIWE,False,False,4.5,5530.0
16,Batiste Overnight Deep Cleanse Dry Shampoo 3.81oz.- Wake up to beautiful hair by preventing oil build-up,B0CCC5WB9L,False,False,4.6,35.0
17,"Kenra Volume Dry Shampoo | Oil Absorbing Shampoo | Translucent, Volume-Enhancing Spray | Instantly Refreshes Hair At The Root | Absorbs Oils & Impurities | All Hair Types",B01MDS0KPY,False,False,4.1,3567.0
18,"Dry Shampoo Powder, Mattifying Root Fuller Looking Refreshing Hair, Vegan, Non-aerosol, No White Cast, Travel Size Dry Shampoo Suitable for Women and Men, 0.29 Oz",B0C5HJZ7X2,False,True,4.3,75.0
19,"Dry Shampoo Light - Gentle Cleanse, Style Extender & Light Volume - Refreshing Dry Shampoo Spray Removes Oil & Adds Volume",B0BW1TX3LB,False,True,4.5,564.0
20,Olaplex No. 4 Bond Maintenance Shampoo,B07D37PQGL,False,True,4.7,67568.0
21,"Medline ReadyBath Unscented Rinse-Free Shampoo Cap with Conditioner, 30 Count",B002NHEJ8W,False,True,4.3,164.0
22,Not Your Mother's Clean Freak Refreshing Dry Shampoo (3-Pack) - 7 oz - Instantly Refreshes Hair Between Washes - Fresh Citrus Scent - Waterless Shampoo for All Hair Types,B084PHXTV1,False,False,4.4,15417.0
23,Dry Shampoo Light Tones,B00VXO5RPK,False,False,4.6,10029.0
24,"Batiste Dry Shampoo Spray 4 Pack Variety Mix, Original Clean And Classic, and Tropical Fragrance, 2 Each 6.73 oz.",B08NRH5DNR,False,False,4.7,1959.0
25,"Batiste Dry Shampoo, Original Fragrance, 6.73 Fl Oz,Pack of 3",B01CYDXMSW,False,False,4.7,9647.0
26,"Batiste Dry Shampoo, Dark & Deep Brown 6.73 oz (Pack of 3)",B01IAFCTT6,False,False,4.5,2333.0
27,Non Aerosol Dry Shampoo Volume Powder | 1.8oz | 100% Natural & Vegan | For Dark Hair & Brunette Hair,B016DYBL40,False,False,4.2,6841.0
28,Not Your Mother's Plump for Joy Dry Shampoo (3-Pack) - 7 oz - Dry Shampoo for Ultimate Hair Oil Absorption - For All Hair Types,B084PJ2BFG,False,False,4.5,6259.0
29,"Not Your Mother's Dry Shampoo Assortment (3-Pack) - 7 oz - Clean Freak Dry Shampoo, Plump for Joy Dry Shampoo, Beach Babe Dry Shampoo - Instantly Absorbs Oil in Hair",B084PHWXGS,False,False,4.5,4487.0
30,"Garnier Fructis Volumizing Invisible Dry Shampoo, Coco Colada, 4.4 Oz, 2 Count (Packaging May Vary)",B099XC13YQ,False,False,4.2,709.0
31,"Batiste Dry Shampoo, Tropical Fragrance, 6.73 fl. oz. (Pack of 3)",B01CYDXMYQ,False,False,4.7,6461.0
32,perk up plus extended clean dry shampoo,B0BDSYCZCV,False,False,4.2,347.0
33,"Dry Shampoo Powder | Natural & Organic | Jumbo Size | Made in USA | No Benzene, Vegan, Cruelty Free, For All Hair Colors, Free of Talc and Parabens | (2 Ounces/Grapefruit Oil Scented)",B07QFYYSFS,False,False,4.3,11003.0
34,Not Your Mother's Clean Freak Unscented Dry Shampoo (3-Pack) - 7 oz - Refreshing Dry Shampoo - Instantly Absorbs Oil and Odor for Refreshed Hair,B084PHK5W9,False,False,4.2,1544.0
35,Klorane - Dry Shampoo With Oat Milk - Gentle Formula Instantly Revives Hair - Paraben & Sulfate-Free - 3.2 fl. oz.,B07SRFXWXQ,False,False,4.3,5254.0
36,"Living Proof Dry Shampoo, Perfect hair Day, Dry Shampoo for Women and Men",B0BQ3YFRC5,False,False,4.4,6071.0
37,Death Valley Dry Shampoo,B016939FIY,False,False,4.2,2413.0
38,Batiste Dry Shampoo Bare 162g/5.71 oz.,B0BTMSDZKZ,False,False,4.6,244.0
39,"Living proof Dry Shampoo, Perfect hair Day Advanced Clean, Dry Shampoo for Women and Men",B09B16VRJ7,False,False,4.5,2275.0
40,"Drybar Detox Dry Shampoo’s | No Wash, No Worries (3.5 oz)",B088SHVJQ3,False,False,4.6,657.0
41,"Elizabeth and James Nirvana White Dry Shampoo, 4.4 Ounce",B071VY8WWM,False,False,4.5,188.0
42,Batiste Dry Shampoo 6.73 oz. Blush (3-Pack),B004KTCGRM,False,False,4.7,4376.0
43,"Batiste Dry Shampoo Plus, Brilliant Blonde 6.73 oz (Pack of 3)",B00GMP4XYQ,False,False,4.6,1863.0
44,Not Your Mother's Beach Babe Dry Shampoo (3-Pack) - 7 oz Dry Shampoo - Instantly Absorbs Oil While Creating Effortless Sea-Tossed Texture,B084PHK5WB,False,False,4.5,11674.0
45,"Batiste 3 Piece Dry Shampoo Set, Original",B008CYGSZC,False,False,4.8,1322.0
46,"Garnier Fructis Texturizing Invisible Dry Shampoo, Beach Tonic, 4.4 Oz, 2 Count (Packaging May Vary)",B09B2SLB3M,False,False,4.4,312.0
47,"Batiste Instant Hair Refresh Dry Shampoo, Fresh - 6.73 oz (Pack of 2)",B018IVNBS0,False,False,4.5,1268.0
48,"Dove Dry Shampoo Volume and Fullness 3 Count Hair Treatment for Oily Hair, Cleansing Hair Volumizer 5 oz",B08YRB59N8,False,False,4.5,4131.0
