rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Dandruff Shampoo, Everyday Use, Normal to Oily Hair, 33.8 Fluid Ounces, 1 Pack (Previously Solimo)",B09HHC154L,True,False,4.5,5857
1,"365 by Whole Foods Market, Volume & Thick Shampoo Rosemary Mint, 32 Fl Oz",B08RG15SLJ,True,False,4.3,137
2,"Amazon Basics Soft & Sleek Conditioner for Dry or Damaged Hair, 28 Fluid Ounce",B09HHGVGQB,True,False,4.3,999
3,"Amazon Basics 2-in-1 Dandruff Shampoo & Conditioner, Gentle and pH Balanced, 14.2 Fluid Ounces, 6-Pack (Previously Solimo)",B09HHHDWN2,True,False,4.5,5441
4,"Amazon Basics Moisture Rich Conditioner, 28 Fluid Ounce",B09HHHH8B3,True,False,4.3,1766
5,"Amazon Basics Shea Butter & Oatmeal Body Wash, 24 Fl Oz, Moisturize,Hypoallergenic",B09HHD9X4B,True,False,4.5,10408
6,"Amazon Basics 2-in-1 Dandruff Shampoo & Conditioner, Green Apple Scent, 14.2 Fluid Ounces, 1-Pack (Previously Solimo)",B09HHHH222,True,False,4.4,1138
7,"Amazon Basics Renewing Salicylic Acid Cleanser, 8 Fluid Ounces, 1-Pack",B0BTX4DLHX,True,False,4.5,231
8,"Amazon Basics Tear-Free Baby Shampoo, 13.6 Fluid Ounce",B09HHHHB1D,True,False,4.6,1440
9,"Amazon Basics 2-in-1 Dandruff Shampoo and Conditioner for Men, Smooth Spice Scent, 14.2 Fluid Ounces, 1-Pack (Previously Solimo)",B09HHC156B,True,False,4.5,2022
10,"Amazon Basics Salicylic Acid Acne Wash, 6 Fluid Ounces, 1-Pack",B0BTX4LWCR,True,False,4.3,109
11,"Amazon Basics 2-in-1 Dandruff Shampoo and Conditioner for Men, Smooth Spice Scent, 14.2 Oz & Men's Body Wash, Sport Scent, 18 Fl Oz (Shipped Separately)",B0BCF87D57,True,False,4.4,6
12,"Amazon Brand - Solimo 2-in-1 Dandruff Shampoo & Conditioner, Gentle and pH Balanced, 14.2 fl oz",B07NJPMVGK,True,False,4.5,5441
13,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Shampoo, 16 Fl Oz",B08RG6PY1L,False,False,4.4,39
14,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Conditioner, 32 Fl Oz",B08RG11XNN,False,False,4.3,39
15,"365 by Whole Foods Market, Coconut & Honey Strength And Vitality Conditioner, 32 Fl Oz",B08RFZX7X9,False,False,4.6,45
16,"365 by Whole Foods Market, Conditioner Leave In Coconut, 8 Fl Oz",B08ZQ5HCQK,False,False,4.1,17
17,"365 by Whole Foods Market, Shampoo Fragrance Free, 32 Fl Oz",B01MRID4L8,False,False,4.4,610
18,"365 by Whole Foods Market, Rosemary Mint Volume And Thick Conditioner, 16 Fl Oz",B08RG22WGN,False,False,4.5,29
19,"365 by Whole Foods Market, Conditioner Grapefruit, 16 Fl Oz",B01FEG59YG,True,False,3.8,138
20,"365 by Whole Foods Market, Conditioner Fragrance Free, 32 Fl Oz",B01HE2IM8I,False,False,4.4,934
21,"365 by Whole Foods Market, Conditioner Herbal Mint, 32 Fl Oz",B01N8Q3YJ7,False,False,4.4,186
