rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Collection,B01CZYWKWE,True,False,4.6,1455
1,PAVOI,B082VJS1T1,False,True,4.6,7621
2,UHIBROS,B01E3O9AK4,False,False,4.4,18802
3,17KM,B0B8MS447Q,False,False,4.2,1106
4,FAXHION,B09CYDSZG8,False,False,4.3,3944
5,Wssxc,B07RZHQF58,False,False,4.5,41814
6,Funtopia,B083TP3RVL,False,False,4.3,8848
7,MILACOLATO,B0BQ33GQ5W,False,False,4.5,387
8,PAVOI,B0B2QCCBTV,False,False,4.2,2652
9,FAXHION,B0C2Z4BFZN,False,False,4.4,247
10,Amazon Collection,B00BG6G4UC,True,False,4.4,742
11,micuco,B08HGJ5547,False,True,4.5,5282
12,BERISO,B0CCYJNVJJ,False,True,4.8,19
13,PANSHI,B0CB8ZFB33,False,True,4.4,56
14,MEINESQIS,B0BFX6JTS6,False,False,4.2,1129
15,PAVOI,B07GNVZ71G,False,False,4.4,38700
16,Tewiky,B09ZQDH24T,False,False,4.1,348
17,Cuicanstar,B07PV8GNXG,False,False,4.5,10711
18,PAVOI,B082VHZ6D2,False,True,4.5,3196
19,LOUMILEO,B0C6LRNF4P,False,True,4.3,176
20,Shrandi,B0C13GRFY8,False,True,4.6,54
21,PABBEU,B0C1S1VSF4,False,True,4.5,316
22,Freekiss,B0BHWFRNSW,False,False,4.6,124
23,BBTO,B0785SHPPD,False,False,4.2,15506
24,adoyi,B09GY75W7Y,False,False,4.5,2976
25,PAVOI,B082VM3TFJ,False,False,4.3,12038
26,Joseph Brothers,B07F9MKDP3,False,True,4.6,2195
27,CZYJEW,B0B7QF7VWB,False,True,4.5,28
28,Hopply,B09ZV2LX5J,False,False,4.4,1244
29,Hefanny,B08K4FLT1L,False,False,4.3,10401
30,Hicarer,B0972B46F8,False,False,4.2,2519
31,SOFYBJA,B07VRBKWNC,False,False,4.6,2673
32,Funtopia,B085ZTBW4W,False,False,4.3,5123
33,PAVOI,B071DZ3KYC,False,False,4.6,6365
34,PAVOI,B07ML324GG,False,False,4.5,45657
35,Staligue,B0948ZCNZ7,False,False,4.3,7158
36,gelanmeng,B092VD3RT3,False,False,4.4,4221
37,Betsey Johnson,B01IR8QGK4,False,False,4.4,3217
38,PAVOI,B082VLCTLJ,False,False,4.2,9799
39,FAXHION,B0BHH6Z7BM,False,False,4.4,1793
40,NARMO,B0BQ38DHCB,False,False,3.9,670
41,Venianus,B07QBYTK7C,False,False,4.4,7708
42,iF YOU,B0BBS5TGXY,False,False,4.3,1449
43,Sonateomber,B0BM6K85BF,False,False,4.5,154
44,ALEXCRAFT,B08X6QNCT9,False,False,4.5,3455
45,Dlihc,B08GPJVH5J,False,False,4.3,8356
46,PAVOI,B082VLDZ51,False,False,4.5,8762
47,PAVOI,B088STL4R8,False,False,4.5,14184
48,KANOUE,B0BFKH5HZZ,False,False,4.5,1285
49,Obidos,B08YNNF5TZ,False,False,4.3,3439
50,Fansilver,B094FTXZ34,False,False,4.4,3785
51,Barzel,B0BN4KGJSQ,False,False,4.6,126
52,PAVOI,B0BKNBN4R9,False,False,4.4,831
53,YEEZII,B09Y357M7R,False,False,4.4,4081
54,wgoud,B09P53VFLG,False,False,4.4,2689
55,VACRONA,B0936MBFCD,False,False,4.5,4013
56,OF EARTH AND OCEAN,B00ZHFZEAO,False,False,4.7,1199
57,PAVOI,B082VL7HN8,False,False,4.4,4732
58,Raneecoco,B091TC47T4,False,False,4.6,3176
59,Bottled Up Designs,B09B2NVML1,False,False,4.7,1283
