rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Introducing Echo Pop | Full sound compact smart speaker with Alexa | Lavender Bloom,B09ZXJDSL5,False,False,4.7,13578
1,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Deep Sea Blue",B09B93ZDG4,False,False,4.7,63096
2,"All-new Echo Show 5 (3rd Gen, 2023 release) | Smart display with deeper bass and clearer sound | Charcoal",B09B2SBHQK,False,False,4.5,7847
3,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",B07XKF5RM3,False,False,4.7,141367
4,"Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09B8W5FW7,False,False,4.7,50140
5,"Echo Studio | Our best-sounding smart speaker ever - With Dolby Atmos, spatial audio processing technology, and Alexa | Charcoal",B07G9Y3ZMC,False,False,4.5,39576
6,"Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084DCJKSL,False,False,4.7,77815
7,"Certified Refurbished Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Charcoal",B09RX3BZ8V,False,False,4.6,683
8,"Echo Dot (5th Gen, 2022 release) Kids | Designed for kids, with parental controls | Owl",B09B9CD1YB,False,False,4.7,8478
9,"Certified Refurbished Echo Dot (5th Gen, 2022 release) with clock | Smart speaker with clock and Alexa | Cloud Blue",B09RX36H6Z,False,False,4.6,520
10,"Certified Refurbished Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Charcoal",B084TNGWS1,False,False,4.6,2667
11,"Certified Refurbished Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",B085PNV4SK,False,False,4.6,3113
12,"Echo Glow - Multicolor smart lamp, a Certified for Humans Device – Requires compatible Alexa device",B07KRY43KN,False,False,4.6,45810
13,"All-new Echo Show 5 (3rd Gen, 2023 release) Kids | Designed for kids, with parental controls | Galaxy",B09B2SB77Q,False,False,4.4,343
14,"Certified Refurbished Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",B084L11QXT,False,False,4.6,8800
15,"Certified Refurbished Echo Show 15 | Full HD 15.6"" smart display with Alexa and Fire TV built in | Remote not included",B08X74Y8BJ,False,False,4.4,214
