rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Electric Spin Scrubber,Cordless Cleaning Brush,Shower Cleaning Brush with 8 Replaceable Brush Heads, Power Scrubber 3 Adjustable Speeds,Adjustable & Detachable Long Handle,Voice Broadcast",B0C3753R54,False,True,4.7,1609.0
1,"Cordless Electric Spin Scrubber,Cleaning Brush Scrubber for Home, 400RPM/Mins-8 Replaceable Brush Heads-90Mins Work Time,3 Adjustable Size,2 Adjustable Speeds for Bathroom Shower Bathtub Glass Car",B0B7RSV894,False,True,4.5,2617.0
2,"Electric Spin Scrubber with 7 Replaceable Brush Heads, 2023 New Cordless Cleaning Brush, Adjustable Extension Handle Electric Cleaning Brush for Bathroom, Tub, Tile",B0C1NLB5BT,False,True,4.4,474.0
3,"Electric Spin Scrubber, LOSUY Shower Scrubber with LED Screen, Power Shower Scrubber for Bathroom, Kitchen, Floor, Tile, Tub with 12-45 in Adjustable Extension Arm and 8 Replaceable Drill Brush Heads",B0BZNL5Y1Z,False,True,4.4,232.0
4,"kHelfer Electric Spin Scrubber Kh8 Pro, 2023 New Cordless Shower Scrubber, 4 Replacement Head, 1.5H Bathroom Scrubber Dual Speed, Shower Cleaning Brush with Extension Arm for Bathtub Grout Tile Floor",B09R4GF86F,False,False,4.4,4621.0
5,"Electric Spin Scrubbers - Cordless Spin Scrubbers with 5 Replaceable Brush Heads & Adjust Extension Handle, Fashion Power Cleaning Brush for Bathroom Floor Tile",B0CJSXCTTT,False,False,4.0,1.0
6,"Electric Spin Scrubbers for Cleaning, Cordless Shower Scrubber with 5 Replacement Brush Head and Adjust Extension Handle, Bathroom Scrubber, Shower Cleaning Brush for Bathtub Grout Tile Floor",B0CJM7BZ3R,False,False,,
7,"Voweek Electric Spin Scrubber, Cordless Cleaning Brush with Adjustable Extension Arm 4 Replaceable Cleaning Heads, Power Shower Scrubber for Bathroom, Tub, Tile, Floor",B098355866,False,False,4.4,7597.0
8,"LABIGO Electric Spin Scrubber LA1 Pro, Cordless Spin Scrubber with 4 Replaceable Brush Heads and Adjustable Extension Handle, Power Cleaning Brush for Bathroom Floor Tile (White)",B09GBBRJN8,False,False,4.4,10048.0
9,"Electric Spin Scrubber,Cordless Cleaning Brush,Shower Cleaning Brush with 8 Replaceable Brush Heads, Power Scrubber 3 Adjustable Speeds,Adjustable & Detachable Long Handle,Voice Broadcast",B0C3753R54,False,False,4.7,1609.0
10,"2 Battery Electric Spin Scrubber,1000RPM Cordless Cleaning Brush Waterproof 20V Power Supplied,Adjustable Extension Arm,4 Replaceable Cleaning Heads,Hook,Gloves - Tub/Tile/Wall/Floor Yellow",B0B6HFSQ46,False,True,4.3,804.0
11,"Electric Spin Scrubber,Sofrose 8 in 1 Cordless Power Shower Scrubber with Night Light,Angel & Length Adjustable 3 Speeds Electric Cleaning Brush with 8 Brush Heads for Bathroom Tub and Tile Floor",B0CF8YBFPD,False,True,4.2,46.0
12,"Electric Spin Scrubber - Cordless Spin Scrubber for Cleaning, Power Scrubber for Bathroom with 6 Replaceable Brush Heads & Adjustable Extension Handle, Electric Cleaning Brush for Tub, Car, Floor",B0BF9ZMF2S,False,True,4.4,601.0
13,"Electric Spin Scrubber: Cordless Cleaning Brush with 6 Replaceable Head & Adjustable Extension Handle, Power Shower Scrubber for Bathroom Floor Tile Tub - Extra Add on Holding Handle",B0BZVRN689,False,True,4.5,222.0
14,"Electric Spin Scrubber, Cordless Shower Scrubber with 7 Replacement Head, 3 Adjustable Speed Power Scrubber, Bathroom Scrubber Cleaning Brush with Extension Handle for Bathtub Floor Tile Grout",B0CDKFZDKS,False,False,4.3,140.0
15,"Electric Spin Scrubber,2023 New 8 in 1 Electric Cleaning Brush Up to 420RPM Powerful Cleaning, 1.5H Bathroom Scrubber Dual Speed,Shower Cleaning Brush with Extension Arm for Bathtub Tile Floor Car",B0BXWKDGLD,False,False,4.5,674.0
16,"Electric Spin Scrubber, Cordless Cleaning Brush with 8 Replaceable Brush Heads and Extension Handle and 3 Speeds for Bathroom, Toilet, Tile, Floor, Window, Car",B0C7ZKWQTN,False,False,4.3,249.0
17,Electric Spin Scrubber Upgraded LED Display Cleaning Brush with 5 Replaceable Brush Heads IPX7 Waterproof Shower Scrubber with Long Handle for Cleaning Bathroom Tub Tile Floor Pool Grout,B0CCVH4V9V,False,False,4.8,86.0
18,"LABIGO Electric Spin Scrubber LA3 Pro, Cordless Bathroom Scrubber with 5 Replacement Head, 3 Adjustable Angle, Household Power Cleaning Brush with Extension Arm for Bathtub Window Car Grout Tile Floor",B0BQ1MN2H2,False,True,4.5,246.0
19,"Electric Spin Scrubber, 2023 New Electric Cleaning Brush with 8 Replaceable Brush Heads & Toilet Brush, 3 Adjustable Extension Arm, Cordless Cleaning Brush for Bathroom, Toilet, Tub, Floor, Tile",B0CC4SB8B8,False,True,4.4,33.0
20,"Electric Spin Scrubber for Bathroom, Cordless Cleaning Brush with 7 Replaceable Brush Heads. 2 Speeds Power Scrubber Brush for Bathroom Tub, Floor, Car, Tile. Unique Gift for Women Wife Grandma Friend",B0BJCVTM53,False,True,4.5,319.0
21,"Electric Spin Scrubber, Cordless Shower Cleaning Scrubber with 8 Replaceable Brush Heads, Power Rotating Scrub Brush with Adjustable Long Handle for Bath Tub, Tile Grout, Sink, Car-White",B0C4T3826L,False,True,4.9,38.0
22,"Electric Spin Scrubber, Shower Scrubber with 120mins Runtime, 2 Modes, 3 Adjustable Angle, 4 Replaceable Brush Heads, Long Handle Power Scrubber for Cleaning Bathtub, Grout, Tile, Floor",B0CHBG1PC6,False,False,4.5,15.0
23,"Electric Spin Scrubber, New Upgraded Cordless Cleaning Brush with 8 Replaceable Brush Heads,Adjustable Extension Handle and 2 Speeds ，Power Shower Scrubber for Bathroom,Bathtub， Kitchen, Floor, Tile",B0CFY1ZWCS,False,False,5.0,485.0
24,"Electric Spin Scrubber, Cordless Cleaning Brush with 8 Replaceable Brush Heads, Tub and Floor Tile 360 Power Scrubber Dual Speed with Adjustable & Detachable Handle for Bathroom Kitchen Car",B09P51V2LH,False,False,4.3,4451.0
25,"VacLife Cordless Electric Spin Scrubber - Shower Cleaning Brush with 4 Replaceable Brush Heads, Efficient Shower Scrubber for Cleaning, Adjustable Electric Scrubber for Bathroom, White (VL713)",B0C4L854PH,False,False,5.0,1.0
26,"Electric Spin Scrubber HS1, Cordless Shower Scrubber with 4 Replaceable Brush Heads Adjustable Extension Handle, Power Cleaning Brush for Bathroom, Floor, Tile, Kitchen White",B0BZHYWQCX,False,False,4.4,204.0
27,"Cordless Electric Spin Scrubber,Cleaning Brush Scrubber for Home, 400RPM/Mins-8 Replaceable Brush Heads-90Mins Work Time,3 Adjustable Size,2 Adjustable Speeds for Bathroom Shower Bathtub Glass Car",B0B7RSV894,False,False,4.5,2617.0
28,"Electric Rotary Scrubber, Household Brush Scrubber,380rpm/ Min -5 Replaceable Brush Heads -3H Working Time, 𝐈𝐏𝐗𝟳 Waterproof, Adjustable Extension Handle, Suitable For Bathroom Shower Tub Glass Car",B0CJWXZ9RP,False,False,,
29,"Electric Spin Scrubber, Jorking Cordless Power Scrubber Up to 420RPM Powerful Cleaning, Shower Scrubber for Cleaning Bathtub, Tile and Floor with 8 Types of Replaceable Brush Heads, Voice Broadcast",B0BNX9JGPB,False,False,4.6,1015.0
30,"Electric Spin Scrubber, 2023 New Cordless Voice Prompt Shower Cleaning Brush with 8 Replaceable Brush Heads, 3 Adjustable Speeds, and Adjustable Extension Handle for Bathroom Floor Tile",B0BN77ZWKW,False,False,4.4,1974.0
31,"Electric Spin Scrubber, 520RPM Cordless Cleaning Brush with 6 Replaceable Brush Heads & Adjustable Extension Long Handle Power Shower Scrubber for Cleaning Bathroom Tub Grout Floor Wall Sink Tile",B0C49HKW85,False,False,4.8,343.0
32,"Rechargeable Electric Spin Scrubber, Cordless Cleaning Brush with Adjustable Extension Arm 6 Replaceable Cleaning Heads, Power Shower Scrubber for Bathroom Floor Tile Car Tub",B0CBQGJDZK,False,False,4.5,16100.0
33,"GENIANI Electric Spin Scrubber, 360 Cordless Powerful Scrub Brush for Cleaning Bathroom, Tile, Floor, Tub and Shower with Adjustable Extension Handle and 3 Replaceable Rotating Brush Heads (Black)",B0CDH69W38,False,False,4.3,2389.0
34,Electric Spin Scrubber Cordless Shower Scrubber Power Scrubber for Cleaning Electric Scrubber for Cleaning Shower Brush for Cleaning Electric Grout Scrubber 12 in 1 Bathroom Cleaning Tools,B0B6YVB49S,False,False,4.3,247.0
35,"Electric Spin Scrubber, Cordless Power Brush Floor Scrubber with Adjustable Extension Arm and 4 Replaceable Bathroom Cleaning Brush Heads, Ideal for Tub, Tile, and Floor Cleaning",B0CFXPVC8Y,False,False,5.0,25.0
36,"Electric Spin Scrubber, 2023 New Cordless Cleaning Brush with Long Handle & 6 Replaceable Brush Heads and Adapter, 1.5 H Rechargeable Power Shower Scrubber for Bathroom, Tub, Tile, Floor",B0C2K5Y1CQ,False,False,4.9,1517.0
37,"Electric Spin Scrubber, Bathroom Scrubber Rechargeable Shower Scrubber with Adjustable Extension Handle (Gray-02)",B0C5QQJ5DW,False,False,4.3,184.0
38,"Electric Spin Scrubber, Electric Scrubber for Cleaning, 1200 RPM Shower Scrubber, 50inch Long Handle Electric Cleaning Brush 21V Battery Power Spin Scrubber with 8 Brush Heads, Bathroom Scrubber",B0CBQ9HRQW,False,False,4.6,35.0
39,"Electric Spin Scrubber, 2023 New Cordless Shower Scrubber with 8 Replaceable Brush Heads and Adjustable Extension Handle, Power Cleaning Brush for Bathroom, Kitchen, Car, Tile, Wall, Floor",B0C6FDRRP3,False,False,4.0,163.0
40,"Electric Spin Scrubber, Shower Scrubber for Cleaning with Voice Broadcast & 8 Replaceable Brush Heads, Electric Cleaning Brush Power Scrubber, Electric Scrubber for Bathroom Floor Bathtub Tile Wall",B0BRMD19VP,False,False,4.3,154.0
41,"AKKTOL Electric Spin Scrubber, Cordless Cleaning Brush with 6 Replaceable Waterproof Brush Heads and Extension Arm, 1.5H Runtime Power Shower Scrubber for Bathroom, Tub, Tile, Floor",B0BYDK6VFC,False,False,4.8,22.0
42,"Electric Spin Scrubber, Shower Scrubber with 7 Brush Heads, Portable Shower Cleaner Brush & Cordless Cleaning Machine, Bath Tub Scrubber with Long Handle for Bathroom Floor Tile(White)",B09Y1R8WGZ,False,False,4.2,188.0
43,"Electric Spin Scrubber, Cordless Shower Scrubbers with Battery Level Display, 2 Speeds Electric Scrubber for Cleaning with 6 Replaceable Heads, Electric Cleaning Brush for Bathroom/Floor/Sink/Window",B0CCD8W7VM,False,False,4.9,51.0
44,"Electric Spin Scrubber, Cordless Bath Tub Power Scrubber with Long Handle & 7 Replaceable Heads, Detachable as Short Handle, Shower Cleaning Brush Household Tools for Bathroom & Tile Floor",B09PDHLLM8,False,False,4.3,2473.0
45,"MoKo Electric Spin Scrubber, Electric Shower Cleaning Brush,Up 490RPM,Electric Cleaning Brush with 9 Replaceable Brush Heads and Long Adjustable Extension Handle for Shower, Bathroom,Tub",B0BN1MZ857,False,False,4.4,177.0
46,"Electric Spin Scrubber, Up to 450RPM Cordless Cleaning Brush with 2 Speeds & 8 Replaceable Brush Heads, 51 Inch Shower Power Scrubber with Adjustable Extension Arm for Bathtub Tile Floor Sink",B0CJX8R1H2,False,False,5.0,560.0
47,"Scrubtastic Electric Spin Scrubber, Rechargeable Electric Shower Cleaner & Grout Cleaner, Extendable Shower Scrubber for Cleaning, Electric Scrubber with 3 Interchangeable Heads",B06X91VX2K,False,False,3.9,7338.0
48,"Home Essentials Cleaning Supplies,Electric Spin Scrubber,Electric Cleaning Brush with Handle,Power Scrubbers for Cleaning Bathroom 0",B0CB6CQ92V,False,False,4.1,30.0
49,"Electric Spin Scrubber, Saraily Cordless Shower Scrubber with LED Display & 8 Replacement Cleaning Head, 1.5H Dual Speed Power Scrubber with Adjustable Extension Handle for Bathroom, Tub, Tile, Floor",B0CC2DYQRB,False,False,4.8,15.0
50,"Electric Spin Scrubber,Cordless Cleaning Brush with 9 Replaceable Brush Heads, Tub and Tile Scrubber Brush, Power Scrubber for Wall, Toilet, Window",B0C7WBBQF8,False,False,4.2,22.0
51,"Electric Spin Scrubber, FRYLINE Cordless Shower Brush with 7 Replaceable Cleaning Heads and Adjustable Extension Handle, 1.5H Power Bathroom Scrubber for Bathtub, Tile, Floor",B0C7KQBMP7,False,False,4.5,22.0
52,"Electric Spin Scrubber, Cordless Cleaning Brush with Adjustable Extension Arm, Power Shower Scrubber for Bathroom, Tub, Tile, Floor",B0BN5LPMNV,False,False,4.0,59.0
53,"Electric Spin Scrubbers,Cordless Spin Scrubbers with 5 Replaceable Brush Heads, Power Cleaning Brush Adjustable Extension Handle for Bathroom Floor Tile",B0CJLD4HRD,False,False,,
54,"1200 RPM Electric Spin Scrubber Bathroom Cleaning Brush, 4000mAh Battery Power Shower Scrubber 50inch Long Handle, 8 in 1 Cordless Electric Scrubber Brush for Grout Tile Floor Household Clean Tool",B0CBN35PY5,False,False,5.0,31.0
55,"Electric Spin Scrubbers,Cordless Spin Scrubbers with 4 Replaceable Brush Heads & Adjust Extension Handle,Powerful Cleaning Brush for Gaps Bathroom Floor Window Kitchen Sink Tile Cleaning Tools",B0CGZ6HP29,False,False,,
56,"Electric Spin Scrubber, Cordless Shower Scrubber with 4 Replaceable Brush Heads, Adjustable Length Cleaning Brush with Power Display for Bathroom, Tile, Wall, Floor, Sink",B0BGHT95MV,False,False,4.3,211.0
57,Electric Spin Scrubber Shower Scrubber with Long Handle for Cleaning Bathroom 9 Replaceable Cleaning Brush Heads Power Scrubber 3 Speed Modes Retractable Shower Brush for Bathtub Tile Floor,B0CD7G4STD,False,False,4.9,84.0
58,"Electric Spin Scrubber, Cordless Electric Scrubber for Cleaning with 4 Replaceable Brush Heads, Power Shower Scrubber with Long Handle for Cleaning Bathroom Tub Tile Floor",B0CCRYYF55,False,False,3.5,5.0
59,"Electric Spin Scrubber, 2023 New Cordless Scrubber with 7 Replaceable Scrubber Heads, Adjustable Speeds and Extension Handle, Rechargeable Shower Cleaning Brush for Bathtub, Grout, Tile, Floor",B0BYHPKFGB,False,False,4.6,350.0
