rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"USB Flash Drive 1TB, Portable Thumb Drive 1TB: Memory Stick 1TB, Large Capacity USB Drive 1TB, High-Speed USB Data Storage Flash Drive 1000GB with Keychain, Large Storage Jump Drive for Computer",B0CHK45S9D,False,True,5.0,56.0
1,"UnionSine 500GB Ultra Slim Portable External Hard Drive USB3.0 HDD Storage Compatible for PC, Desktop, Laptop,Mac, Xbox One, Xbox 360, PS4(Pink) HD-2510",B091FSXH5V,False,True,4.5,25223.0
2,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA",B0BQX6NNVC,False,False,4.7,70700.0
3,"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",B07VS8QCXC,False,False,4.7,250486.0
4,"WD 1TB My Passport Portable External Hard Drive with backup software and password protection, Black - WDBYVG0010BBK-WESN",B07VTWX8MN,False,False,4.6,95980.0
5,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-2T00-G25",B08HN37XC1,False,False,4.6,48307.0
6,"USB Flash Drives 1TB, Ahinsoa Portable 1000GB Thumb Drive High Speed USB Drive Memory Stick Ultra Large Data USB Stick Storage, Waterproof Jump Drive Pen Flashdrive with Keychain",B0CCV1S23R,False,True,4.8,28.0
7,"SanDisk 1TB Portable SSD - Up to 800MB/s, USB-C, USB 3.2 Gen 2, External Solid State Drive - SDSSDE30-1T00-G26",B0C5JQ68FY,False,False,4.6,7109.0
8,"Toshiba Canvio Advance 4TB Portable External Hard Drive USB 3.0, Green - HDTCA40XG3CA",B08JKHY4Y1,False,False,4.7,34088.0
9,"SAMSUNG SSD T7 Portable External Solid State Drive 1TB, Up to USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",B0874XN4D8,False,False,4.8,28318.0
10,"Toshiba Canvio Flex 2TB Portable External Hard Drive USB-C USB 3.0, Silver for PC, Mac, & Tablet - HDTX120XSCAA",B08JKHPV1V,False,False,4.6,6056.0
11,"Maxone 500GB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey",B07BCP3PYL,False,True,4.5,45387.0
12,"2T External Hard Drive, Ultra High-Speed Portable SSD with Reading Speeds up to 500MB/s, 2 Terabyte External Solid State Drive for PC, Laptop (Silver)",B0CFZYG1D1,False,False,,
13,"WD_BLACK 2TB P10 Game Drive - Portable External Hard Drive HDD, Compatible with Playstation, Xbox, PC, & Mac - WDBA2W0020BBK-WESN",B07VMTNDMK,False,False,4.7,19762.0
14,"Maxone 500GB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey",B07BCP3PYL,False,False,4.5,45387.0
15,Seagate 8TB Expansion Desktop Hard Drive Black,B092R5KTT7,False,False,4.7,137.0
16,"UnionSine 10TB 3.5"" External Hard Drive USB3.2Gen2 Type-C HDD Storage Compatible for PC, Desktop, Laptop,TV(Black) HD3510",B0B7RRQGFQ,False,True,4.3,3125.0
17,"LaCie Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0/ 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer (LAC9000298), orange",B00IRV005E,False,False,4.6,25976.0
18,"UnionSine 500GB 2.5"" Ultra Slim Portable External Hard Drive HDD-USB 3.0 for PC, Mac, Laptop, PS4, Xbox one,Xbox 360-HD-2510(Black)",B091FS79T8,False,False,4.5,25223.0
19,"WD 16TB Elements Desktop External Hard Drive, USB 3.0 for plug-and-play storage - WDBWLG0160HBK-NESN",B08KTRKB6S,False,False,4.6,20327.0
20,Avolusion PRO-5Y Series 12TB USB 3.0 External Hard Drive for WindowsOS Desktop PC/Laptop (White) - 2 Year Warranty,B0CJM1B6DY,False,False,,
21,"Western Digital 2TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",B06W55K9N6,False,True,4.7,261166.0
