rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"[Pack of 100] Single Use Disposable Blue Face Mask, Soft on Skin, Pack of 3-Ply Masks Facial Cover with Elastic Earloops Great For Home, Office, School, and Outdoors",B08YPGJB4P,False,False,4.4,24623
1,"[Pack Of 100] Black Disposable Face Mask, 3-Ply Adult Masks, Facial Cover with Elastic Earloops For Home, Office, School, and Outdoors",B09GNXYWDQ,False,False,4.5,8324
2,"Disposable Face Mask, 100 PCS Black Masks, 3 Ply Protection Face Masks",B08XNHCQCG,False,False,4.5,85768
3,"100 Pcs Disposable Face Masks, 3 Ply Face Masks Black Disposable Mask, (Disposable face mask)",B08M32ZRKY,False,False,4.7,57295
4,"Support Face Masks - Soft 3 Ply Comfort Face Masks, Colorful Disposable Face Mask 50 Pack. Earth Tones Colored Masks. Adults Mens and Womens Disposable Face Masks",B09VB1P1HT,False,False,4.6,1320
5,Face Mask Disposable Adults 3Ply Non-Woven with Nose Clip Ear Loop Blue 50Pack,B088YJCQ7Z,False,False,4.6,14043
6,125-Pack Disposable Face Mask Premium Comfort Earloops with Dispenser Box (Blue),B01N3K8FCA,False,False,4.6,1311
7,"ZIYE 100 Pcs Multicolor Disposable Face Masks, Breathable Non-woven Multicolor Mask Facial Mouth Cover 3 Layer with Nose Clip Elastic Earloop 4Color",B09M8G4JS8,False,False,4.5,23027
8,"100Pcs Disposable Face Masks, Black Face Mask, 3 Ply Disposable Mask",B09DY1W4L3,False,False,4.5,67238
9,NNPCBT 100PCS 3 Ply Black Disposable Face Mask Filter Protection Face Masks,B08C7HDF1F,False,False,4.7,141139
10,"100PCS Face Masks, Masks Disposable, 3 Layer Protection Black Disposable Face Masks for Adult, Teenager, Filter Smoke, Droplets, Dust and Pollen",B09B6V9Q8J,False,False,4.6,141380
11,50Pcs Disposable Filter Mask 3 Ply Earloop Face Masks,B085NWS77X,False,False,4.4,12306
12,"KN95 Face Mask, 50Pcs",B0878LZZSB,False,False,4.5,12798
13,"LEVENIS KN95 Face Masks 50 Pack, Breathable Comfortable and Disposable KN95 Mask, Black",B08VJM6VZC,False,False,4.4,47161
14,"Kn95 Face Mask Black,5 Layer Cup Dust Safety Masks Men & Women Universal,Breathable, Comfortableable,Home and Outdoor Wearing (Black-60pcs)",B09JL4SNWL,False,False,4.5,13721
15,"60PCS Multicolor KF94 Mask, 4 Layers Non-woven KF94 Face Masks 3D Fish Type Protection for Adult Women Men 6 Color",B09S6DR8TC,False,False,4.3,7469
