rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 By Whole Foods Market, Mask Jelly Revitalizing Pomegranate, 3 Fl Oz",B08ZQK5QHF,False,False,,
1,"365 By Whole Foods Market, Mask Jelly Clarifying Seaweed, 3 Fl Oz",B08ZQK5QHZ,False,False,5.0,2.0
2,"Amazon Basics Salicylic Acid Blackhead Clearing Scrub, 5 Fluid Ounces, 1-Pack",B0BTX58TTK,True,False,4.6,17.0
3,"Amazon Basics Advanced Blemish Spot Treatment with 2% Salicylic Acid Acne Medication, 0.75 Fluid Ounces, 1-Pack",B0BV6HT9PJ,True,False,4.9,12.0
4,"Amazon Basics Genuine Natural Mulberry Silk Curved Sleep Eye Mask with Adjustable Strap, One Size, Black",B0BH4JKK39,True,False,4.4,150.0
5,"Amazon Brand - Solimo Oil-free Pink Grapefruit Facial Scrub, 2% Salicylic Acid Acne Medication, Dermatologist Tested, 4.2 Fluid Ounce",B07TJDGGND,True,False,4.3,4603.0
6,"Amazon Basics Deep Cleansing Exfoliating Scrub, 5 Ounces, 1-Pack",B0BTX3JT84,True,False,4.4,24.0
7,"Amazon Basics Replenishing Classic Cleanser, 6.78 Fluid Ounces, 1-Pack",B0BTX34KG3,True,False,4.6,103.0
8,"Amazon Basics Triple Replenishing Moisturizer, Night Cream, 1.7 Ounces, 1-Pack",B0BTWZVJZV,True,False,4.5,47.0
9,"Amazon Basics Salicylic Acid Acne Wash, 6 Fluid Ounces, 1-Pack",B0BTX4LWCR,True,False,4.3,109.0
10,"AmazonCommercial Transparent Safety Face Shield, Full Protection Cap Wide Visor, Easy to Clean, Pack of 2",B08LDX777V,True,False,4.3,718.0
11,"Amazon Brand - Solimo Sheer Face Sunscreen SPF 55, Reef Friendly (Octinoxate & Oxybenzone Free), 3.0 Fluid Ounce",B086BX2T7P,True,False,4.4,2318.0
12,"Amazon Brand - Solimo Sheer Face Sunscreen SPF 30, Reef Friendly (Octinoxate & Oxybenzone Free), 3.0 Fluid Ounce",B086BSZXB1,True,False,4.5,3120.0
13,Amazon Essentials Women's Control Tech Longsleeve Masked Running Top,B092RM6ZZV,True,False,4.5,74.0
14,"Amazon Aware Daily Body Lotion with Vitamin E & Shea Butter, Vegan, Vanilla Musk, Dermatologist Tested, 10 fl oz",B0BC1NN776,True,False,4.4,40.0
15,"Whole Foods Market, Cotton Cupra Mask, Age Defying Acai, 0.77 fl oz",B07GLBYYLW,True,False,4.5,112.0
