rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Fairlife Nutrition Plan Protein Shakes | Chocolate Fairlife and Vanilla Fairlife Protein Shakes | Includes one beverage sleeve | 12 Pack Variety | Niro Assortment,B0BFXNTCM2,False,True,4.7,58.0
1,"Fairlife Nutrition Plan High Protein Chocolate Shake, 12 pk.",B098FH3PJT,False,False,4.6,2676.0
2,"Fair Life Fairlife Nutrition Plan Vanilla (11.5 fl., oz. 12pk)",B08XN2B1D1,False,False,4.7,1373.0
3,"Fairlife Nutrition Plan High Protein Chocolate Shake, 12 pk. B",B07T4LT45H,False,False,4.6,9112.0
4,"Fairlife Nutrition Protein Shakes - Pack of 12 | 30g Protein, Low Sugar, Lactose-Free | Delicious Vanilla, Chocolate, Salted Caramel, and Strawberry Flavors 11.5 fl., oz. (In KozyHome Packaging) (Chocolate)",B0BYK9VZL2,False,False,4.5,83.0
5,"Core Power Fairlife 26g Protein Milk Shakes, Ready To Drink for Workout Recovery, Chocolate, 14 Fl Oz (Pack of 12)",B07LD2NV9X,False,False,4.8,15330.0
6,"Core Power Fairlife 26g Protein Milk Shakes, Ready To Drink for Workout Recovery, Vanilla, 14 Fl Oz (Pack of 12)",B07LCZC2C2,False,False,4.7,15781.0
7,Fairlife High Protein Nutrition Plan Protein Shake Assorted Variety Sampler - 11.5 Fl Oz (8-Pack),B0CBNQMX2M,False,False,4.1,24.0
8,"Fairlife Nutrition Plan High Protein Chocolate Shake, 18 pk. World Group Packing Solutions",B0BBXY8QN3,False,False,4.4,261.0
9,"Fairlife Nutrition Plan High Protein Chocolate 30g Shake,Gelatin Free,11.5fl.oz,(12 Pack) - PACK OF 1",B0CDQVP44F,False,False,3.0,4.0
10,Fairlife Nutrition Plan Protein Shakes | Chocolate Fairlife and Vanilla Fairlife Protein Shakes | Includes one beverage sleeve | 12 Pack Variety | Niro Assortment,B0BFXNTCM2,False,False,4.7,58.0
11,"Veher Fairlife Core Power Elite 42g High Protein Milk Shakes Variety Pack - Ready to Drink for Workout Recovery, 14 Fl Oz (6 - Pack), Liquid",B0BZTBYFRP,False,False,4.2,48.0
12,"Fairlife High Protein Shake Bottles 12 pk - Vanilla & Chocolate- 2g Sugar, 150 Calories, 8 Naturally Occurring Vitamins & Minerals - Perfect for Fitness Enthusiasts and Weight Watchers",B0BP8DSVXF,False,False,4.7,82.0
13,"Nutrition Plan Chocolate, 30 g. Protein Shake (8 Pack)",B0CHTSFQHF,False,True,5.0,2.0
14,"FAIRLIFE NUTRITION PLAN Core Power Elite 42g. Protein Shake, Chocolate (14 fl. oz, 8 pk.)",B0B93S6Y4K,False,False,4.4,365.0
15,"Fairlife Nutrition Plan High Protein Shake. Bottles,11.4 Fl Oz (Pack of 8) (Chocolate)",B0CFRFX9J5,False,False,,
16,"Fairlife Nutrition Plan High Protein Shake, 12 pk (Vanilla)",B085H5NQ2P,False,False,4.7,1095.0
17,"Core Power by Fairlife High Protein, 26g Protein, 3 Flavor Variety Pack, Milk Shake, 14 oz (Pack of 6)",B081P3B73H,False,False,4.5,569.0
18,"Lean Body Ready-to-Drink Salted Caramel Protein Shake, 40g Protein, Whey Blend, 0 Sugar, Gluten Free, 22 Vitamins & Minerals, 17 Fl Oz (Pack of 12)",B01769TWGA,False,True,4.5,6963.0
19,"Jocko Mölk Vanilla Protein Shakes – Naturally Flavored Protein Drinks, KETO Friendly, No Added Sugar, 30g Grass Fed Protein - Protein Shakes Ready to Drink, 12 FL Oz, 12pk",B0BKH4JXTM,False,True,4.5,512.0
20,Nick's Protein Bars Chocolate Caramel | 14g protein | 170 calories | Low Carb Keto Friendly Snacks No Added Sugar (Multipack 12 bars x 50g),B09F5F4YJH,False,True,4.2,3764.0
21,"Optimum Nutrition Gold Standard Protein Shake, 24g Protein, Ready to Drink Protein Shake, Gluten Free, Vitamin C for Immune Support, Chocolate, 11 Fl Oz, 12 Count",B09V1S9168,False,True,4.4,1284.0
22,"Fairlife Nutrition Plan Protein Shake | Chocolate, Vanilla, Strawberry | Included one neoprene beverage sleeve | 10 Pack | Fairlife Protein Shakes Variety Pack |Niro Assortment",B09QLJC5T3,False,False,4.5,1180.0
23,Fairlife Nutrition Plan High Protein Shake Variety Pack Sampler - Chocolate & Vanilla - 11.5 Fl Oz (8 Pack),B0BCSZPGQ3,False,False,4.6,522.0
24,"Ready to Drink Fairlife Protein Shakes |Nutrition Plan Protein Shake | Chocolate, Vanilla, Strawberry | Core Power Elite |Fair life Protein Shakes Variety Pack |Plus BETRULIGHT Fridge Decal| 11.5 Fl Oz Each (Chocolate Pack of 4)",B0CCBZ242T,False,False,2.7,3.0
25,"Fairlife Core Power Elite 42g High Protein Milk Shakes Variety Pack - Ready to Drink for Workout Recovery, 14 Fl Oz (8 - Pack)",B0CC35ZRMT,False,False,4.2,7.0
26,"REDCON1 MRE Ready to Drink Protein Shakes, Strawberry Shortcake - 40grams Protein Drinks with Whole Food Sources - Sugar Free RTD Shake Formulated to Fuel Athletes at Any Time (12 Pack)",B08QQ4VCK6,False,True,4.4,1585.0
27,"Ripple Vegan Protein Shake Liquid | Variety Pack | 20g Nutritious Plant Based Pea Protein | Shelf Stable | No GMOs, Soy, Nut, Gluten, Lactose | 12 Oz, 12 Pack",B0C1ZVM9TF,False,True,4.3,4015.0
28,"Fairlife Nutrition Plan Vanilla, 30 g. Protein Shake (11.5 fl. oz, 8 pk.)",B0CDJHJPC5,False,True,5.0,4.0
29,"Pure Protein Vanilla Protein Shake, 30g Complete Protein, Vitamins A, C, D, and E plus Zinc to Support Immune Health, Ready to Drink and Keto-Friendly, 11oz Bottles, 12 Pack",B07ZZCDZST,False,True,4.5,24232.0
30,"Fairlife Core Power High Protein Milk Shake, Natural Flavor Ready to Drink Protein Shake, The best Strawberry Protein Shakes, 14 fl oz , 26gm (Strawberry Banana flavor, Pack of 6 Bottles) protein, beverages, strawberries, FORBES PREMIER CARD INCLUDED!",B09HXPPK78,False,False,4.1,229.0
31,"Fairlife Protein Shakes Chocolate Vanilla Strawberry Banana Drink Nutrition Plan 6 Pack, 11.5 Ounces 30g of Protein In The Award Box Packaging 6 Pack",B0CF2S4Q6G,False,False,4.2,150.0
32,"Fairlife Nutrition Plan Chocolate 30g Protein Shake 11.5fl.oz, (18 Pack) 6.12 l",B0BJP21C81,False,False,4.4,240.0
33,"Nutrition Plan High Protein Chocolate Shake, 12 pk. World Group Packing Solutions",B0BBSC6JZ2,False,False,4.7,658.0
