rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"4 Pack Fall Decor for Home, Fall Garland Leaf String Lights, Leaves Garland Battery Operated, Autumn Decor Halloween Party Decorations Indoor Outdoor",B0B2JMFCX6,False,True,4.5,83
1,Momkids 6 Pcs Faux Flower Fake Babys Breath Flower Bulk Artificial Gypsophila Bouquet Silk Floral for Home Kitchen Bedroom Festival Wedding Xmas Party Decor (Orange),B088LLGFWR,False,False,4.0,5270
2,MIULEE Pack of 2 Decorative Fall Orange Throw Pillow Covers 18x18 Inch Soft Boho Striped Corduroy Pillow Covers Modern Farmhouse Home Decor for Sofa Living Room Couch Bed,B0C3CKW46P,False,False,4.6,1516
3,Diahom Pumpkin Decor 12pcs Artificial Fake Faux Velvet Foam Fabric Pumpkins Decoration for Fall Home Farmhouse Harvest Thanksgiving Decorative,B09B6WGTVC,False,False,4.5,387
4,"winemana Thanksgiving Artificial Pumpkins Fall Decorations for Home, 50Pcs Fall Decor- 30 Fall Leaves, 10 Acorns, 2 Pinecones, 8 Fake Pumpkins, Harvest Farmhouse Table Tiered Tray Decorations Set",B07VJDV971,False,False,4.3,6066
5,"DearHouse 2 Pack Fall Garland Maple Leaf, 5.9Ft/Piece Hanging Vine Garland Artificial Autumn Foliage Garland Thanksgiving Decor for Home Wedding Fireplace Party Christmas",B07TYWCFRK,False,False,4.4,6921
6,HOMirable Blessed Thankful Grateful Sign Farmhouse Thanksgiving Wall Décor Rustic Wooden Sign Vintage Hanging Decoration Autumn Harvest Halloween Signs,B098PCN8XS,False,False,4.6,225
7,Fall Decorations for Home Thanksgiving Fall Signs for Home Decor Fall Decor Wooden Table Sign Vintage Farmhouse Fall Block Sign for Thanksgiving Harvest Fall Autumn Home Decor,B0BBMM4BGB,False,False,4.4,76
8,The Ultimate Farmhouse Fall Tiered Tray Decor Set - Beautiful Year Round Seasonal & Halloween Holiday Decoration Bundle - The Perfect Christmas Centerpiece Design for Home & Kitchen Decor,B09R7WGFTN,False,False,4.4,1163
9,"Artiflr 2 Pack Fall Garland Maple Leaf Clearance, 5.9Ft/Piece Hanging Vine Garland Artificial Autumn Foliage Garland Thanksgiving Decor for Home Wedding Fireplace Party Christmas",B08C9K73HB,False,False,4.5,2752
10,"ARKENY Fall Thanksgiving Table Runner 13x72 Inches,Wildflower Leaves Floral Seasonal Burlap Farmhouse Indoor Outdoor Autumn Table Runner for Home AT489-72",B0CC5F79HP,False,True,4.8,7
11,"Hexagram Fall Table Runner 13x72 Inch, Fall Table Decor, Autumn Pumpkins Eucalyptus Leaves Table Runners for Kitchen Dining Coffee Desk, Thanksgiving Farmhouse Rustic Holiday Party Table Decorations",B097G98WK3,False,True,4.7,146
12,3 Pack Fall Decor for Home Fall Leaves Garland Thanksgiving Decorations Indoor Outdoor 5.8Ft/Piece Artificial Maple Leaf Garland for Autumn Harvest Halloween Party Thanksgiving Door Decor (Red),B0B4Z93PW7,False,True,4.4,261
13,"V VIBEPY All Over Printed, Personalized Pumpkin Wooden Sign, Fall Sign, Autumn Sign, Pumpkin Sign For Fall Decor, 8"",12"",18"" Wood Sign, Autumn Decor, Fall Decorations (CSWS-EPHG-51197001)",B0CD72BGPX,False,True,4.0,2
14,"HUMINBO Fall Decor Autumn Decorations for Home Boho Flowers Orange Pampas Grass Fluffy Dried Flower Bouquet Dry Pompas 17""-95-Pcs Pompous (Orange)",B0B3J41CR5,False,False,4.2,289
15,"Fall Decor [2 Pack] Lighted Fall Garland, Total 16.4ft 40 LED Thanksgiving Decor Halloween String Lights, Friendsgiving Gift Thanksgiving Decorations for Home Holiday Autumn Garland Indoor",B073WWCNY3,False,False,4.5,7457
16,"DAZONGE Fall Decor, 3PCS Fall Gnomes Plush for Tiered Tray Decor, Fall Decorations for Home, Fall Leaves and Dangle Legs Gnomes for Thanksgiving Decorations",B0C4WTNLQQ,False,False,4.7,54
17,16 Pcs Assorted Small Faux Rustic Harvest Velvet Pumpkins Decorative Rust Orange Gold Olive Gray Fabric Pumpkins Foam Pumpkins for Farmhouse Fall Thanksgiving Halloween Table Centerpiece Mantel Decor,B09P3CZV4W,False,False,4.7,1033
18,TURNMEON Fall Decor 2 Pack 24''/2FT Lighted Maple Tree Timer Fall Halloween Decorations Tabletop Fall Tree 48 LEDs Battery Powered Pumpkin Light Autumn Indoor Home Thanksgiving Decor(Orange Red),B0919PCRKR,False,True,4.6,258
19,"DAZONGE Fall Decor, 3PCS Fall Gnomes Plush for Tiered Tray Decor, Fall Decorations for Home, Fall Leaves and Dangle Legs Gnomes for Thanksgiving Decorations",B0C4WTNLQQ,False,True,4.7,54
20,"WISHDIAM 20"" Fall Gnomes 4 Pack Scarecrow Fall Decorations for Home, Harvest & Thanksgiving Gnomes Decorations Scandinavian Elf Decor, Cute Couples Ornaments Autumn Gifts Thanksgiving Decor",B099MC8LBZ,False,True,4.7,51
21,"TURNMEON [ 2 Pack & Timer 24 Inch Lighted Maple Tree Fall Decor, Total 48 LED Battery Operated Tabletop Artificial Tree Design Patent Pumpkin & Acorn Thanksgiving Halloween Decoration Home Indoor",B092S5LJ2H,False,True,4.5,404
22,"Led Flameless Candles for Home Decor, Battery Operated Flickering Moving Wick Effect Candle Set with Remote Control Cycling Timer for Party Wedding,Halloween Decoration, 4 inch, 5 inch, 6 inch, 3 Pack",B07TBDNNCB,False,False,4.6,3345
23,"AVOIN colorlife Fall Pumpkin Home Sweet Home Throw Pillow Covers, 18 x 18 Inch Autumn Thankful Grateful Blessed Harvest Floral Decorations for Sofa Couch Set of 4",B0C3373W2Z,False,False,4.5,62
24,"DAZONGE Fall Decor - Fall Tiered Tray Decor - Double Sided Fall Book Stack, Pumpkin Truck, MIni Wood House with Thankful Tag - Fall Decorations for Home",B0B1DKMG7W,False,False,4.6,247
25,"ARKENY Fall Thanksgiving Table Runner 13x72 Inches,Pumpkin Maple Leaf,Seasonal Burlap Farmhouse Indoor Autumn Table Runner for Home AT263-72",B09Z2VCRK9,False,False,4.4,121
26,[ Timer & 3 Pack ] 30Ft Fall Garland Fall Decorations 60 LED Leaf Lights Patented Realistic Maple Leaves Battery Operated Autumn Decor Fall Thanksgiving Halloween Decor Home Indoor Outdoor Wedding,B09NN5D37J,False,True,4.1,395
27,"Fall Decorations for Home, 2 Pack Fall Gnomes Decorations, Handmade Felt Fall Plush Gnomes, Autumn Swedish Tomte Gnome Ornaments with Pumpkin Maple Leaves for Harvest Indoor Table Shelf Decor Gifts",B0C7CQFKNV,False,True,4.8,40
28,"67PCS Pampas Grass Dried Flowers, Fall Decor Autumn Decorations for Boho Home, Wedding, Baby Shower Decorations, Rustic Farmhouse Party Table Decor Home Decorations",B0C5LY2NPF,False,True,4.6,633
29,"4 Pieces Fall Block Sign, Autumn Wood Sign Farmhouse Tiered Tray Décor for Harvest Thanksgiving Halloween Home Décor",B0B24DF2W6,False,False,4.6,46
30,VGIA 6 Pcs Artificial Eucalyptus Stems Fall Decorations with Fall Eucalyptus Leaves Autumn Decorations for Office and Home Artificial Plants for Floral Arrangement,B089SX6THG,False,False,4.6,750
31,"Artoid Mode Buffalo Plaid Pumpkin Hello Fall Kitchen Towels Dish Towels, 18x26 Inch Decoration Hand Towels Set of 4",B0B1F6BCSX,False,False,4.2,37
32,Funoasis 2 PCS Fall Gnomes Handmade Elf Straw Decor Plush Gnome Summer Holiday Thanksgiving Home Tiered Tray Statues,B0C6R2M5TR,False,False,5.0,2
33,Fall Decor-Wooden Autumn Pumpkin Fall Decorations for Home Shelf Mantel Table Decor Pumpkins of Three Sizes Fall Season,B0C3HRWPZR,False,False,4.7,76
34,"DAZONGE Fall Decorations for Home, Fall Decor, Felt Pumpkin Garland and Wood Bead for Mantle Wall Decor, Farmhouse Fall/Thanksgiving Decorations",B0C1FJHYXQ,False,False,4.6,116
35,"inhand Fall Throw Blanket, Pumpkin Leaf Fall Plaid Throw Blanket for Couch Bed Sofa, Checkered Blanket for Autumn, Utilize Fall Decor Throw Blankets to Cultivate Cozy Home Atmosphere (50”x60”)",B0C491R7VL,False,False,4.8,52
36,Ueerdand 16 PCS Fall Decor Assorted Sizes Artificial Pumpkins Burlap Faux Foam Pumpkin for Harvest Autumn Season Halloween Thanksgiving Holiday Festive Embellishing and Displaying,B08F41TC3S,False,False,4.6,628
