rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Globe Electric 52028 28"" Swing Arm Desk Lamp, Matte Rose, Matte White Accents, On/Off Rotary Switch, Partially Adjustable Swing Arm, Home Office Accessories, Lamp for Bedroom, Home Improvement",B0792FHMK6,False,False,4.2,6746
1,"Globe Electric 44165 1-Light Outdoor Wall Sconce, 2-Pack, Weatherproof, Black Finish, Outdoor Lighting Modern, Wall Lighting, Porch Light, Front Porch Décor, Patio Décor, Outdoor, Bulb Not Included",B06WVBWTCQ,False,False,4.8,2082
2,"Globe Electric 51345 1-Light Plug-in or Hardwire Swing Arm Wall Sconce, Matte Black, Brass Accents, 6ft Black Woven Fabric Cord, Flat Plug, Rotary On/Off Switch, Wall Lighting, Bulb Not Included",B07K44VQHK,False,False,4.4,640
3,"Amazon Brand – Rivet Contemporary Decorative Round Metal Serving Tray with Handles, 17.5-Inch, Black and Gold",B07B8NV9TK,True,False,4.6,1404
4,"Amazon Brand - Stone & Beam Artificial Fiddle Leaf Fig Tree with Plastic Nursery Pot, 4.3 Feet (51 Inches) / Medium, Indoor",B08YYPFQPJ,True,False,4.2,128
5,"Globe Electric 13848 Brontosaurus Multicolor Changing LED Integrated Rechargeable Silicone Night Light, Table Lamp, Tap Light, White, Room Décor, Home Décor, Nightstand, Bedside Lamps, LED Lamp",B09SVMV3VP,False,False,4.5,233
6,"Globe Electric 51492 1-Light Floating Cloud Plug-in Wall Sconce, Matte White, 6ft Clear Cord, Inline On/Off Rocker Switch, Wall Lights for Bedroom, Kitchen Sconces Wall Lighting, Bulb Not Included",B081DNZDS9,False,False,4.4,400
7,GLOBE ELECTRIC 8950201 Auto Dimmer Night Light,B01LWRX3AZ,False,False,4.0,68
8,"Amazon Basics Rectangular Photo Picture Frame, 5"" x 7"", Pack of 2, Black",B079LNL81L,True,False,4.7,24527
9,"Globe Electric 52847 31.5"" Swing Arm Clamp-On Desk Lamp, Glossy White, Nickel Accents, On/Off Rotary Switch, Partially Adjustable Swing Arm, Reading Light, Home Essentials",B01MDLWVRQ,False,False,4.3,2594
10,"Globe Electric 60417 3-Light Flush Mount Ceiling Light, Dark Bronze, Brass Detail, Clear Glass, Ceiling Light Fixture, Light Fixtures Ceiling Mount, Bedroom Lights for Ceiling, Bulb Not Included",B07JJK9CMS,False,False,4.6,1364
11,"Adesso 4050-15 Lexington 22.5"" Table Lamp – Lighting Fixture with Walnut Wood Body, Smart Switch Compatible Lamp. Home Improvement Equipment",B0016L8BGC,False,False,4.6,421
12,"Adesso 3498-01 Kona Floor Lamp, Black",B084697ZGM,False,False,3.1,4
13,"Adesso 1504-15 Quinn Floor Lamp, 60 in, 150 W Incandescent/CFL, Walnut Birch Wood, 1 Wooden Lamp , White",B00Y3BDEAU,False,False,4.4,187
14,"Adesso 4238-22 Trinity Arc Lamp, 74 in., 3 x 100W Incandescent/26W CFL, Brushed Steel Finish, 1 Floor Lamp",B00IJJQ57Q,False,False,4.5,2068
15,"Adesso 3497-21 Kona Table Lamp, 27.75 in., 100W Type A Bulb (Not Included), MDF w/Walnut Wood PVC Veneer & Antique Brass Metal Accents, 1 Table Lighting",B08468C7CG,False,False,3.0,1
16,"Amazon Basics Rectangular Wall Mount Mirror 20"" x 28"", Peaked Trim, Black",B07RPPBPTP,True,False,4.5,14443
17,"Amazon Brand – Rivet Modern Hand-Woven Stripe Fringe Throw Blanket, 50"" x 60"", Navy Blue and White with Sienna Orange",B075X3BJ4L,True,False,4.5,1953
