rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 3 Speed Small Room Air Circulator Fan, 7-Inch Blade, Black, 6.3""D x 11.1""W x 10.9""H",B082MY2MX3,True,False,4.5,48582.0
1,"Dreo Tower Fan with Remote, Smart Oscillating Quiet Floor Fans for Bedroom, Standing Bladeless Fan with WiFi Voice Control, 4 Modes, 4 Speeds, 8H Timer, Works with Alexa/Google",B0BTY58CS4,False,True,4.6,5901.0
2,"14 Inch High Velocity Floor Fan 3-Speed 360° Adjustable Tilting Powerful Airflow for Home,Residential Use, Black",B07SKF1G98,False,True,4.4,694.0
3,"Dreo Smart Tower Fan for Bedroom, Standing Fans for Indoors, 90° Oscillating, 26ft/s Velocity Quiet Floor Fan with Remote, 8H Timer, Voice Control Bladeless Fans for Indoors, Works with Alexa",B0BRKPCJ7P,False,True,4.6,1419.0
4,"Lasko Oscillating Pedestal Fan, Adjustable Height, 3 Speeds, for Bedroom, Living Room, Home Office and College Dorm Room, 18"", White, 1820, 2.3",B00FXOFM4M,False,False,4.3,24811.0
5,"Dreo Tower Fan for Bedroom, 24ft/s Velocity Quiet Floor Fan, 90° Oscillating Fans for Indoors with 4 Speeds, 4 Modes, 8H Timer, Standing Fans, Bladeless Fan, Black, Nomad One (DR-HTF007)",B09MKPDJRT,False,False,4.6,19211.0
6,"Lasko 2520 Oscillating Stand Fan,White 16 Inch",B010N9AP5M,False,False,4.4,11099.0
7,"Amazon Basics 3 Speed Small Room Air Circulator Fan, 7-Inch Blade, Black, 6.3""D x 11.1""W x 10.9""H",B082MY2MX3,True,False,4.5,48582.0
8,"Honeywell HT-900 TurboForce Air Circulator Fan, Black",B001R1RXUG,False,False,4.6,113742.0
9,"HOLMES 16"" Digital Stand Fan, 80° Oscillation, 3 Speeds, 3 Modes, 7.5 Hour Timer, Adjustable Height, 30° Adjustable Head Tilt, Ideal for Home, Bedroom or Office, Remote Control, Black",B0BYPZS52Q,False,False,4.0,463.0
10,"Amazon Basics Oscillating Dual Blade Standing Pedestal Fan with Remote, 16-Inch, Black",B07BNGPWT4,True,False,4.6,30241.0
11,"Ceiling Fan with Lights Remote Control, Black Bladeless Ceiling Fan with Light, 6 Speeds 3 Light Color Low Profile Ceiling Fan for Kitchen Bedroom",B0C64XFPRC,False,True,4.2,13.0
12,"Ceiling Fans with Lights and Remote,52”Black Indoor and Outdoor Ceiling Fan,Modern Ceiling Fans with Reversible DC Motor for Patio Living Room, Bedroom",B0C3778JB2,False,True,5.0,26.0
13,"HOLMES 42"" Digital Tower Fan, ClearRead Display, 90° Oscillation, 5 Speeds, 4 Modes, 8-Hour Timer, Home, Bedroom or Office, Remote Control, Matte Black",B0BG93LGHF,False,True,4.1,7328.0
14,"Honeywell HT-904 TurboForce Tabletop Air Circulator Fan, Small, White – Quiet Personal Fan for Home or Office, 3 Speeds and 90 Degree Pivoting Head",B001R1Q2C6,False,False,4.6,24791.0
15,"Vornado Flippi V6 Personal Air Circulator Fan, Bliss Blue, Small",B01BF3XNCC,False,False,4.3,20963.0
16,"PELONIS 30 Inch Oscillating Tower Fan with 3 Speed Settings and Auto-off Timer, Standing Fan PFT28A2BBB, Black",B095NXWBXX,False,False,4.3,1843.0
17,"Replacement Internal Cooling Fan compatible with Nintendo Switch - CPU Heatsink Cooler, Thermal Compound Paste, Y00 Triwing and PH00 Phillips Screwdriver, Spudger, Wipes Repair Tool Kit",B07VFQ2KG8,False,False,4.5,895.0
18,"Dreo Fans for Home Bedroom, Table Air Circulator Fan for Whole Room, 9 Inch, 70ft Strong Airflow, 120° adjustable tilt, 28db Low Noise, Quiet, 3 Speeds, 2023 New Desk Fan for Office, Kitchen, Home",B0BSH75KZ3,False,True,4.6,1737.0
19,"GoveeLife Smart Tower Fan 2023 Upgraded, 42 Inch WiFi Fan with Aromatherapy and Temp Sensor, Oscillating Fan with 8 Speeds 4 Modes up to 25ft/s, 24H Timer Fan Tower, 27dB Quiet Floor Fan for Bedroom",B0C5MY15T2,False,True,4.5,22.0
20,"JISULIFE Handheld Portable Turbo Fan [16H Max Cooling Time], 4000mAh USB Rechargeable Personal Battery Operated Mini Small Pocket Fan with 5 Speeds for Travel/Outdoor/Home/Office - Brown",B09YCQTTTG,False,True,4.7,1573.0
21,"1500W Space Heater & 29” Bladeless Tower Fan & HEPA Air Purifier 3-in-1, Auto ECO Ceramic Heater with 16℃~38℃ Thermostat,9Hs Timer& 9Speeds Table Fan with Remote for Home Office Bedroom-Grey 2023NEW",B0C9TDWXPR,False,True,4.3,10.0
22,Good Sleep Fan - White Noise Sound Machine,B071NX8RN2,False,False,3.9,123.0
23,Fans Are Fantastic,1945587423,False,False,4.8,36.0
