rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Fire TV Stick with Alexa Voice Remote (includes TV controls), free & live TV without cable or satellite, HD streaming device",B08C1W5N87,False,False,4.7,418014
1,"Amazon Fire TV Stick 4K, brilliant 4K streaming quality, TV and smart home controls, free and live TV",B08XVYZ1Y5,False,False,4.7,262159
2,"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, Ambient Experience, free & live TV without cable or satellite",B0BP9SNVH9,False,False,3.0,88
3,"Introducing Amazon Fire TV 40"" 2-Series 1080p HD smart TV with Fire TV Alexa Voice Remote, stream live TV without cable",B09N719G17,False,False,4.5,2025
4,"Amazon Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",B09BZZ3MM7,False,False,4.5,6428
5,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",B091G4YP57,False,False,4.7,48720
6,"All-new Amazon Fire TV Stick 4K streaming device, includes support for Wi-Fi 6, Dolby Vision/Atmos, free & live TV",B0BP9MDCQZ,False,False,4.0,17
7,"Amazon Fire TV 65"" Omni QLED Series 4K UHD smart TV, Dolby Vision IQ, 1,700+ free artwork pieces, local dimming, hands-free with Alexa",B0BJMGB9RN,False,False,4.2,1591
8,"Certified Refurbished Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",B0B8C3WDPH,False,False,4.5,3349
9,"Amazon Fire TV 50"" 4-Series 4K UHD smart TV, stream live TV without cable",B0B3GTSQ9Q,False,False,4.5,34557
10,"Certified Refurbished Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",B0B8C1HYY8,False,False,4.5,2768
11,"Amazon Fire TV 75"" Omni Series 4K UHD smart TV with Dolby Vision, hands-free with Alexa",B08T6JZTH4,False,False,4.5,24461
12,"Amazon Fire TV 75"" Omni Series 4K UHD smart TV bundle with Full Motion Wall Mount and Red Remote Cover",B09BPC6R5X,False,False,5.0,3
13,"Fire TV Stick 4K Max (International Version) 4K streaming device, Wi-Fi 6, Alexa Voice Remote",B08XWNYLKG,False,False,3.9,55
14,Certified Refurbished Fire TV Stick Lite with Alexa Voice Remote Lite (no TV controls) | HD streaming device | 2020 release,B085PL3BJ1,False,False,4.5,9692
15,"Fire TV Stick (International Version), HD streaming device, Alexa Voice Remote",B098JMJ93W,False,False,4.4,19
