rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Supplements - EFAs, Fish Oil (100% Wild Caught), 100 Count",B074MHYS23,True,False,4.7,77
1,"Nordic Naturals Ultimate Omega, Lemon Flavor - 210 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 105 Servings",B07QHP2ZNQ,False,True,4.7,47617
2,Triple Strength Omega 3 Fish Oil Supplements - Re-Esterified Triglyceride for Increased Absorption - Omega 3 Fatty Acids Including EPA DHA - Support Heart and Brain Health - 180 Softgels,B014LDT0ZM,False,True,4.6,9846
3,"Thorne Omega Plus - an Essential Fatty Acid Supplement with Omega-3 and Omega-6 - EPA, DHA, and GLA - 90 Gelcaps",B000FH13L8,False,True,4.7,507
4,"Nature Made Fish Oil 1200 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support, Omega 3 Supplement with 100 Softgels, 50 Day Supply",B0000DJAQU,False,False,4.7,43515
5,"Nature's Bounty Fish Oil 1200 mg, Twin Pack, Supports Heart Health With Omega 3 EPA & DHA, 360 Rapid Release Softgels",B004JO5KYO,False,False,4.7,24904
6,"Nature Made Fish Oil 1000 mg Softgels, Fish Oil Supplements, Omega 3 Fish Oil for Healthy Heart Support with 90 Softgels, 45 Day Supply",B00YMSLAW8,False,False,4.7,38899
7,"Nature's Bounty Fish Oil, Supports Heart Health, 1200 Mg, Rapid Release Softgels, 200 Ct",B000NPYY04,False,False,4.7,61237
8,"Nature Made Extra Strength Omega 3 Fish Oil 2800 mg per serving, Fish Oil Supplements as Ethyl Esters, Omega 3 Supplement for Healthy Heart, Brain, Eyes, and Mood Support, 60 Softgels, 30 Day Supply",B08XXN95XM,False,False,4.7,43515
9,"Sports Research Triple Strength Omega 3 Fish Oil - Burpless Fish Oil Supplement w/EPA & DHA Fatty Acids from Wild Alaskan Pollock - Heart, Brain & Immune Support for Men & Women - 1250 mg, 90 ct",B07DX89ZHN,False,False,4.7,38187
10,"365 by Whole Foods Market, Oil Fish 1000 Mg, 100 Softgels",B074H7KL1D,True,False,4.7,1075
11,"Carlson - The Very Finest Fish Oil, 1600 mg Omega-3s, Liquid Fish Oil Supplement, Norwegian Fish Oil, Wild-Caught, Sustainably Sourced Fish Oil Liquid, Orange, 6.7 Fl Oz",B001LF39RY,False,True,4.7,7684
12,"Omega 3 Fish Oil 4,200mg, 180 Burpless Softgels, Highly Purified EPA 1,200mg & DHA 900mg | Lemon Flavored | Premium Wild Caught Fish from Deep Sea – Heart & Brain Support – Mercury Free & Non-GMO",B0BSP4P38R,False,True,4.5,296
13,"Omega 3 Fish Oil Supplement - 1200mg EPA and 900mg DHA Fatty Acid Per Serving from Wild Caught Fish - Supports Joint, Eyes, Brain & Skin Health - Burpless Lemon Flavor, Gluten-Free, 90 Softgels",B0747G31KF,False,True,4.6,10388
14,"Nature's Bounty Fish Oil, 1000mg, 300mg of Omega-3, 120 Odorless Softgels (Packaging May Vary)",B0013LAQS6,False,False,4.7,4920
15,"21st Century Fish Oil 1000 mg Softgels, 120 Count",B0016OJVX6,False,False,4.6,340
16,"GNC Triple Strength Fish Oil Mini,120 Mini Softgels",B0748K6D1S,False,False,4.7,3021
17,"Carlson - Elite Omega-3 Gems, 1600 mg Omega-3 Fatty Acids Including EPA and DHA, Norwegian Fish Oil Supplement, Wild Caught, Sustainably Sourced Capsules, Lemon, 90+30 Softgels",B06XSLW9PY,False,False,4.8,2306
18,"Triple Strength Omega 3 Fish Oil Supplements 3000mg, 200 Softgels - Lemon Flavored - Burpless (Enteric-Coated) | EPA 1200mg + DHA 900mg | Deep Sea Fish, Wild Caught from Norwegian Waters",B07L45XQBR,False,True,4.6,7075
19,"Dr. Berg Cod Liver Oil Capsules - New Formula Without OxBile - Rich in Omega-3 Fatty Acids (DHA & EPA), Vitamins A & D - No Smells or Bad Aftertaste - 90 Capsules",B0BYQHLLV5,False,True,4.5,1919
20,"Carlson - Elite Omega-3 Gems, 1600 mg Omega-3 Fatty Acids Including EPA and DHA, Norwegian, Wild-Caught Fish Oil Supplement, Sustainably Sourced Omega 3 Fish Oil Capsules, Lemon, 130 Softgels",B081VWWGCZ,False,True,4.8,1456
21,"Ultra Omega 3-6-9 3600mg Perserv, 300 Burpless Softgels | Lemon Flavor – Blend of Fish, Flaxseed, Borage Oils | Bioavailable Source, Non-GMO, No Gluten, Mercury Free",B07RD8T952,False,True,4.6,1404
22,"GNC Triple Strength Omega 3 Fish Oil 1000mg, 60 Count, Supports Joint, Skin, Eye, and Heart Health",B008A2MD2S,False,False,4.7,2183
23,"Nature's Bounty Fish Oil, Supports Heart Health, 2400mg, Coated Softgels, 90 Ct.",B002QMB55Y,False,False,4.6,7278
24,"Arazo Nutrition Wild Caught Omega 3 Fish Oil – 120 Soft Gels – 4,080mg High EPA 1200mg DHA 900mg Lemon Flavor Burpless Softgels",B01GV4O37E,False,False,4.6,28093
25,Triple Strength Omega 3 Fish Oil Supplements - Re-Esterified Triglyceride for Increased Absorption - Omega 3 Fatty Acids Including EPA DHA - Support Heart and Brain Health - 180 Softgels,B014LDT0ZM,False,False,4.6,9846
26,"Nordic Naturals Ultimate Omega, Lemon Flavor - 210 Soft Gels - 1280 mg Omega-3 - High-Potency Omega-3 Fish Oil with EPA & DHA - Promotes Brain & Heart Health - Non-GMO - 105 Servings",B07QHP2ZNQ,False,False,4.7,47617
27,"365 by Whole Foods Market, Supplements - EFAs, Fish Oil (100% Wild Caught), 100 Count",B074MHYS23,True,False,4.7,77
28,"Sundown Fish Oil 1200 mg, Omega-3 Dietary Supplement, Supports Heart Health, 100 Softgels (Packaging May Vary)",B0013L5GAY,False,False,4.7,9985
29,"Nature's Bounty Fish Oil plus D3, Contains Omega 3, Immune Support & Supports Heart Health, 1200mg Fish Oil, 360mg Omega 3, 1000IU Vitamin D3, 90 Softgels",B0021A8KRM,False,False,4.7,3331
30,"Nature's Bounty Fish Oil, Dietary Supplement, Omega 3, Supports Heart Health, 1200mg, Rapid Release Softgels, 320 Ct",B003FW4F60,False,False,4.8,4729
31,"Dr. Tobias Omega 3 Fish Oil, 800 mg EPA 600 mg DHA Omega 3 Supplement for Heart, Brain & Immune Support, Absorbable Triple Strength Fish Oil Supplements - 2000 mg Per Serving, 180 Softgels 90 Servings",B00CAZAU62,False,False,4.6,34131
32,"Triple Strength Omega 3 Fish Oil Supplements 3000mg, 200 Softgels - Lemon Flavored - Burpless (Enteric-Coated) | EPA 1200mg + DHA 900mg | Deep Sea Fish, Wild Caught from Norwegian Waters",B07L45XQBR,False,False,4.6,7075
33,"Burp-Less Fish Oil 1200 mg, 200 Softgels, Fish Oil Omega 3 Supplement For Heart Health",B074PZ4Z8T,False,False,4.7,603
34,"Amazon Basics Fish Oil 303 mg, Lemon, Orange & Strawberry-Banana flavors, 90 Gummies (2 per Serving), EPA and DHA Omega-3 fatty acids (Previously Solimo)",B07BBNGPG2,True,False,4.6,5182
35,"Life Extension Super Omega-3 EPA/DHA Fish Oil, Sesame Lignans & Olive Extract - Omega 3 Supplement - For Heart Health and Brain Support - Gluten Free, Non-GMO - 240 Easy-to-swallow Softgels",B006P4B43W,False,False,4.6,2758
36,"Carlyle Fish Oil Supplements | 2000mg | 320 Softgels | EPA & DHA | 600mg Total Omega-3 | Non-GMO, Gluten Free Pills",B09H657QN2,False,False,4.5,234
37,"Solgar Omega-3 Fish Oil Concentrate, 240 Softgels - Support for Cardiovascular, Joint & Brain Health - Contains EPA & DHA Fatty Acids - Non GMO, Gluten/ Dairy Free - 120 Servings",B003CW9W8E,False,False,4.7,3172
38,"Omega 3 Fish Oil Supplements 3600mg with EPA & DHA | High Potency Omega 3 Supplement to Support Heart, Brain, Joints, Skin, Eyes & Immune Health | 180 Natural Lemon Burpless Fish Oil Capsules",B079NP724M,False,False,4.5,2081
39,"Nordic Naturals Omega-3, Lemon Flavor - 8 oz - 1560 mg Omega-3 - Fish Oil - EPA & DHA - Immune Support, Brain & Heart Health, Optimal Wellness - Non-GMO - 48 Servings",B0096M5PBW,False,False,4.7,4507
40,"Carlson - The Very Finest Fish Oil, 700 mg Omega-3s, Norwegian Fish Oil Supplement, Wild Caught Omega 3 Fish Oil, Sustainably Sourced Fish Oil Capsules, Omega 3 Supplement, Lemon, 240 Softgels",B003BVIB7E,False,False,4.7,1097
41,"Doctor's Best Pure Wild Alaskan Fish Oil with AlaskOmega, Heart, Brain, Mental Wellbeing, Eyes, Non-GMO, Gluten Free, 180 Marine Softgels",B01JMI11OO,False,False,4.6,318
42,"NOW Supplements, Omega-3 Fish Oil Liquid, Molecularly Distilled, Lemon Flavored, 16.9-Ounce",B001B4NFNS,False,False,4.5,987
43,"Optimum Nutrition Omega 3 Fish Oil, 300MG, Brain Support Supplement, 200 Softgels (Packaging May Vary)",B003RDGNY4,False,False,4.7,4015
44,"Triple Strength Omega 3 Fish Oil | 3600 mg EPA & DHA | Over 2,000mg of Omega-3 Fatty Acids | Over 1,200mg EPA + 800mg DHA | Best Essential Fatty Acids | Premium Burpless Softgel Supplements (120 Ct)",B01NBTJFJB,False,False,4.5,19579
45,Best Triple Strength Omega 3 Fish Oil Pills - 180 Capsules - 2400mg High Potency Burpless Lemon Flavor 864mg EPA 576mg DHA Ultra Pure Liquid Softgels for Brain Joints Eyes Heart Health Supplement,B01MXZ3YD4,False,False,4.5,7016
46,"Carlson - The Very Finest Fish Oil, 1600 mg Omega-3s, Liquid Fish Oil Supplement, Norwegian Fish Oil, Wild-Caught, Sustainably Sourced Fish Oil Liquid, Mixed Berry, 200 mL (6.7 Fl Oz)",B09KVK5H7G,False,False,4.7,7684
47,"InnovixLabs Triple Strength Omega-3 Fish Oil, Concentrated 900 mg Omega-3 per Pill, Burpless Enteric Coated, Gluten-Free, High EPA & DHA for Heart, Brain & Joints, IFOS 5-Star Certified, 200 Capsules",B00FM9KNSI,False,False,4.7,1464
48,"Carlson - Cod Liver Oil, 1100 mg Omega-3s, Liquid Fish Oil Supplement, Wild-Caught Norwegian Arctic , Sustainably Sourced Nordic Fish Oil Liquid, Lemon, 500 ml",B003B3P4PO,False,False,4.7,8226
