rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"GearLight S2000 LED Flashlight High Lumens - Super Bright, Powerful, Mid-Size Tactical Flashlight for Outdoor Activity & Emergency Use",B07FNRNC2B,False,True,4.6,26211
1,"AlpsWolf Rechargeable Flashlight, LED Spotlight Flashlight 10000 Capacity 1200LM 20h Ultra-Long Standby 3+4 Lights Modes Camping Flashlight Waterproof with USB Output as a Power Bank",B085GL73ML,False,True,4.5,6879
2,"GearLight High Lumens LED Tactical Mini Flashlight - Compact, Water & Drop Resistant",B07VNCWZBF,False,True,4.7,19532
3,"Victoper LED Flashlights, High Powered 10000 Lumens Super Bright Tactical Flashlight, Rechargeable, 5 Modes Zoomable Waterproof Flash Lights for Emergency, Outdoor, Home, Camping, Hiking",B0B3R82WR4,False,True,4.4,671
4,"EVEREADY LED Flashlights (4-Pack), Bright Flashlights for Emergencies and Camping Gear, Flash Light with AA Batteries Included, Blue/Yellow (4-Pack)",B08YM5S28F,False,False,4.4,4272
5,"LETMY LED Tactical Flashlight S1000 PRO - 2 Pack Bright Military Grade Flashlights High Lumens - Portable Handheld Flash Lights with 5 Modes, Zoomable, Waterproof for Camping Outdoor Emergency",B01N06BBFS,False,False,4.5,6471
6,"GearLight 2pack S1000 LED Flashlights High Lumens - Mini Flashlights for Camping, Hiking, Walking - Powerful Emergency Flashlights with 5 Modes for Outdoor Use - Bright Flashlight with Zoomable Beam",B072WHQFJ7,False,False,4.6,75688
7,"Lighting EVER LED Flashlights High Lumens, Small Flashlight, Zoomable, Waterproof, Adjustable Brightness Flash Light for Outdoor, Emergency, Camping, AAA Batteries Included, 2 Pack",B01MEFZKCB,False,False,4.6,31466
8,"RECHOO Tactical Flashlights 4 Pack, Bright Zoomable LED Flashlights with High Lumens and 5 Modes, Waterproof Portable Pocket Flash Light for Emergency, Camping, and Outdoor Use - S1500",B0BBF161CY,False,False,4.5,979
9,"UOATEPC Rechargeable Flash Light Flashlights High Lumens, 250000 Lumens Super Bright LED Tactical Flashlight, 5 Modes IPX6 Waterproof, Powerful Handheld Flashlights for Camping Emergency Outdoor",B0C4PJZZ3K,False,False,4.3,108
10,"SKNSL Rechargeable LED Flashlights 900,000 High Lumens - Bright Flashlight with 5 Modes, Long Runtime, IPX7 Waterproof, Powerful Flash Light for Camping Hiking",B0CB5L6X8P,False,True,4.2,13
11,"RECHOO Tactical Flashlights 4 Pack, Bright Zoomable LED Flashlights with High Lumens and 5 Modes, Waterproof Portable Pocket Flash Light for Emergency, Camping, and Outdoor Use - S1500",B0BBF161CY,False,True,4.5,979
