rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Essentials Women's Open-Neck Fleece Tunic Sweatshirt,B0BG7MQBN1,True,False,4.1,3057
1,Amazon Essentials Men's Tech Stretch Long-Sleeve Hooded T-Shirt,B07FL176FR,True,False,4.6,3296
2,Amazon Essentials Women's Relaxed-Fit Crew Neck Long Sleeve Sweatshirt (Available in Plus Size),B0BHT8Y8XL,True,False,4.4,78
3,Amazon Essentials Men's Fleece Jogger Pant,B08X2FH9H6,True,False,4.5,24954
4,"Amazon Essentials Girls and Toddlers' Sweatpants, Multipacks",B07HL3TSPM,True,False,4.6,6256
5,Amazon Essentials Men's Classic-Fit Stretch Golf Pant (Available in Big & Tall),B09GNDB8VW,True,False,4.3,17667
6,Amazon Essentials Women's Crop Drop Shoulder Sweatshirt (Available in Plus Size),B0BHT8X3TN,True,False,4.2,114
7,Amazon Essentials Boys and Toddlers' Fleece Pullover Hoodie Sweatshirts,B08WK64V6H,True,False,4.6,7205
8,Amazon Essentials Men's Fleece Crewneck Sweatshirt (Available in Big & Tall),B08X2H76QP,True,False,4.5,30131
9,Amazon Essentials Men's Hooded Fleece Sweatshirt (Available in Big & Tall),B09LHG3HS7,True,False,4.6,143
10,Amazon Essentials Girls and Toddlers' Thermal Long Underwear Set,B07QC8WF85,True,False,4.7,1029
11,Amazon Essentials Men's Fleece Crewneck Sweatshirt (Available in Big & Tall),B09LHDGXFJ,True,False,4.5,1080
12,Amazon Essentials Men's Regular-Fit Quick-Dry Golf Polo Shirt (Available in Big & Tall),B096YQ13TJ,True,False,4.4,29722
13,Amazon Essentials Men's Slim-Fit Quick-Dry Golf Polo Shirt,B096YTX3W8,True,False,4.4,19149
14,Amazon Essentials Girls and Toddlers' Water-Resistant Snow Bib,B08SX78PYS,True,False,4.7,3986
15,Amazon Essentials Men's Lightweight French Terry Quarter-Zip Mock Neck Sweatshirt,B08J8YPFS4,True,False,4.1,1194
16,"Amazon Essentials Men's Performance Stretch Woven 7"" Training Short",B0924V1ZSN,True,False,4.4,1801
17,Amazon Essentials Women's Soft Cotton Standard-Fit Yoga Tank (Available in Plus Size) (Previously Core 10),B08L8BMFLQ,True,False,4.3,2599
18,"Amazon Essentials Women's Tech Stretch Racerback Tank Top (Available in Plus Size), Multipacks",B0793JSXNN,True,False,4.4,13878
19,Amazon Essentials Women's Studio Woven Stretch Short,B07FLZWVJT,True,False,4.3,533
20,"Amazon Essentials Men's 7"" Quick-Dry Swim Trunk",B07YF57LH8,True,False,4.5,9881
