rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"O’Bright Ted - Drum Shade Standing Lamp, Pull Chain Switch, E26 Socket, Modern Minimalist Design, Simple Floor Lamp for Living Room, Bedroom, Office, Black",B0BSCPPYN1,False,True,4.3,375
1,"FENLO Fancy - 64"" Display Shelf with Lights, LED Shelf Floor Lamps for Living Room, Sturdy Corner Shelf Curio Cabinet Display, Tall Floor Lamps with Shelves, 3 Level Brightness LED, Black",B0BQLD1R8Y,False,True,4.7,1477
2,"LEPOWER Floor Lamp with Replaceable 3000K Energy-Saving LED Bulbs , 9W LED Standing Lamp with 5W Adjustable Reading Lights, Modern Bright Black Floor Lamp for Living Room, Bedroom, Office",B09GMCZ8LQ,False,True,4.5,1149
3,"Industrial LED Standing Floor Lamp Modern with 11W LED Bulb,Adjustable Metal Heads,Foot Switch, for Living Room,Bedroom,Office,Vintage Metal Stand Up Light-Tall,63 Inch, Black",B0BB7CW9SR,False,True,4.6,545
4,"addlon Floor Lamp for Living Room with 3 Color Temperatures, Standing lamp with Linen lampshade for Bedroom, Office, Lamps with 9W LED Bulb Included - Black with Beige Lampshade",B083YT69MP,False,False,4.4,8519
5,"Floor Lamp for Living Room, LED Modern Simple Standing Lamps, Minimalist Tall Lamps for Bedroom, Living Room, Office, Kid Room, Reading Light, Black Pole Lamp with lampshade, Without Bulb",B0BZRGWPK1,False,False,4.6,227
6,"【Upgraded】 Dimmable Floor Lamp, 1000 Lumens LED Edison Bulb Included, Arc Floor Lamps for Living Room Modern Standing Lamp with Linen Shade, Tall Lamp for Living Room Bedroom Office Dining Room- Black",B095NXXP8C,False,False,4.4,2253
7,"3-in-1 Shelf Floor Lamp with 2 USB Ports and 1 Power Outlet, 3-Tiered , Shelf & Storage & LED Floor Lamp Combination, Modern Standing Light for Living Room, Bedroom",B07VL7ZD9H,False,False,4.5,6413
8,"LED Floor Lamp Simple Design, Modern Floor Lamp with Shade, Tall Lamps for Living Room Bedroom Office Dining Room Kitchen, Black Pole Lamp with Foot Switch(Without Bulb)",B07Z5NQPDS,False,False,4.5,4590
9,"TOBUSA Floor Lamp for Living Room Bedroom with 3CCT LED Bulb, Modern Standing Lamp Drum Shade, 65’’ Tall Lamp with Foot Switch Black Pole, Dimmable Simple Design Stand Up Lamp for Home Office Reading",B0C5CVTLJ1,False,False,4.5,836
10,"Regency Hill Madison Country Cottage Standing Floor Lamp 59"" Tall Italian Bronze Brown Metal Taupe Faux Silk Square Hardback Shade Decor for Living Room Reading House Bedroom Office",B005LI9EBW,False,True,4.5,138
11,"Luvkczc Victorian Floor Lamp, 70"" Elegant Standing Lamp with Etched Glass Shade, Metal Body & Heavy Base, Vintage Tall Corner Lamp for Bedroom, Living Room, Den, Office. No Bulbs (1 Head)",B0BXNNV7R7,False,True,4.4,79
12,"Verilux SmartLight Full Spectrum LED Modern Floor Lamp with Adjustable Brightness, Flexible Gooseneck and Easy Controls - Reduces Eye Strain and Fatigue - Ideal for Reading, Artists, Craft (White)",B0742GZ9FV,False,True,4.7,3247
13,"65"" High Farmhouse Rustic Country Cottage Floor Lamp Tree Trunk Faux Wood Column Brown Finish Wicker Drum Shade Decor for Living Room Bedroom Reading Room",B0BHSJ3DRN,False,True,4.7,311
14,"Floor Lamp for Living Room with 3 Color Temperatures, Standing Lamp Tall Industrial Reading for Bedroom, Office (9W LED Bulb, Beige Lampshade Included) -Black",B086ZLGLV3,False,False,4.5,7830
15,"addlon Floor Lamp with Shelves, 4-Tier Modern Shelf Floor Lamp with 3CCT LED Bulb, Display Lamp for Living Room, Bedroom and Office - Black",B08B4GH4QL,False,False,4.6,9583
16,"addlon Floor Lamps for Living Room with Glass lampshade, Modern Bright Floor Lamp with LED Bulbs Industrial Standing lamp for beroom, Tall Pole Lamps Office - Matte Black",B09D2VR3S3,False,False,4.5,3082
17,"[Upgraded] LED Floor Lamp for Living Room, 3 Color Temperature Floor Lamp with Foot Switch Modern Standing Lamp Tall Pole Floor Reading Lamp for Bedroom, Study Room, Office, 9W Bulb Included, Black",B0C23JN4BP,False,False,4.5,1086
18,"LED Floor Lamp, 2400LM Super Bright Standing Lamp 250W Equivalent with 2700K-6500K Stepless Dimming, Modern Torchiere Sky Lamp with Remote & Touch Control, 69"" Tall Lamp for Living Room Bedroom Office",B09TP2C9QP,False,True,4.5,1314
19,"Regency Hill Jenson Rustic Farmhouse Industrial Swing Arm Pharmacy Lamp Floor Standing 54"" Tall Bronze Faux Wood Adjustable Height Task Lighting for Living Room Reading House Bedroom Home",B0845VV44G,False,True,4.5,32
20,"61"" RGB Floor Lamp, Soft Light Floor Lamp with Fabric Shade, Color Changing Lamp with Remote Control, Dimmable Standing Lamp for Livingroom Bedroom",B09N1K2BVF,False,True,4.3,59
21,"Smart LED Floor Lamps Work with Alexa, Koopala Standing Light with 3 Lighting & RGB & Ambiance Mode, APP&Touch Control, Stepless Dimming, 4 Timing, Built-in Battery for Living Room Home Office Reading",B0BGQ5GCDD,False,True,4.4,211
22,"Floor Lamp for Living Room, Modern Standing Lamps with Linen Shade, Simple Design Pole Lamps Tall Floor Lamp for Bedroom, Living Room, Office, Reading, Black, E26 Base, Bulb not Included",B0BN7RM3ML,False,False,4.4,537
23,"Floor Lamps for Living Room - Standing Lamp with Glass Lampshade, Modern Floor Lamp with LED Bulbs, Bright Industrial Floor Lamp for Bedroom, Black Tall Lamp for Office(Light Bulb Included)",B0C854449J,False,False,4.5,40
24,"SUNMORY Arc Floor Lamp, Modern Floor Lamp with Romote Control and Stepless Dimmable Bulb, Metal Standing Lamps with Hanging Lampshade for Living Room, Bedroom, Office (Black)",B08ZY44HWK,False,False,4.5,3210
25,"Standing Lamp, Floor Lamp, Led Floor Lamp with 3 Levels Dimmable Brightness, Drop-Resistant White Lampshade, Rotary Switch, Industrial Metal Floor Lamp for Living Room Bedroom Study Office Kid’s Room",B0B5TFZRGF,False,False,4.4,1279
26,"LED Floor Lamps for Living Room, Bright 12V Modern Reading Floor Lamp with Stepless Adjust Color Temperatures & Brightness, Standing Lamp with RF Remote & Touch Control (Black)",B0BXRW65LC,False,False,4.7,773
27,"QiMH Industrial Floor Lamp with Light Bulb,Metal Tall Standing Lamp,Tall Modern Black Led Floor Lamp for Home Decor,Bedroom,Reading,Office",B0829MZFDP,False,False,4.6,2353
28,"Dimmable Industrial Floor Lamps for Living Room, Gold Tree Standing Tall Lamps with 3 Elegant Teardrop Cage Head & 800 Lumens LED Bulbs for Bedroom Office",B09F2PMZ5N,False,False,4.6,1752
29,"Floor Lamp for Living Room, Modern Standing Lamp Tall Lamp with Linen Shade, Simple Design Floor Lamp for Bedroom, Office, Kids Room, Reading, Working,Black (LED Bulb Included)",B08QMM7N7L,False,False,4.4,1383
30,"Floor Lamp, Industrial Floor Lamps for Living Rooms Rustic Farmhouse Reading Standing Floor Lamp Adjustable Metal Heads Indoor Task Lighting for Living Room Bedroom Office Home Décor (Black)",B08SR68WFD,False,False,4.3,1466
31,"68"" Industrial Floor Lamp, Dimmable Farmhouse Floor Lamp for Living Room, 3 Light Rustic Standing Tall Lamp Including 3 PCS 6W E26 Bulbs, Sturdy Base Vintage Floor Lamp for Bedrooms Room, Office, Bar",B09N6YNZBK,False,False,4.5,702
32,"3 Globe Mid Century Modern Floor Lamp for Living Room, Contemporary Gold Lamp with Frosted Glass Shade and Bulbs Included, LED Standing Tall Pole Lamp for Bedrooms, Office - Antique Brass",B09N188CC2,False,False,4.5,666
33,"Floor Lamp, LED Standing Lamps with White Plastic Shade, Black Modern Torchiere Floor Lamp, Tall Lamps for Living Room Dorm Bedroom Office, Rotary Switch, E26 Base, Bulb not Included",B0C4H294KQ,False,False,4.2,81
34,"Floor Lamp,Super Bright Dimmable LED Lamps for Living Room, Custom Color Temperature Standing Lamp with Remote Push Button, Adjustable Gooseneck Reading Floor Lamp for Bedroom Office",B0BHHP21DP,False,False,4.6,2381
35,"Floor Lamp with Remote Control,Bright Floor Lamps for Living Room/Bedroom/Office, Stepless Adjustable 3000K-6000K Colors and 10-100% Brightness,Standing Light with Foot Switch (Black)",B09TTLKHRK,False,False,4.5,316
36,"Ambimall Floor Lamp for Living Room Modern - Pole Lamps for Bedrooms Tall, Modern Standing Lamps with Lampshade, 65'' Tall Lamp for Office, Kids Room, Reading, Minimalist Floor Lamp for Home Decor",B093WBKC9N,False,False,4.5,1484
37,Elegant Designs LF2001-RBZ 1 Light Restoration Bronze Torchiere Floor Lamp with Marbelized Amber Glass Shade,B01M6YL425,False,False,4.5,4430
38,"Ambimall Floor Lamps for Living Room, Modern Floor Lamp with Remote Control and Stepless Dimmable Colors Temperature & Brightness, Standing Lamps for Living Room Bedroom Office, 9W Bulb Included",B0BPLWBPM6,False,False,4.5,286
39,"Globe Electric 67135 72"" Torchiere Floor Lamp + Adjustable Reading Light, Matte Black, Frosted Plastic Shade, 3-Step Rotary Switch on Socket, Home Essentials, Office Accessories",B07R9FZHLQ,False,False,4.4,5083
40,"Dimmable Floor Lamp - 3 Lights Arc Floor Lamps for Living Room, 1000LM Modern Tall Standing Lamp With Beige Shades & Heavy Base, Mid Century Tree Floor Lamp for Bedroom Office, 3 LED Bulbs Included",B0B48G18TF,False,False,4.6,449
41,"Floor Lamp for Living Room, Modern Floor Lamp with Remote Control, Stepless Dimmable 12W Bulb Included, Standing Lamp Tall Lamps for Living Room Bedroom",B0B1ZKKQCR,False,False,4.2,1160
