rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Katchy Indoor Insect Trap - Catcher & Killer for Mosquitos, Gnats, Moths, Fruit Flies - Non-Zapper Traps for Inside Your Home - Catch Insects Indoors with Suction, Bug Light & Sticky Glue (Black)",B07B6RZP4H,False,True,3.9,102810
1,"Wondercide - Fruit Fly Trap for Kitchen, Home, and Indoor Areas - Fruit Fly Killer - Pet and People Safe - Made in USA & Plant Based - 5.4 oz - 2 Pack",B09WJLKZP1,False,True,3.4,3317
2,"DUNAGA Fly Traps Indoor, Fruit Fly Traps, Gnat Traps, Mosquito Traps, Insect Traps Indoor with 10 Sticky Glue Boards, Black",B0BZXNNKDC,False,True,4.0,5540
3,"VEYOFLY, Flying Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Fruit Fly Traps for Indoors, gnat Killer Indoor, Bug Killer, Insect Killer (Pack of 2 - White)",B0BDT4XZR4,False,True,3.8,1844
4,TERRO T2503SR Ready-to-Use Indoor Fruit Fly Killer and Trap with Built in Window - 4 Traps + 180 day Lure Supply,B01MRHXM0I,False,False,4.0,75082
5,"Safer Home SH502 Indoor Plug-In Fly Trap for Flies, Fruit Flies, Moths, Gnats, and Other Flying Insects – 400 Sq Ft of Protection",B09T3T1FYN,False,False,4.3,15437
6,Fruit Fly Traps for Indoors by Raid | 2 Lures + 2 Refills | Effective Fruit Fly Trap for Indoor Use | Fruit Fly Killer & Gnat Traps for House Indoor | Easy to Use & Safe Food-Based Lure Fly Catcher,B07WHKLYPW,False,False,2.9,9718
7,Landisun Fruit Fly Sticky Traps 48PCS Fungus Gnat Traps Bug Traps Gnat Killer for Indoor Outdoor House Kitchen Plants Whitefly Mosquitos Flying Insects JPM0149 Yellow Designed by JPMOS,B0B3RJ9JFM,False,False,4.3,4886
8,Aunt Fannie’s FlyPunch Fruit Fly Trap (2 Pack): for Indoor and Kitchen Use – Made with Plant Based Ingredients,B07VYPGHFW,False,False,3.8,21292
9,"Fruit Fly Traps with 8Pcs Sticky Pads,Gnat Traps with Bait Non-Toxic Fruit Fly Traps for Indoors Outdoor Odorless Safe Fly Catcher Gnat Fruit Flies Trap Fly Insect Trap for Plant House Kitchen,2 Pack",B0CCNKB3P3,False,False,4.6,656
10,"Fruit Fly Traps for Indoors, Powerful 3 Speed Adjustable Mosquito Trap for Mosquitoes Fruit Flies Gnats, Fly Killer & Catcher with Dual Circles of Blue Light & 2 Glue Boards for Indoors Kitchen Home",B0CJQRN9XB,False,True,4.2,2
11,"FVOAI Fruit Fly Trap Indoor, Fruit Fly Traps for Indoors H3 Mosquito Zapper Indoor Insect Trap with Suction, Time Setting, Bug Light & 10 Pcs Sticky Glue Boards (Blue)",B0CG5PQTRR,False,True,4.1,151
12,2PCS Bug Zapper - Mosquito Zapper - Fly Zapper Portable Indoor - Bug Zapper Indoor - Indoor Mosquito Trap - Indoor Mosquito Killer -Mosquito Trap Indoor -Mosquito Zapper Indoor -Indoor Mosquito Zapper,B0C395L93X,False,True,4.5,2952
13,"COKIT Indoor Insect Trap, 2 Mode Catching Insects with Suction, Bug Light and 6 Glue Board, Catcher & Killer for Mosquito, Gnat, Moth, Fruit Flies, Non-Zapper Traps for Home, Black-2",B0BZ8J1NL9,False,True,3.7,511
14,"Fruit Fly Traps with 8Pcs Sticky Pads,Gnat Traps with Bait Non-Toxic Fruit Fly Traps for Indoors Outdoor Odorless Safe Fly Catcher Gnat Fruit Flies Trap Fly Insect Trap for Plant House Kitchen,2 Pack",B0CCCZNFM2,False,False,4.8,435
15,"2023 Upgraded Fruit Fly Traps for Indoors, 2 in 1 Fly Traps Indoor for Home, Gnat Traps for House Indoor, Mosquito Trap, Fly Zapper, Bug Zapper Indoor, Indoor Fly Trap for Fruit Flies,Gnats,Moths",B0CHPK8L6N,False,False,4.6,854
16,"ZendoZones Fruit Fly Trap with Zendo Lure, Joyful Janet with Plastic White Base, Refillable and Reusable",B0BKH945MP,False,False,3.6,32
17,"Raid Essentials Fruit Fly Trap for Indoors, Made with Essential Oils, Child and Pet Safe, 5.4 oz",B09GDHSW99,False,False,3.6,610
18,3 Pieces Bug Zapper Outdoor Indoor with Light Electric Mosquito Zappers Killer Electric Insect Fly Trap Insect Killer Insect Catcher for Home for Patio Bedroom Bathroom Living Office Courtyard,B0BVFZGK75,False,True,3.5,31
19,"2Pcs Solar Bug Zapper Outdoor Solar Powered Bug Zapper LED,Mosquito Killer&Lighting 2 in 1 Waterproof Mosquito Zapper to Keep Mosquitoes Away from Courtyard,outdoor bug zapper for Garden,Farm Backyard",B0C69VWKS6,False,True,4.1,15
20,Mosalogic Flying Insect Trap Plug-in Mosquito Killer Indoor Gnat Moth Catcher Fly Tapper with Night Light UV Attractant Catcher for Home Office White-1PACK,B09YXPRQWW,False,True,3.9,3849
21,"Kensizer 20-Pack Fruit Fly Trap, Yellow Sticky Gnat Traps Killer for Indoor/Outdoor Flying Plant Insect Like Fungus Gnats, Whiteflies, Aphids, Leaf Miners - 6x8 in, Twist Ties Included",B07KRRJT5J,False,True,4.3,17233
22,Super Ninja Fruit Fly Traps for Indoors - Highly Effective Ecological Fruit Fly Trap - Environmentally Responsible Fruit Fly Killer - User Friendly - Up to 3 Weeks per Trap (1 Trap),B089MB7VFZ,False,False,3.4,15149
23,Mosalogic Flying Insect Trap Plug-in Mosquito Killer Indoor Gnat Moth Catcher Fly Tapper with Night Light UV Attractant Catcher for Home Office White-1PACK,B09YXPRQWW,False,False,3.9,3849
24,"Wondercide - Fruit Fly Trap for Kitchen, Home, and Indoor Areas - Fruit Fly Killer - Pet and People Safe - Made in USA & Plant Based - 5.4 oz - 2 Pack",B09WJLKZP1,False,False,3.4,3317
25,"UV Fruit Fly Traps For Indoors + Sticky Traps 2pk- Fruit Fly Traps Indoor For Home - Fruit Fly Trap & Gnat Traps For House Indoor - Gnats And Fruit Fly Killer Indoor - Gnat Catcher,Gnat Trap,Nat Traps",B0C8CSMKFV,False,False,4.1,71
26,TERRO 2-Pack Fruit Fly Trap,B00E4GADNA,False,False,4.1,1887
27,"Garsum Fruit Fly Sticky Trap for Indoor and Outdoor, Fungus Gnat Killer for Houseplant,Mosquitos, Flying Insect, White Flies, 18 Pack",B07ZSC4CK1,False,False,4.5,38444
28,"40 Pack Fungus Gnat Traps for House Indoor, Fungus Traps Fruit Fly Traps for Indoors Gnats Sticky Traps for Plants Yellow Sticky Traps for Gnats",B08B5VSV97,False,False,4.5,7670
29,Stem Kills Fruit Fly Trap: liquid Fruit Fly Catcher With Botanical Extracts; 5.4 fl oz (Pack Of 1),B09GD8T863,False,False,3.7,807
30,"DUNAGA Fly Traps Indoor, Fruit Fly Traps, Gnat Traps, Mosquito Traps, Insect Traps Indoor with 10 Sticky Glue Boards, Black",B0BZXNNKDC,False,False,4.0,5540
31,"Fruit Fly Trap for Indoors, 2023 Upgrade Fruit Fly Gnat Traps for House Indoor with Yellow Sticky Pads, Non-Toxic Reusable Fruit Fly Gnat Killer Fly Catcher Comes with Bait for Plant/Kitchen (2 Pack)",B0CHMD5VM4,False,False,4.6,1004
32,"LFSYS 50 Pack Window Fly Traps, Fruit Fly Traps for Indoors, Fly Paper Sticky Strips, Fly Traps for Indoors Clear",B09GVVTZ2M,False,False,4.7,1683
