rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)",B0BBPRZHRX,False,True,4.4,7041.0
1,"GTPLAYER Gaming Chair with Speakers, Computer Chair with Footrest, High Back Ergonomic Gaming Chair, Reclining Gaming Chair with Linkage Armrests for Adults by GTRacing (Ivory)",B0B8GKF2C7,False,True,4.4,178.0
2,"GTPLAYER Gaming Chair with Footrest Fabric Office Chair with Pocket Spring Cushion and Linkage Armrests, High Back Ergonomic Computer Chair with Lumbar Support Task Chair Black",B0BSGMWNBB,False,True,4.2,252.0
3,"SIHOO Doro C300 Ergonomic Office Chair with Ultra Soft 3D Armrests, Dynamic Lumbar Support for Home Office Chair, Adjustable Backrest Desk Chair, Swivel Big and Tall Office Chair, Computer Chair Black",B0C3T865C2,False,True,4.6,155.0
4,"Homall Gaming Chair, Office Chair High Back Computer Chair Leather Desk Chair Racing Executive Ergonomic Adjustable Swivel Task Chair with Headrest and Lumbar Support (White)",B01MRZ02TL,False,False,4.4,72869.0
5,"Dowinx Gaming Chair with Pocket Spring Cushion, Ergonomic Computer Chair High Back, Reclining Massage Game Chair Pu Leather 350LBS, Black",B09Y8W11G6,False,False,4.3,488.0
6,"GTPLAYER Gaming Chair, Computer Chair with Footrest and Lumbar Support, Height Adjustable Game Chair with 360°-Swivel Seat and Headrest and for Office or Gaming (White)",B0BBPRZHRX,False,False,4.4,7041.0
7,Arozzi Torretta Premium Soft Fabric Ergonomic Computer Gaming Chair Office Chair with Advanced Seat Mechanism 3D Armrests High Backrest Recliner Swivel Tilt Rocker 2 Soft Support Pillows - Dark Grey,B089NQ9M7G,False,False,4.4,68.0
8,"Homall Gaming Chair, Video Game Chair with Footrest and Massage Lumbar Support, Ergonomic Computer Chair Height Adjustable with Swivel Seat and Headrest (White)",B0C4Q7M3VC,False,False,4.1,382.0
9,N-GEN Gaming Chair Ergonomic Office Chair Computer Desk Chair with Lumbar Support Flip Up Arms Adjustable Height Swivel PU Leather Executive PC Chair with Wheels for Adults Women Men (Blue),B0C6NH8NLT,False,False,4.4,327.0
10,"AutoFull C3 Gaming Chair Office Chair PC Chair with Ergonomics Lumbar Support, Racing Style PU Leather High Back Adjustable Swivel Task Chair with Footrest (Brown)",B092DF433H,False,True,4.5,4159.0
11,DOXACEF RGB Gaming Chair with Massage and Footrest Large Ergonomic Computer Desk Chair Video Gaming Chair with LED Light Effect Adjustable Reclining Gamer Chair,B09V7LMJJD,False,True,4.6,390.0
12,"AutoFull C3 Gaming Chair Office Chair PC Chair with Ergonomics Lumbar Support, Racing Style PU Leather Multifunction Adjustable Computer Chair (Ice Blue)",B08RRM8ZX1,False,True,4.6,508.0
