rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon.com eGift Card,B07CLMP15H,True,False,4.8,870843.0
1,Amazon.com eGift Card,B09KXT1HLH,False,False,4.8,870843.0
2,Amazon.com Gift Card in a Birthday Pop-Up Box,B06ZY43PDR,False,False,4.9,51407.0
3,Amazon.com Gift Card in a Birthday Gift Box (Various Designs),B0866RXCBJ,False,False,4.9,64374.0
4,Amazon.com Print at Home Gift Card,B0BXCZWT5B,False,False,4.8,65265.0
5,Amazon.com Gift Card for any amount in a Reveal,B01K8RL9C2,False,False,4.9,15260.0
6,Amazon.com Gift Card in a limited-edition Prime van,B0B6BDTSLW,False,False,4.8,362.0
7,Amazon.com Gift Card in a Mini Envelope,B07Y93TM8M,False,False,4.9,108275.0
8,Amazon.com Gift Card in a Gift Bag,B07641DGK2,False,False,4.9,9707.0
9,Amazon.com Gift Card in a Greeting Card (Various Designs),B07736Q4GC,False,False,4.8,71921.0
10,Amazon.com Gift Card Balance Reload,B00IX1HEWA,False,False,4.6,373328.0
11,Amazon.com Gift Card for any amount in various designs,B01IE42ST4,False,False,4.9,23500.0
12,Amazon.com Gift Card in a Premium Gift Box,B07DDC8FJM,False,False,4.9,24167.0
13,$50 Mastercard Gift Card (plus $4.95 Purchase Fee),B07GH6WX29,False,False,4.7,9008.0
14,Amazon.com Gift Card in a Yellow Swirl Box,B0763VZ9Z7,False,False,4.9,9542.0
15,Starbucks Gift Card,B017IF4HKS,False,False,4.9,38694.0
16,Amazon.com Print at Home Gift Card,B09KXRKG5M,True,False,4.8,65265.0
17,The Cheesecake eGift Card,B07ZR2YKKX,False,True,4.9,1763.0
18,Amazon.com Gift Card in Gold Hearts Box,B0725JBZT1,False,False,4.9,6989.0
19,Amazon.com Gift Card in a Black Gift Box (Happy Birthday Card Design),B00CHQKNUM,False,False,4.9,2736.0
20,Amazon.com Gift Card for any Amount in a Secure Sleeve,B09351BJJX,False,False,4.8,1570.0
21,Amazon.com Gift Card for any amount in Pop-up Box - various designs,B0719C5P56,False,False,4.9,74854.0
22,EDSG Personalized Birthday Card Happy Birthday Card for Girls Boys Women Men Him Sister Son Custom Gift Birthday Greeting Cards at 1st 3rd 7th 13th 18th 21st 30th 50th with Any Name Age(Fuchsia),B0C2BQFLMB,False,True,4.9,36.0
23,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",B08F7GTP2R,False,True,4.7,59189.0
