rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Google Play gift code - give the gift of games, apps and more (Email or Text Message Delivery - US Only)",B081R4YQ63,False,True,4.4,45039.0
1,Roblox Physical Gift Card [Includes Free Virtual Item],B0BCFJF51G,False,True,4.6,940.0
2,"Roblox Digital Gift Code for 4,500 Robux [Redeem Worldwide - Includes Exclusive Virtual Item] [Online Game Code]",B07RZ75JW3,False,True,4.6,147339.0
3,Amazon.com eGift Card,B07PCMWTSG,False,False,4.8,870843.0
4,Amazon.com Gift Card Balance Reload,B00IX1HEWA,False,False,4.6,373328.0
5,Amazon.com Print at Home Gift Card,B09NKLXZ5V,False,False,4.8,65265.0
6,Amazon.com Gift Card in Various Gift Boxes,B01K8RMDO0,False,False,4.9,106957.0
7,Amazon.com Gift Card in a Birthday Pop-Up Box,B06ZY43PDR,False,False,4.9,51407.0
8,Amazon.com Gift Card in a Birthday Gift Box (Various Designs),B0866RXCBJ,False,False,4.9,64374.0
9,Amazon.com Gift Card in a Mini Envelope,B06WVJBLBQ,False,False,4.9,108275.0
10,Amazon.com Gift Card in a limited-edition Prime van,B0B6BDTSLW,False,False,4.8,362.0
11,"Google Play gift code - give the gift of games, apps and more (Email or Text Message Delivery - US Only)",B081R4YQ63,False,False,4.4,45039.0
12,Amazon.com Gift Card in a Premium Gift Box,B07DDC8FJM,False,False,4.9,24167.0
13,Amazon.com Gift Card for any amount in a Reveal,B01K8RL9C2,False,False,4.9,15260.0
14,Amazon.com Gift Card in a Yellow Swirl Box,B0763VZ9Z7,False,False,4.9,9542.0
15,Amazon.com Gift Card for any amount in various designs,B01IE42ST4,False,False,4.9,23500.0
16,Amazon.com Gift Card in a Welcome Baby Gift Box,B07Y93PHLP,False,False,4.9,6235.0
17,The Choice Card Dining eGift Card,B095QHC2BX,False,False,4.8,149.0
18,Amazon.com Gift Card in a Greeting Card (Various Designs),B07736Q4GC,False,False,4.8,71921.0
19,Amazon.com Gift Card in Gold Hearts Box,B0725JBZT1,False,False,4.9,6989.0
20,"Lyft eGift Card — rideshare, bikes, scooters, shared rides, Lyft XL, Lyft Lux, Lux Black, Lux Black XL.",B09QH1DDPW,False,True,4.5,4511.0
21,Amazon.com Gift Card in a Premium Greeting Card (Various Designs),B07G7SW467,False,False,4.8,7704.0
22,Happy Birthday eGift Card,B09B8D6TJ6,False,False,4.8,1003.0
23,Barnes & Noble eGift Card,B0CBMR1416,False,False,4.9,2562.0
24,Bath & Body Works eGift Card,B0CBPBB9BM,False,False,4.9,5402.0
25,Amazon.com Gift Card in a Gift Bag,B07641DGK2,False,False,4.9,9707.0
26,Panda Express eGift Card,B00KFLZY32,False,False,4.8,1824.0
27,Amazon Reload,B086KKT3RX,False,False,4.7,152457.0
28,Victoria's Secret eGift Cards,B0CF1N9Y9M,False,False,4.8,2502.0
29,Razer Gold eGift Card,B0CBP6DCZS,False,False,3.5,3685.0
30,Visa $100 Gift Card (plus $5.95 Purchase Fee),B01MSBQB1P,False,False,4.7,35449.0
31,Amazon.com Gift Card in a Holiday Gift Box (Various Designs),B01K8RJ5GY,False,False,4.9,174608.0
32,Dickey's Barbecue eGift Card,B0C1KD8DR5,False,False,3.0,9.0
33,Darden eGift Card,B0BMQRJ4F3,False,False,4.9,5183.0
34,Mandarin Oriental $250 eGift Card,B086533GXF,False,False,5.0,1.0
35,"Apple Gift Card - App Store, iTunes, iPhone, iPad, AirPods, MacBook, accessories and more (eGift)",B08F3C99KN,False,False,4.7,59189.0
36,The Cheesecake eGift Card,B07ZR2YKKX,False,True,4.9,1763.0
37,Amazon.com Gift Card in a Greeting Card (Various Designs),BT00CTP2GM,False,False,4.8,13822.0
38,Uber eGift Card,B0CFXPG1TR,False,False,,
39,Amazon.com Gift Card for any amount in Pop-up Box - various designs,B0719C5P56,False,False,4.9,74854.0
40,Amazon.com Gift Card in a Reveal (Various Designs),B01JQSP498,False,False,4.9,5023.0
41,Darden eGift Card,B07C3FKJF7,False,True,4.9,5183.0
42,Village Inn eGift Card,B08N1CB6D3,False,False,4.7,18.0
43,McDonald's Arch Gift Card $50,B0BN3HNCSJ,False,False,4.8,48.0
44,Amazon.com Gift Card in a Congratulations or Graduation Style Gift Box (Various Designs),B01N9GY4GF,False,False,4.9,17547.0
45,Five Guys eGift Card,B0BS6THSC1,False,False,4.7,49.0
46,Victoria's Secret PINK eGift Card,B0CF1M166D,False,False,4.8,544.0
47,Fandango eGift Card,B07SBBZ6Y8,False,False,4.7,2230.0
48,Texas Roadhouse eGift Card,B0C6DWKJXZ,False,False,4.9,4551.0
49,DoorDash eGift Card,B07ZDX292M,False,False,4.7,20124.0
50,Multi-Brand Choice Cards On the Run eGift Card,B0C6Q88YYD,False,False,4.5,25.0
51,Ulta Beauty Gift Card,B0BSKPRQDB,False,False,4.9,22159.0
52,Amazon.com Gift Card in a Gift Tag,B01LXGGQXW,False,False,4.9,9864.0
53,$100 Mastercard Gift Card (plus $5.95 Purchase Fee),B07GH7JZ91,False,False,4.7,7440.0
