rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Gillette Mens Razor Blade Refills, 10 Fusion5 Cartridges, 2 ProGlide Cartridges, Lubrastrip for a More Comfortable Shave",B07NTVPK21,False,True,4.7,17764.0
1,"Gillette Fusion5 Power Razor Blade Refills, 8 Count, Lubrastrip for a More Comfortable Shave,Gillette Fusion 5 Blades Refills, Gillette Razors for Men, Gillette Fusion 5, Razor Blades for Men",B004B8F8MM,False,True,4.7,51359.0
2,"Gillette Fusion Manual Men's Razor Blade Refills - 10 Count, 5 blades",B087SLTQX1,False,True,4.7,13625.0
3,"Gillette Fusion5 Razor Refills for Men, 12 Razor Blade Refills",B001JQLNHS,False,False,4.7,27792.0
4,"Gillette Fusion5 Mens Razor Blade Refills, 4 Count, Lubrastrip for a More Comfortable Shave",B073ZL4N94,False,False,4.7,8385.0
5,"Gillette Fusion5 Power Razor Blade Refills, 8 Count, Lubrastrip for a More Comfortable Shave,Gillette Fusion 5 Blades Refills, Gillette Razors for Men, Gillette Fusion 5, Razor Blades for Men",B004B8F8MM,False,False,4.7,51359.0
6,"Gillette Mens Razor Blade Refills, 10 Fusion5 Cartridges, 2 ProGlide Cartridges, Lubrastrip for a More Comfortable Shave",B07NTVPK21,False,False,4.7,17764.0
7,"Gillette Fusion5 Mens Razor Blade Refills, 12 Count, Lubrastrip for a More Comfortable Shave",B004B8AZH0,False,False,4.7,16730.0
8,Gillette Fusion 5 Power Cartridges 8 ea,B0014CVLX8,False,False,4.7,462.0
9,"Gillette Fusion5 Razor Refills for Men, 4 Razor Blade Refills",B00KB8ZR04,False,False,4.7,1448.0
10,Personna EasyFit 5-Blade Fusion Refill Cartridges – 12 Count Personna EasyFit Fusion5 Razor Blade Refills - Compatible with all Fusion 5 Handles,B07BB1W6G8,False,False,4.3,2372.0
11,"Gillette Fusion5 Men's Razor Blades, 12 Blade Refills",B06XKR8Z6X,False,False,4.7,646.0
12,"Gillette Fusion5 ProGlide Men's Razor Blades, 12 Blade Refills",B071NJ6W15,False,False,4.8,340.0
13,"Gillette Fusion5 Razor Blades for Men with Precision Trimmer, Pack of 16 Refill Blades (Suitable for Mailbox)",B06W5K6SPB,False,False,4.6,10712.0
14,"Gillette Fusion Manual Men's Razor Blade Refills - 10 Count, 5 blades",B087SLTQX1,False,False,4.7,13625.0
15,"Packs of 8 Men Razor Blade Refills Replacement for Gillette Fusion5 Hair Removal Device, Razor Blades for Men",B0CH3G27LH,False,False,,
16,"Gillette Fusion5 Razor Blades Men, Pack of 24 Razor Blade Refills with Precision Trimmer, 5 Anti-Friction Blades, Packaging May Vary",B09D7R2YX7,False,False,4.7,752.0
17,"Gillette Fusion5 ProShield Chill Razor Blades, 4 Refills, with Cooling Technology, Lubrication Before & After The Blades",B01D2QAI1E,False,False,4.7,25.0
18,"Gillette Fusion5 ProShield Men's Razor Blades, 4 Blade Refills",B01KLJBO4U,False,False,4.7,392.0
19,"Gillette5 Mens Razor Blade Refills, 12 Count, Lubrastrip for a More Comfortable Shave",B07D64B9RL,False,False,4.6,21544.0
20,"Gillette ProGlide Shield Razor Refills for Men, 8 Blade Refills",B0168MB6BA,False,False,4.7,18109.0
21,"Gillette Fusion5 Razors for Men, 1 Razor, 4 Blade Refills, Lubrastrip for a More Comfortable Shave",B07DZYGDS3,False,False,4.7,32919.0
22,"Gillette Fusion ProGlide Razors, Men 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",B07DZYGDSF,False,False,4.7,17709.0
23,"Gillette ProGlide Razor Refills for Men, 12 Razor Blade Refills",B00JM82H0W,False,False,4.7,13221.0
24,Gillette Fusion - 4 Count,B01NCS96NE,False,False,4.7,1289.0
25,"Gillette ProGlide Razor Refills for Men, 8 Razor Blade Refills",B003983I1S,False,False,4.7,14217.0
26,"Gillette ProGlide Razor Refills for Men, 12 Razor Blade Refills",B06X9V2RC3,False,False,4.7,14749.0
27,"Gillette Labs Razor Blade Refills, Compatible with Gillette Labs with Exfoliating Bar by Gillette and Heated Razor, 9 Refills",B0BHKNNRFZ,False,False,4.7,2170.0
28,12 Pcs/lot Men Razor Blades Shaving Cassettes Facial Care Men Shaving Blades Replacement for Gillette Fusion 5,B0CJY6GSKD,False,False,,
29,12Pcs/lot Men Razor Blades Shaving Cassettes Facial Care Men Shaving Blades Replacement for Gillette Fusion 5,B0CH3HCZYS,False,False,,
30,Gillette Fusion 5 ProShield Razor Blades for Men (Pack of 4),B07SVZMM26,False,False,4.5,73.0
31,"Gillette Fusion5 Power Razor for Men, 1 Gillette Power Razor Handle + 1 Blade Refill",B07CYH1Y8M,False,False,4.7,7951.0
32,"Razor Blades Refills for Mach3, Manual Razor Blades for Gillette Mens Womens, Refills with Dual Lubrication, Suitable for Beards, Legs, and Armpits, Razor Blade Refills",B0C9PT39GW,False,True,3.3,6.0
33,"Mach3 Razor Refills for Men, 10 Razor Blade Refills",B0039LMTBA,False,False,4.7,7085.0
34,"Amazon Basics 5-Blade Razor Refills for Men with Dual Lubrication and Precision Beard Trimmer, 12 Cartridges (Fits Amazon Basics Razor Handles only) (Previously Solimo)",B07MK1N7P6,True,False,4.3,60147.0
35,"Gillette ProGlide Shield Razor for Men, Handle + 2 Blade Refills",B06X9SLLS4,False,False,4.7,3457.0
36,"Gillette Mach3 Razor Refills for Men, 15 Razor Blade Refills",B0039LMTHE,False,False,4.7,59949.0
37,Gilete Fusion ProGlide - 12 Refill Cartridges,B00K3UC4BU,False,False,4.6,1214.0
38,"Gillette ProGlide Shield Razor for Men, 1 Gillette Razor, 4 Razor Blade Refills, Shields Against Skin Irritation",B072M5FFZ5,False,False,4.7,11217.0
39,"Gillette Fusion5 Razor Refills for Men, 2 Razor Blade Refills",B06X3XX7MQ,False,False,4.5,992.0
40,"Gillette Fusion5 ProShield Chill Men's Razor Blades, 4 Blade Refills",B06XJXMZD9,False,False,4.7,120.0
41,"Fusion ProGlide Men's Razor Blade Refills, 4 Count by Gillette 2 Pack",B0788YKNS6,False,False,4.5,61.0
42,"Gillette SkinGuard Men's Razor Blades, 4 Blade Refills",B07K6P1WKV,False,False,4.7,4573.0
43,Gillette Fusion5 Men's Razor Blades Pack of 12 Refills,B079TD1887,False,False,4.7,2192.0
44,12 PCS Razor Blade Shaving Razor Blade Refills Replacement for Gillette Fusion 5 Razor Blade refills,B0CJY49LD9,False,False,,
45,Gillette Fusion ProShield Chill Men's 4 Razor Blades Refills,B01KK8UOK2,False,False,4.6,101.0
46,Gillette Fusion Blades 4 Cartridges,B000ZU4BC8,False,False,4.7,1672.0
47,"Gillette Labs Razors for Men with Exfoliating Bar, Shaving Kit for Men, Includes 1 Handle, 4 Razor Blade Refills, 1 Premium Magnetic Stand",B09H3N98GD,False,False,4.5,4830.0
48,"Gillette Fusion5 Men's Razor Blade Refills, 4 Count",B000GCP28W,False,False,4.7,2461.0
49,"Gillette Fusion5 ProGlide Razor Blades for Men with Precision Trimmer, Pack of 16 Refill Blades (Suitable for Mailbox)",B087CQJB13,False,False,4.6,1246.0
50,"Gillette Fusion 5 Razor Blades with Trimmer Blade for Precision and Anti-Slip Coating, 14 Replacement Blades",B079X5QNXC,False,False,4.7,11755.0
51,"Gillette ProGlide Chill Razor Refills for Men, 8 Blade Refills",B0168MB6SS,False,False,4.7,6584.0
52,"Gillette SkinGuard Sensitive Razor Blades Men, Pack of 8 Razor Blade Refills with Precision Trimmer, Fits Fusion Handles",B07MHXL1Q7,False,True,4.6,3487.0
53,Gilete Fusion ProGlide - 12 Refill Cartridges,B00K3UC4BU,False,True,4.6,1214.0
