rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 5-Blade Razor Refills for Men with Dual Lubrication and Precision Beard Trimmer, 12 Cartridges (Fits Amazon Basics Razor Handles only) (Previously Solimo)",B07MK1N7P6,True,False,4.3,60147
1,"Amazon Basics 3-Blade Razor Refills for Men with Dual Lubrication, 12 Cartridges (Fits Amazon Basics Razor Handles only) (Previously Solimo)",B07MQVCYFD,True,False,4.4,1510
2,"Solimo 5-Blade Razor Refills for Men with Dual Lubrication and Precision Beard Trimmer, 12 Cartridges & 3-Blade MotionSphere Razor for Men with Dual Lubrication, Handle & 2 Cartridges",B083V9C8B7,True,False,4.7,145
3,"Solimo 3-Blade Razor Refills for Men with Dual Lubrication, 12 Cartridges & 5-Blade MotionSphere Razor for Men with Dual Lubrication and Precision Beard Trimmer, Handle & 2 Cartridges",B083V9ZKSM,True,False,4.1,30
4,"Solimo 3-Blade Razor Refills for Men with Dual Lubrication, 12 Cartridges (Fits Solimo Razor Handles only) & 3-Blade MotionSphere Razor for Men with Dual Lubrication, Handle & 2 Cartridges",B083VB1SHB,True,False,4.3,70
5,"Amazon Basics 3-Blade Razor Refills for Men with Dual Lubrication, 8 Cartridges (Fits Amazon Basics Razor Handles only) (Previously Solimo)",B07MMLN7QV,True,False,4.3,403
6,"Amazon Basics 5-Blade Motion Sphere Razor for Men with Dual Lubrication and Precision Beard Trimmer, Handle & 2 Cartridges (Fits Amazon Basics Razor Handles only), Black (Previously Solimo)",B07MXXR5P6,True,False,4.3,60147
7,"Amazon Basics 5-Blade Razor for Women, Handle, 2 Cartridges & Shower Hanger, 4 Piece Set (Cartridges fit Amazon Basics Razor Handles only) (Previously Solimo)",B07QHGR86P,True,False,4.5,33854
8,"Amazon Basics 3-Blade Disposable Razors for Men, 6 Count (2 Packs of 3), Black (Previously Solimo)",B07MXCW2CD,True,False,4.2,3259
9,"Amazon Basics Women's 5 Blade FITS Razor Refills, Fits Amazon Basics FITS Handles and Venus Handles, 6 Cartridges",B08RP9FHLT,True,False,4.4,4483
10,"Amazon Basics 5-Blade Razor Refills for Women, 6 Count (Fits Amazon Basics Razor Handles Only) (Previously Solimo)",B07BC8NBH4,True,False,4.5,33854
11,"Amazon Basics Women's 4 Blade FITS Razor Refills, Fits Amazon Basics FITS Handles and Venus Handles, Moisturizing Surround, 6 Cartridges",B08RP8JPWN,True,False,4.2,573
