rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Cut Resistant Work Gloves, Cut Level A2, Polyurethane Coated Gloves, Touch Screen, Salt and Pepper, Size 8, M, 2-Pair",B08DDZ34C9,True,False,4.5,366
1,"Foam Latex Coated Winter Gloves, Acrylic Liner Fiber, Touch Screen, Size 9, 6-Pair",B08DDZC459,True,False,4.3,316
2,"Amazon Basics 13 gauge HPPE shell, ECO-latex palm coated 1 pair Size 8,M, 1-pair",B08DDY92M8,True,False,4.4,409
3,"Amazon Basics 15 gauge polyester nitrile fully coated, sandy nitrile palm coated outer Size 8,M, 2-pair",B08DDZ1NXD,True,False,4.5,447
4,"Amazon Essentials Unisex Adults' Knit Hat, Scarf and Gloves Set, Multipacks",B09RNDGTL3,True,False,4.5,52
5,"AmazonCommercial 13G SilverSilk & Sandy Nitrile Gloves with Impact Protection (Grey/Black), Size M, 3-Pairs",B08C8LK62H,True,False,4.3,248
6,"AmazonCommercial 18G Goldsilk & Sandy Nitrile Gloves with Impact Protection on Back (Blue/Black), Size XL, 6-Pairs",B08C8WMHL3,True,False,4.6,335
7,Amazon Essentials Disney | Marvel | Star Wars Women's Fleece Full-Zip Hoodie Sweatshirts (Available in Plus Size),B09G3DHM8H,True,False,4.6,395
8,Amazon Essentials Disney | Marvel | Star Wars Women's French Terry Fleece Jogger Sweatpants,B09G39BF2W,True,False,4.6,816
9,"AmazonCommercial 13G Goldsilk & Foam Nitrile Gloves with Impact Protection (Orange/Black), Size M, 3-Pairs",B08C8QP43G,True,False,4.2,219
10,Amazon Basics Leather Barbell Gymnastics Grip - Medium,B07SR9SLTY,True,False,3.3,6
11,"Simple Joys by Carter's Unisex Baby Mittens, Pack of 6",B08XW9CSNZ,True,False,4.2,563
12,"AmazonCommercial 13G Goldsilk & PU Coated Gloves (Salt & Pepper/Black), Size XL, 3 Pairs",B07TFX18DL,True,False,4.3,224
