rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Glow in The Dark Golf Balls Light up Led Golf Balls Night Golf Gift Sets for Men Kids Women,B083SDLCPD,False,True,4.3,5439
1,Golf 2021 Supersoft Golf Balls (One Dozen),B08TF1TTB8,False,False,4.8,17410
2,2021 TaylorMade Distance+ Golf Balls,B08QSL9XQW,False,False,4.6,5061
3,Callaway Golf 2023 Supersoft Golf Balls (One Dozen),B0BWZ26PZT,False,False,4.8,2884
4,Titleist TruFeel Golf Balls,B09MG9LJ42,False,False,4.8,3803
5,WILSON Profile Distance Golf Ball 36 pack,B07VTWXBBS,False,False,4.7,2671
6,"TaylorMade Noodle 22 Long & Soft 15bp, Extra Stiff, Right",B09F5FN7DT,False,False,4.7,426
7,Callaway Warbird Golf Balls,B0BMHZPL1Z,False,False,4.7,5111
8,Nitro Ultimate Distance Golf Ball (15-Pack),B00JJQQK64,False,False,4.6,6524
9,Titleist Velocity Golf Balls,B09MG873G1,False,False,4.7,2095
10,"Golf Rangefinder with Slope, 1200 Yards Laser Range Finder Golfing, 7X Magnification, Flag Pole Locking Vibration, Rechargeable Range Finders with Magnet Stripe",B0BVFP6KXC,False,True,4.5,406
11,WELLPUTT - Golf Putting Training Mat - 10ft First,B0789N178L,False,True,4.5,109
12,"AOFAR GX-2S Golf Rangefinder with Slope and Angle Switch, Flag-Lock with Vibration, 600 Yards Distance Measuring Range Finder, 6X 25mm Waterproof, Carrying Case, Free Battery, Gift Packaging",B07SQXKPW2,False,True,4.4,1960
13,"Trust Panther,Extra Thin Urethane Cover with Max COR Big Core,Soft & Elasticity Feel, Green Side Control with Distance",B0CBJJ4DNS,False,True,4.5,40
14,Pro V1 Golf Balls (One Dozen),B0BPF2D5P9,False,False,4.8,1007
15,"Reload Recycled Golf Balls (24-Pack) of Callaway Golf Balls, One Size, White",B00KXNUI7E,False,False,4.1,1334
16,Nitro Maximum Distance Golf Ball (12-Pack),B00HB083SI,False,False,4.6,4645
17,"Nitro Golf Crossfire 45 Ball Pack Golf Balls, White",B07GNWD6NP,False,False,4.6,2185
18,Pro V1 Golf Balls (One Dozen),B0BPF163NG,False,True,4.8,1007
19,Damipow Premium Golf Shirts for Men Dry Fit Performance Polo Short Sleeve Collared Shirt,B0BRPTB11G,False,True,4.6,728
20,Junkin 80 Pcs Foam Golf Practice Balls Realistic Feel and Flight Training Sport Balls Elastic Soft Foam Golf Balls for Indoor or Outdoor Backyard Training,B0BV1CMPJP,False,True,4.4,26
21,Automatic Ball Return Golf Net for Backyard Driving - - Golf Net Includes Protective Weather Cover  - - Durable 5 Layer Golf Netting - - Golf Net with Hitting Mat - - 10FT X 7FT Golf Net Outdoor Size,B0C6CYNH1G,False,True,5.0,3
22,Hex Soft Golf Balls White,B07NPMVGQD,False,False,4.7,3149
23,Vice Drive Golf Balls,B00JXHZC72,False,False,4.6,1693
24,"Kirkland Signature Golf Ball Mix - 12 Near Mint Quality Used Kirkland Golf Balls (AAAA Signature Ksig 3-Piece 4-Piece Golfballs), White, One Size (12GNBX-Kirkland-2), 12 count (Pack of 1)",B07HDBNZQB,False,False,4.3,1384
25,Callaway ERC Triple Track Golf Balls 12B PK,B08T4Q5N8V,False,False,4.8,3244
26,WELLPUTT - Golf Putting Training Mat - 10ft Start 2.0,B0789WHQY8,False,True,4.4,194
27,"Golf Balls (Medium) - Longest Distance Golf Ball, 1 Dozen(12 Balls)",B0BKGKL9LB,False,True,3.0,5
28,"Golf Ball Markers with Hat Clips Value Sets for Men Women Golfer, Removable Attaches Easily to Golf Cap Premium Gifts",B081JTK8V8,False,True,4.7,1845
29,Callaway Golf 2022 Chrome Soft Golf Balls,B09KNWW38P,False,False,4.7,1522
30,Pinnacle Rush White 15-Ball,B0BVG8DQVR,False,False,4.8,31
31,"2021 e12 Contact Golf Balls, White, 2021 Model, One Size, 12 count (Pack of 1)",B08VSB9SXM,False,False,4.6,5840
32,Soft Feel Prior Generation Golf Balls,B08HPDCJST,False,False,4.7,4024
33,Pro Plus Golf Balls (Package May Vary),B01552S9R8,False,False,4.7,4761
34,Wilson Chaos Golf Balls,B08GVGM8HG,False,False,4.6,1308
35,"BRIDGESTONE 2021 e6 Golf Balls (One Dozen), White",B08W2C8RLZ,False,False,4.7,3465
36,TaylorMade 2022 Tour Response,B09LZNQG9V,False,False,4.6,1472
37,TaylorMade Golf Rocketballz 36 Ball Pack,B09MZX8P52,False,False,4.7,497
38,2021 Taylormade TP5X Golf Ball,B08QSMGLBL,False,False,4.8,1496
39,Titleist Tour Soft Golf Balls (One Dozen),B09XFL47F1,False,False,4.7,940
40,Tour Golf Balls,B018ITO9WY,False,False,4.7,3808
41,MIZUNO RB 566 and 566V GOLF BALL,B0C9VMFQXR,False,False,4.8,72
42,WILSON Staff Zip Golf Balls (Pack of 24),B004MXIR6K,False,False,4.4,1993
43,Wilson Smart Core Golf Ball - Pack of 24 (White),B003RPXXMM,False,False,4.6,2815
44,Taylor Made Rocketballz Speed,B09MZVDBDW,False,False,4.6,753
45,Pro V1x Golf Balls (One Dozen),B0BPDZKBDR,False,False,4.7,568
46,Nitro Long Distance Peak Performance Golf Balls (15PK) All Levels White Out 70 Compression High Velocity White Hot Core Long Distance Golf Balls USGA Approved-Total of 15-Yellow,B00JJQQI52,False,False,4.6,1045
47,Nitro Crossfire 45 Ball Pack - Orange,B085H215KP,False,False,4.5,75
48,Titleist Pro V1 Golf Balls Prior Generation (One Dozen),B08MGW8G7S,False,False,4.8,9731
49,Long Distance Peak Performance Golf Balls (15PK) All Levels-Nitro White Out 70 Compression High Velocity White Hot Core Long Distance Golf Balls USGA Approved-Total of 15-Multi-color,B00JJQQM0S,False,False,4.7,1066
50,Wilson Golf Tour Velocity 15 Golf Ball Pack,B07JNVDBHN,False,False,4.6,606
51,Q-Star Tour Divide Golf Balls,B08R6LV1H4,False,False,4.7,1804
52,Nitro Crossfire 45 Ball Pack - Yellow,B085H285F2,False,False,4.6,594
53,Bridgestone 2023 e6 White Golf Ball-Dozen,B0BN4PJRXR,False,False,4.7,128
54,Nitro Glycerin Golf Balls 15-Pack,B07GP14BRR,False,False,4.7,3238
55,Staff Duo Soft Golf Balls - 12 Pack,B0BRQR1JMN,False,False,4.7,142
56,"2023 Bridgestone Golf e12 Contact Golf Balls, White",B0BN4MY66J,False,False,4.6,213
57,"PG Callaway Golf Ball Mix - Great Callaway Styles! 50 Mint Quality Used Callaway Golf Balls (AAAAA Premium Reload Callaway Golfball Mix), White",B0888V671R,False,False,3.8,789
58,100 Ball Mesh Bag Hit Away Practice Used Golf Balls,B00CZD1JYQ,False,False,4.1,1941
59,2021 Taylormade TP5 Golf Ball,B091G5RW1Q,False,False,4.8,1383
