rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon Basics Portable Driving Practice Golf Net,B07BLBSK5F,True,False,4.3,1393
1,Amazon Basics Medicine Ball for Workouts Exercise Balance Training,B00R3N712M,True,False,4.8,13651
2,Golf Swing Trainer,B09N3HZK2J,True,False,4.6,199
3,Men's Straight-Fit Stretch Golf Pant,B07HJ64JGM,True,False,4.3,10792
4,Soft-Sided Golf Travel Bag,B01I2BWSM6,True,False,4.7,3695
5,Amazon Essentials Unisex Baseball Cap,B07YGK128R,True,False,4.3,1125
6,Men's Classic-Fit Stretch Golf Pant (Available in Big & Tall),B07HJ4M2W6,True,False,4.3,17667
7,"365 by Whole Foods Market, Organic Mini Cheese Sandwich Crackers 8 Count, 1 Ounce",B07PH2K9TN,True,False,4.5,5363
8,Amazon Basics Portable Driving Practice Golf Net,B07C8P5M3L,True,False,4.3,1393
9,Amazon Essentials Men's Slim-Fit Stretch Golf Pant,B07K3HPX13,True,False,4.3,15139
