rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,FIORETTO,B0BHSWZV4G,False,True,4.1,96
1,FIORETTO,B0BCFJMQ3B,False,True,4.4,581
2,Vankor,B0BLGS16J9,False,True,4.7,702
3,Laripwit,B09ZDR15VB,False,True,4.5,1575
4,Under Armour,B093LPX4G1,False,False,4.8,7288
5,FocusGear,B07GSJ45CF,False,False,4.7,16222
6,adidas,B087LYS4MV,False,False,4.8,8906
7,adidas,B087LQ9B4D,False,False,4.8,6247
8,SOAEON,B099RNQTBQ,False,False,4.7,1009
9,RBX,B0C83DGHDT,False,False,4.7,9
10,ETRONIK,B09W2G325H,False,True,4.6,6867
11,Eslcorri,B0C133P4Z6,False,True,4.5,83
12,WISEPACK,B0BZRMQR8V,False,True,4.8,1060
13,Goloni,B0BPD5RNQL,False,True,4.7,108
14,adidas,B07D9KJLFJ,False,False,4.7,3914
15,BEULPTN,B0B6PPKPP4,False,False,4.3,1056
16,BAGSMART,B0BN7TVPV1,False,False,4.6,163
17,WISEPACK,B0BBQRDGPF,False,False,4.8,1060
18,Lyweem,B09LV294SD,False,True,4.5,1107
19,IBFUN,B09GFDHCST,False,True,4.6,3631
20,VAKAER,B0BY8GTJ2R,False,True,4.6,96
21,KKXIU,B0C27V7SQQ,False,True,4.3,8
22,BAGSMART,B0BN7TFFD4,False,False,4.8,184
23,BAGSMART,B0CC9DP6XW,False,False,4.6,5
24,MIYCOO,B0B97B33YN,False,False,4.5,1366
25,Suruid,B09QC8XTGY,False,False,4.4,437
26,Vorspack,B09ZD4QMZZ,False,False,4.3,487
27,Nike,B07KQTHCTX,False,False,4.8,2404
28,Hoedia,B0C5SPSRNG,False,False,4.3,78
29,adidas,B000CCZU1K,False,False,4.7,6760
30,WZCZZHA,B0BBSBJLJW,False,False,4.3,82
31,BASICPOWER,B0BPHFJLXC,False,False,4.0,29
32,Vorspack,B083FMWQV6,False,False,4.4,5685
33,sportsnew,B0C4FCHB8X,False,False,4.6,170
34,Vankor,B0BLGB3XMV,False,False,4.7,702
35,BALEINE,B091XPJFG8,False,False,4.5,6205
36,Ceneda,B09XXDV8NZ,False,False,4.4,415
37,WANDF,B0B4JMW9QG,False,False,4.6,913
38,BAGSMART,B08DFGQ8K8,False,False,4.7,2682
39,sportsnew,B07X1XVP2X,False,False,4.4,16097
40,adidas,B073JPTBNR,False,False,4.7,2274
41,BAGSMART,B0C4KJJ8W3,False,False,4.3,27
42,PUMA,B08YS4ZXD9,False,False,4.7,1534
43,Under Armour,B09WCT9MM8,False,False,4.8,8
44,adidas,B00GV47ZGQ,False,False,4.8,28435
45,Felipe Varela,B09C7WQ123,False,False,4.3,5625
46,sportsnew,B08R6RNT3H,False,False,4.4,1377
47,Laripwit,B09ZDR15VB,False,False,4.5,1575
48,ETRONIK,B09W2G325H,False,False,4.6,6867
49,BeeGreen,B07T87YQZL,False,False,4.6,12701
50,RBX,B0C8367CBS,False,False,4.0,5
51,ETRONIK,B0C8B6M572,False,False,4.8,37
52,CANWAY,B07KSYH2Y9,False,False,4.7,8065
53,HOLYLUCK,B072PR2ND1,False,False,4.7,11825
54,coofay,B09ZRZRGZ3,False,False,4.5,623
55,HYC00,B07YS438FV,False,False,4.7,29575
56,SHAIDOJIO,B0BKZ2XDNB,False,False,4.1,7
57,Moulyan,B0987RZJN3,False,False,4.6,1281
58,SEAFEW,B0B4Z39C2G,False,False,4.6,1161
59,SENGTER,B08M8Y2BRY,False,False,3.9,4
