rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"6 Pack Square Claw Clips for Women Girls, 3.5"" Medium Non-slip Rectangular Matte Claws Strong Jumbo Hair Styling Accessories for Thin Hair",B09K3RCSPG,False,True,4.7,5514
1,8 Pack Big Hair Claw Clips for Women Large Claw Clip for Thin Thick Curly Hair 90's Strong Hold 4.33 Inch Nonslip Matte Jumbo Hair Clips (8 Pcs),B0C39TFWD4,False,True,4.7,32302
2,"LuSeren Hair Clips for Women 4.3 Inch Large Hair Claw Clips for Women Thin Thick Curly Hair, Big Matte Banana Clips,Strong Hold jaw clips,Neutral Colors",B09Z7L79K6,False,True,4.8,10039
3,Hair Clips for Women – Wide Teeth & Double-Hinged Design – Alligator Styling Sectioning Clips of Professional Hair Salon Quality - 10Pack,B0BVZ9XYSS,False,True,4.7,35199
4,"24 Packs Duck Bill Clips, Bantoye 3.5 Inches Rustproof Metal Alligator Curl Clips with Holes for Hair Styling, Hair Coloring, Silver",B07D52FVNJ,False,False,4.6,22537
5,"6pcs 3.5 Inch Medium Large Claw Clips For Thick Hair, Big Hair Clip For Thin Hair, Girls' Hair Clips Claw, Neutral Hair Clips for Women, Matte Square Hair Claws Clips For Hair",B09VKV43B8,False,False,4.7,4691
6,"Medium Claw Hair Clips for Women Girls, Matte 2"" Rectangle & 1.6"" Double Row Teeth Small Hair Claw Clips for Thin/Medium Fine Hair, Jaw Clips Nonslip Clips (Beige, Khaki, Brown, Black)",B0BYP9MSMH,False,False,4.7,283
7,"8Pack 3.5 Inch Medium Hair Claw Clips for Women, Hair Clips for Thin Thick Curly Hair, Matte Non Slip Hair Clips for Girls",B0BRKF2TYN,False,False,4.7,184
8,"Medium Claw Hair Clips for Women Girls, 2"" Matte Rectangle Small Hair Claw Clips for Thin/Medium Thick Hair, Hair Jaw Clips Nonslip Clips (Warm color)",B09XM29XGF,False,False,4.7,3580
9,40 Pack Black 2 Inch Barrettes Women Metal Snap Hair Clips Accessories,B07RDHTDRM,False,False,4.7,13522
10,"Mehayi 20 PCS Macaron Pearl Acrylic Resin Fashion Hair Clips Set, Cute Hair Barrettes Bobby Pins, Boho Fancy Hairpin Accessories Headwear Styling Tools, Gifts for Women Girls Decorative Wedding",B08668FQ8Y,False,True,4.5,4589
