rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Bomber 8.0lb Bulk Halloween Candy Chocolate Individually Wrapped Mix. Individually Wrapped Bulk Halloween Fun Size Chocolates in a 8lb Box (8lb Fun Size),B09T6R7LJJ,False,True,3.9,546.0
1,Oozing Eyeballs Halloween Candy (36 Individually wrapped candies),B009ZCQ7V0,False,True,3.8,153.0
2,"Nerds Favorites Trick or Treat Assorted Candy, 90 Count | Individually Wrapped Halloween Candy | Big Chewy, Grape & Strawberry, Gummy Clusters",B0BP2Y11WV,False,True,4.7,474.0
3,Assorted Chocolate Candy Variety Pack - 5 Lb - Bulk Candy Chocolate Mix - Chocolate Candy Bulk - Assorted Hershey Chocolate - Bulk Individually Wrapped Chocolate - Candy Chocolate Assorted Candy,B0BWGBVPSB,False,True,3.2,192.0
4,"Skittles LIFE SAVERS Gummy, STARBURST Duos and Original & SKITTLES Wild Berry and Original Fun Size Chewy Bulk Halloween Candy Assortment - 97.68oz/315 pieces",B08Y728XP6,False,False,4.7,3424.0
5,"Butterfinger, CRUNCH, Baby Ruth and 100 Grand, 140 Count Candy Variety Pack, Assorted Mini and Fun Size Chocolate Bars, Trick or Treat Candy, 55.7 oz",B097QMCPFG,False,False,4.6,1147.0
6,"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars",B0017L4PH0,False,False,4.8,97422.0
7,"M&M'S, SNICKERS, TWIX, MILKY WAY & 3 MUSKETEERS Bulk Halloween Candy Assortment - 104.27oz/365ct",B0949MBVT9,False,False,4.6,3480.0
8,"REESE'S Assorted Milk Chocolate Peanut Butter Snack Size Shapes Candy, Halloween, 9.6 oz Variety Bag",B08WKPDGWV,False,False,4.1,427.0
9,"SOUR PATCH KIDS & SWEDISH FISH Mini Halloween Candy Variety Pack, 100 Trick or Treat Bags",B0BPX2X4DC,False,False,4.6,16.0
