rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Hauntlook,B07W7KVMBT,False,True,4.3,382.0
1,WISHTEN,B0CHQJLQTC,False,False,3.7,15.0
2,STONCH,B099HVSWSF,False,False,4.3,2071.0
3,Autek,B09C65B6GV,False,False,4.1,175.0
4,Spooktacular Creations,B07GRRX57T,False,False,4.5,1154.0
5,Poptrend,B07SNW2QFG,False,False,4.5,2752.0
6,CR ROLECOS,B07HGYTKTK,False,False,4.4,386.0
7,Sago Brothers,B0C7T8317B,False,False,4.4,383.0
8,TOLOCO,B01HWNN32E,False,False,4.5,6328.0
9,amscan,B07FBT9K2J,False,False,4.4,212.0
10,CLARIDGE,B0CG95158H,False,False,,
11,URATOT,B09TNTBFYB,False,False,4.4,569.0
12,YEAHBEER,B08D8X8P73,False,False,4.6,1069.0
13,N\C,B09CM7XSG7,False,False,4.3,466.0
14,KOFECIT,B0C9JB1LTK,False,False,4.2,29.0
15,SATINIOR,B0B2VYBWY9,False,False,3.9,116.0
16,TOLOCO,B01HWNN32E,False,True,4.5,6328.0
17,Akivide,B0CFXXZZHJ,False,True,3.8,7.0
18,Bodysocks Fancy Dress,B073PDC3SF,False,True,4.3,165.0
19,Afoxsos,B08NVK9HH1,False,True,4.1,702.0
20,Disguise,B004U7L94K,False,False,4.3,1302.0
21,Vlinsha,B0C9SS86MB,False,False,5.0,9.0
22,Basysin,B0CBKD8929,False,False,4.7,12.0
23,Spooktacular Creations,B096LYJHMM,False,False,4.2,2124.0
24,JOOLAND,B08CD2BNF8,False,True,4.4,105.0
25,Bodysocks Fancy Dress,B01KTB8VJQ,False,True,4.0,274.0
26,Spooktacular Creations,B0989QS8BD,False,True,4.0,584.0
27,Aoibox,B08N4NB92Y,False,True,4.1,313.0
28,ADHOWBEW,B0CBR7ZC1Z,False,False,2.5,14.0
29,HooLing,B0C9TZ8HRH,False,False,1.0,1.0
30,Leg Avenue,B001CVG33E,False,False,4.4,3731.0
31,Spooktacular Creations,B0C7CB3SCL,False,False,,
32,MOYACA,B09ZY7WY8P,False,True,4.3,430.0
33,Hauntlook,B08GF2J57C,False,True,4.5,83.0
34,ArtCreativity,B08Z9WY4JM,False,True,3.8,62.0
35,Spooktacular Creations,B0C85DCJ8S,False,False,5.0,1.0
36,Tibeha,B0B6FR49MM,False,False,4.4,502.0
37,Rubie's,B002PBT23S,False,False,4.4,1254.0
38,Spooktacular Creations,B08DHDWS2T,False,False,4.2,836.0
39,Spooktacular Creations,B08BWM3T1V,False,False,4.2,1482.0
40,KOOY,B09ZQV2ZHW,False,False,4.6,539.0
41,FOCUSOUL,B07X39QBXN,False,False,4.5,760.0
42,VORLITS,B0BTN3ZL8P,False,False,4.5,147.0
43,Alphatool,B0C77HYMBR,False,False,4.1,103.0
44,Loscola,B0C5TBDLTH,False,False,4.6,156.0
45,AOBUTE,B0B4W5JQSX,False,False,4.5,146.0
46,Spooktacular Creations,B07WGJGRXZ,False,False,4.4,1610.0
47,Rubie's,B00CEAB8BY,False,False,4.3,2784.0
48,Leg Avenue,B072B8LGP1,False,False,4.4,3585.0
49,EmaxDesign,B00WHUNTWM,False,False,4.3,3973.0
50,Leg Avenue,B00UM43KP6,False,False,4.4,1022.0
51,Disguise,B09BS3R9S4,False,False,4.7,342.0
52,CosplayDiy,B08HS3TWW9,False,False,4.5,694.0
53,Leg Avenue,B00BTPPR26,False,False,4.4,2794.0
54,Morph,B0C62C9GPR,False,False,5.0,1.0
55,AMOR PRESENT,B0C3Z116X2,False,False,4.2,201.0
56,The Children's Place,B094YV9M77,False,False,4.4,648.0
57,Feelin Good Tees,B015G0F9VI,False,False,4.6,8353.0
58,Lumiparty,B0B2ZF8CVK,False,False,4.9,20.0
59,Rubie's,B00MGJHZTC,False,False,4.6,6230.0
