rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Funflatable Giant 10 FT Halloween Inflatables Clown Archway Outdoor Decorations, Scary Halloween Arch Blow Up Yard Decorations for Front Yard Lawn Garden Decor",B0CDCJYLK9,False,True,5.0,4.0
1,"Funflatable 8.5 FT Giant Halloween Inflatables Cuddling Skeleton Couple Lovers Outdoor Decorations, Halloween Blow Up Yard Decorations with Built-in LED Lights for Yard Lawn Garden Decor",B0CDCJ1J6S,False,True,5.0,4.0
2,"Funflatable 6 FT Halloween Inflatables Skeleton Black Cat and Dog Day of The Dead Outdoor Decorations, Inflatable Halloween Blow Up Yard Decorations with Built-in LED Lights for Yard Lawn Garden Decor",B0CDCDQHT6,False,True,3.0,1.0
3,"Funflatable Halloween Inflatables Giant 12.5 FT Haunted House Castle Archway Outdoor Decorations, Large Halloween Arch Blow Up Yard Decorations for Front Lawn Garden Decor",B0CFXQZM3L,False,True,,
4,"GOOSH 6 FT Height Halloween Inflatables Outdoor Spider with Magic Light, Blow Up Yard Decoration with LED Lights Built-in for Holiday/Party/Yard/Garden",B07WTYBVCS,False,False,4.6,796.0
5,MGparty 8FT Halloween Inflatables Decorations Ghost Cat Pumpkin Outdoor Halloween Decor with Build-in LEDs Blow Up Inflatable for Halloween Party Holiday Indoor Outdoor Garden Lawn Yard Decorations,B0B3DGRTSC,False,False,4.5,106.0
6,"TOLOCO 12 FT Halloween Inflatable, Inflatable Halloween Decorations Outdoor, Outdoor Halloween Decorations, Halloween Outdoor Decorations, Halloween Inflatables Outdoor Decorations with LED Lights",B0B9XFK4Z4,False,False,4.4,341.0
7,"GOOSH 8.5 FT Width Halloween Inflatable Spider Outdoor Decoration with Magic Light, Blow Up Yard Inflatables Holiday Inflatables for Outdoor Yard Garden Lawn Decor",B07XH1BXYJ,False,False,4.6,857.0
8,"Joiedomi 10 FT Long Halloween Inflatable Pumpkin with Witch's Cat, 8 Pcs Blow Up Pumpkin with Built-in LEDs for Halloween Outdoor Decoration Yard Garden Lawn Outside Holiday Party Decoration",B0C7GSF5C9,False,False,5.0,1.0
9,COMIN 5.3 FT Halloween Inflatables Ghost Outdoor Decorations Blow Up Yard with Built-in LEDs for Indoor Party Garden Lawn Decor,B0C4XMG86W,False,False,4.0,1.0
10,Halloween Outdoor Decorations Yard Signs - 5PCS Halloween Lighted Skeleton Black Cat Decoration Battery Powered with Stakes Spooky Scary Halloween Outdoor Decor Yard Lawn Garden Sign,B0CFDP3KDW,False,True,4.4,110.0
11,"Halloween Inflatables Outdoor Decorations with LED Lights, Halloween Inflatables Pumpkin with Witch Cat Decoration Cute Halloween Blow Up Yard Decorations for Holiday Party Lawn Yard Garden",B0CH8GM2F1,False,True,4.5,87.0
12,"TOLOCO 7 FT Halloween Inflatable, Inflatable Halloween Decorations Outdoor, Outdoor Halloween Decorations, Halloween Outdoor Decorations, Halloween Inflatables Outdoor Decorations with LED Lights",B0B4SMG6RH,False,True,4.4,341.0
13,"9.5 FT Halloween Inflatable Spider Outdoor Decorations for Yard, Giant Blow Up Yard Decoration with Build-in LED Magic Lights, Holiday Clearance Halloween Decorations Party Yard Garden Lawn",B0B84RRF5F,False,True,4.1,20.0
14,"Hourleey 5 FT Halloween Inflatables Outdoor Stacked Pumpkins with Witches Hat, Halloween Blow Up Yard Decorations with Built-in LED Lights for Indoor Outdoor Party Garden Lawn Holiday Decor",B096KFL2KC,False,False,4.5,404.0
15,"GOOSH 5.2FT Height Halloween Inflatables Decorations Outdoor Cute Skeleton Unicorn, Decor Blow Up Yard with LED Lights Built-in for Holiday Party Yard Garden",B08BC5PXXF,False,False,4.6,1713.0
16,"Joiedomi 8 FT Halloween Inflatable Scary Tree with Ghost, Pumpkin and Tombstone, Blow Up Inflatables with Build-in LEDs for Halloween Party Indoor, Outdoor, Yard, Garden, Lawn Decorations",B07W7M9LH8,False,False,4.2,700.0
