rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"ASPMIZ 2 Pieces Halloween Bathroom Rugs and Mats Set, Skeleton Bathroom Rug Set of 2, Absorbent Memory Foam Bath Mats Non Slip, Washable Shower Rug for Halloween Decorations, 32'' x 20'' + 24'' x 16''",B0C5XHFW69,False,True,1.0,1
1,Halloween Ends,B0B8P4F694,False,False,4.1,2816
2,Halloween,B09L2NZ5GK,False,False,4.7,29981
3,"Newhale 8 Modes Halloween Curtain String Lights with Spiders and Bats, USB Plug in Wall Lights Halloween Decorations for Indoor or Outdoor, Helloween Window Lights Decor with Remote Control",B0CFFFHFHX,False,False,4.8,5
4,Halloween,B07JDXGRGK,False,False,4.5,33671
5,Halloween,B009TGWFQI,False,False,4.6,17829
6,Akivide Halloween Hoodie for Women Long Sleeve Pullover Drawstring Hooded Graphic Sweatshirts Shirts with Pocket Plus Size,B0CFXXZZHJ,False,True,3.8,7
7,Laqeyko Cute Pajamas for Women Shorts Set Short Sleeve Tops and Shorts Pjs Sets Nightwear Sleepwear,B09DYCVYQV,False,False,4.0,343
8,Halloween Kills Extended Cut,B09KV9Y6DG,False,False,4.3,9524
9,Halloween,B018A5RPYU,False,False,4.7,29981
10,"Halloween Table Runner Spider Web Table Runner Spiderweb Table Runner Black Lace Table Runner Halloween Runner for Tables Halloween Table Centerpiece Decoration Goth Kitchen Dining Decor, 18 x 72 Inch",B0C5SVS9CT,False,False,4.8,33
11,"Halloween Hanging Ghosts Decorations 3 Packs | 1 Pack 59"" Large Skeleton Ghost & 2 Packs 35.5"" Medium Ghosts | Grim Reapers with Red Eyes | Halloween Indoor Outdoor Decorations",B0CB5XJMBR,False,True,4.0,12
12,Halloween II,B0034OS844,False,False,4.6,5399
13,Halloween VI: The Curse of Michael Myers,B009653B7E,False,False,4.6,2932
14,Halloween II,B0044WQHYI,False,False,4.7,12717
15,Tales of Halloween,B016PILW8Y,False,False,4.0,1304
16,"Lecone 6 Ft 54 LED Halloween Willow Vine Lights Decor Garland with Pumpkins & Bats, Orange and Purple Halloween Lights Battery Operated & USB, Halloween Indoor Lights with Timer 8 Modes Waterproof",B0CHDZR8X5,False,True,3.9,32
17,Halloween 4: The Return of Michael Myers,B010NDXDKM,False,False,4.6,5476
18,Halloween H20: 20 Years Later,B009AGRE5O,False,False,4.6,6523
19,"Spider Web 300 Sqft Halloween Spider Web Decoration,Super Stretchy Cobwebs Spider Webs with 20 Fake Spiders,Halloween Decorations Indoor,Outdoor, Courtyard, Lawn,Porch, Haunted House",B0CJ4NVVK8,False,False,4.4,50
20,"50"" Animated Hanging Winged Grim Reaper with LED Eyes Halloween Decoration",B08HVNQP8H,False,True,4.4,2
21,"BAOLYDA Halloween Decorations, 6 Pack Skeleton Hands Hold Lighted Candle Light Stakes, Waterproof Candle Light Stakes for Tabletop, Indoor Outdoor Party, Lawn Yard Garden (Oval)",B0CB4JCTZR,False,True,3.7,22
