rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,Amazon.com eGift Card,B07HHV6X53,False,False,4.8,870843
1,"Simple Joys by Carter's Toddlers and Baby Boys' Halloween Long-Sleeve Tees, Pack of 2",B0795Y3T2F,True,False,4.8,3247
2,Simple Joys by Carter's Unisex Toddlers and Babies' 3-Piece Snug-Fit Cotton Halloween Pajama Set,B083XGM5C5,True,False,4.8,1172
3,"Amazon Essentials Disney | Marvel | Star Wars Babies, Toddlers, and Boys' Pajama Set (Previously Spotted Zebra), Multipacks",B09QQWC12P,True,False,4.7,3313
4,"Simple Joys by Carter's Babies, Toddlers, and Boys' 6-Piece Snug-Fit Cotton Pajama Set, Multipacks",B09VVSK9Z4,True,False,4.8,37188
5,"365 by Whole Foods Market, Orange Colored Sugar, 3.3 Ounce",B07NRY92MT,True,False,4.7,258
6,"365 by Whole Foods Market, Chocolate Sprinkles, 2.75 Ounce",B07D6SXF1C,True,False,4.6,1208
7,"Amazon Essentials Disney | Star Wars | Princess Baby Girls' Cotton Coveralls, Pack of 3",B09G3P7HQZ,True,False,4.7,292
8,Amazon Essentials Holiday Family Matching Pajama Sets,B0BG87VLR6,True,False,4.3,371
9,Amazon Essentials Disney | Marvel | Star Wars | Princess Women's Fleece Pullover Hoodie Sweatshirts (Available in Plus Size),B08WY3HQVZ,True,False,4.7,1530
10,"365 by Whole Foods Market, Purple Decorating Sugar, 3.3 Ounce",B07NRRGMP1,True,False,4.7,338
11,"Simple Joys by Carter's Toddlers and Baby Boys' Snug-Fit Footed Cotton Pajamas, Pack of 3",B0744PTVDF,True,False,4.7,43828
12,Amazon Essentials Disney Holiday Family Pajama Sets,B0BG7NDZ5B,True,False,4.6,2217
13,"365 by Whole Foods Market, Green Decorating Sugar, 3.3 Ounce",B07NRDZRQ8,True,False,4.6,239
14,Amazon Essentials Boys and Toddlers' Fleece Pullover Hoodie Sweatshirts,B08WK42H1Q,True,False,4.6,7205
15,"Amazon Essentials Unisex Toddlers and Babies' Snug-Fit Cotton Footed Sleeper Pajamas, Multipacks",B07QD7JQC5,True,False,4.6,5599
