rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics Original Fresh Liquid Hand Soap, 32 Fluid Ounce, Pack of 2 (Previously Solimo)",B089WRB791,True,False,4.5,14982.0
1,"Amazon Basics Antibacterial Liquid Hand Soap Refill, Light Moisturizing, Triclosan-Free, Citrus, 50 Fl Oz, 2-Pack (Previously Solimo)",B09HHBZXB7,True,False,4.4,19110.0
2,"Amazon Basics Liquid Hand Soap Refill, Mango & Coconut Water Scent, Triclosan-Free, 50 Fl Oz (Pack of 2)",B09HHBZX91,True,False,4.6,14912.0
3,"Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-free, 50 Fluid Ounces, 1-Pack (Previously Solimo)",B09HHDHXWX,True,False,4.6,24599.0
4,"Amazon Basics Liquid Hand Soap Refill, Milk and Honey Scent, Triclosan-free, 50 Fluid Ounces, Pack of 1",B09HHBV8CB,True,False,4.7,6639.0
5,"365 by Whole Foods Market, Hand Soap Foaming Mint Garden, 12 Fl Oz",B085D536Z3,False,False,4.6,900.0
6,"365 by Whole Foods Market, Hand Soap Liquid Anjou Pear, 12.5 Fl Oz",B085D4LM4G,False,False,4.3,704.0
7,"365 by Whole Foods Market, Soap Hand Foaming Lavender, 12 Fl Oz",B074HBXPSR,True,False,4.6,1439.0
8,"Amazon Aware Refillable Foaming Hand Soap Starter Kit, Reusable Glass Bottle with Silicone Sleeve, Lavender Scent, 8.5 oz Bottle + 3 Tablet Sachets",B09F39NPNS,True,False,4.1,197.0
9,"365 by Whole Foods Market, Outstanding Orange Kids Foaming Hand Soap, 12 Fl Oz",B08GGR5HLS,True,False,4.5,119.0
10,"365 by Whole Foods Market, Soap Hand Liq Frag Free, 12.5 Fl Oz",B074H64BVL,True,False,4.5,388.0
11,"365 by Whole Foods Market, Soap Hand Foaming Fragrance Free, 12 Fl Oz",B074H6K52R,True,False,4.6,759.0
12,"365 by Whole Foods Market, Hand Soap Liquid Lavender, 12.5 Fl Oz",B085D487P2,False,False,4.6,815.0
13,"365 by Whole Foods Market, Awesome Apple Kids Foaming Hand Soap, 12 Fl Oz",B08GGR96S8,True,False,3.9,59.0
14,"365 by Whole Foods Market, Herbal Mint Foaming Hand Soap, 12 Fl Oz",B074HBVVYM,True,False,4.7,277.0
15,"Amazon Brand - Presto! Biobased Hand Soap, Lime Mint Scent, 12 fl oz",B07ZHZ9CTW,True,False,,
