rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6 + 5G Cellular, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",B0BJM3KXM7,False,True,4.8,6096
1,"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",B09V3HN1KC,False,True,4.8,10650
2,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",B09G9FPHY6,False,False,4.8,135272
3,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",B0BJLT98Q7,False,False,4.8,6096
4,Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),B07D3DDJ4L,False,False,4.6,6719
5,"Apple iPad (10.2-Inch, Wi-Fi, 32GB) - Space Gray (Renewed)",B08264XHCZ,False,False,4.5,6555
6,"Early 2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",B07G9QNT6P,False,False,4.6,3565
7,"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",B09V3K2RS4,False,False,4.8,10650
8,"Amazon Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, includes 2-year worry-free guarantee, Kid-Proof Case, 32 GB, Purple",B0BLGFNV25,False,False,4.6,4369
9,"2020 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Silver (Renewed)",B08KHNGCWY,False,False,4.6,2733
10,"2017 Apple iPad (9.7 -inch, Wi-Fi + Cellular, 32GB)- Silver (Renewed",B078J5RGN4,False,False,4.5,2723
11,"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Denim",B096WJQNZ4,False,False,4.5,11369
12,"Apple iPad 9.7in with WiFi, 32GB 2017 Newest Model- Gold (Gold)(Renewed)",B074PXTP3B,False,False,4.5,1365
13,"2 in 1 Tablet, 10 inch Android 11 Tablet with Keyboard 4GB+64GB+512GB Expandable Dual Camera, IPS Screen Tablet Computer, WiFi, Bluetooth, Long Battery Life, Google Certified Tablet PC, Black",B0BVQSWJCL,False,False,4.1,129
14,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",B099Z8HLHT,False,False,4.5,9571
15,"2021 Apple iPad 9th Gen (10.2 inch, Wi-Fi + Cellular, 64GB) Space Gray (Renewed)",B09MMNDDQB,False,False,4.6,1339
16,"2018 Apple iPad (9.7-inch, WiFi + Cellular, 32GB) Gold (Renewed)",B07H9HJY21,False,False,4.5,1422
17,"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 128GB, Wi-Fi 6E + 5G Cellular, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray",B0BJLC9LXH,False,False,4.7,1357
