rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, includes 2-year worry-free guarantee, Kid-Proof Case, 32 GB, Purple",B0BLGFNV25,False,False,4.6,4369.0
1,"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Denim",B096WJQNZ4,False,False,4.5,11369.0
2,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",B099Z8HLHT,False,False,4.5,9571.0
3,"Amazon Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Lavender",B08F6B347L,False,False,4.6,119518.0
4,"Amazon Fire 7 Kids Tablet (2022) - ages 3-7. 2 year worry-free guarantee, 10-hr battery, ad-free content, parental controls, durable high-res screen, kid-proof case with kickstand, 16 GB, Blue",B0BLBLRLJB,False,False,4.5,11519.0
5,"Amazon Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, (2021 release), named ""Best Tablet for Big Kids"" by Good Housekeeping, Intergalactic",B0BLC62KB5,False,False,4.7,14654.0
6,"Amazon Fire HD 8 Kids Pro tablet, 8"" HD display, ages 6-12, 30% faster processor, 13 hours battery life, Kid-Friendly Case, 32 GB, (2022 release), Rainbow Universe",B09BG63ZMM,False,False,4.6,4219.0
7,"Certified Refurbished Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",B09JRPMQ58,False,False,4.4,137.0
8,"Introducing Amazon Fire Max 11 tablet, our most powerful tablet yet, vivid 11"" display, octa-core processor, 4 GB RAM, 14-hour battery life, 64 GB, Gray",B0B1VQ1ZQY,False,False,4.4,2284.0
9,"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Ocean",B0BL5XPDR6,False,False,,
10,"Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray",B099Z93WD9,False,False,4.5,2474.0
11,"Certified Refurbished Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, (2021 release), Black",B08F5LRHB4,False,False,4.5,5710.0
12,"All-new Amazon Fire HD 10 Kids Pro tablet - ages 6-12 | 10.1"" brilliant screen, parental controls, slim case | 2023 release, 32 GB, Happy Day",B0BL5C43SL,False,False,,
13,"Amazon Fire HD 10 Kids tablet, 10.1"", 1080p Full HD, ages 3–7, 32 GB, Sky Blue",B0BL91ZVHG,False,False,4.7,22024.0
14,"Fire HD 8 Plus tablet, HD display, 64 GB, (2020 release), our best 8"" tablet for portable entertainment, Slate, without lockscreen ads",B07VWXTFRY,False,False,4.5,43091.0
15,"Certified Refurbished - Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray",B09JRKG3LC,False,False,4.3,15.0
