rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"SUPFINE Magnetic for iPhone 13 Pro Max Case [Compatible with MagSafe] [10 FT Military Grade Drop Protection] 2X [ Tempered Glass Screen Protector+Camera Lens Protector] Non-Slip Phone Case, Black",B0BN5SHC6L,False,True,4.5,1345
1,"Diaclara Designed for iPhone 13 Pro Max Case [2023 New] Full Body Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, Shockproof Phone Case for iPhone 13 Pro Max 6.7"" (Acacia Green)",B0C7GVC3QF,False,True,4.5,235
2,"SPOBIT Compatible with iPhone 13 Pro Max Case for Women Girls, Love Heart Stitching Multicolor, Full Camera Lens Protection Case for iPhone 13 Pro Max with Anti-Scratch Microfiber Lining - Light Blue",B09YH88PK7,False,False,4.4,205
3,"OtterBox iPhone 13 Pro Max & iPhone 12 Pro Max Symmetry Series Case - BLACK, Ultra-Sleek, Wireless Charging Compatible, Raised Edges Protect Camera & Screen",B09D57Z3DN,False,False,4.5,1527
4,"SUPFINE Magnetic for iPhone 13 Pro Max Case [Compatible with MagSafe] [10 FT Military Grade Drop Protection] 2X [ Tempered Glass Screen Protector+Camera Lens Protector] Non-Slip Phone Case, Black",B0BN5SHC6L,False,False,4.5,1345
5,"BossKiss Compatible with iPhone 13 Pro Max Case, Premium Liquid Silicone Case [Velvety Touch] [2 Pcs 9H Tempered Glass Screen Protector], Camera All-Round Protection Shockproof Kit Case, Hot Pink",B09YLRGNDC,False,False,4.6,1854
6,Amazon Basics Clear Soft TPU Smartphone Cover for iPhone 13 Pro Max,B099WZT3XW,True,False,4.4,2070
7,"Cordking Designed for iPhone 13 Pro Max Case, Silicone Ultra Slim Shockproof Protective Phone Case with [Soft Anti-Scratch Microfiber Lining], 6.7 inch, Midnight Green",B09BP26ZLR,False,False,4.6,9914
8,Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,B096J9ZSG1,False,False,4.5,33593
9,"ORETECH for iPhone 13 Pro Max Case, with [2 x Screen Protectors] [10 Ft Military Grade Drop Test] [Camera Protection] 360° Shockproof Slim Thin Phone Case iPhone 13 Pro Max Cover 6.7'' - Green",B0BRHWYNY3,False,False,4.3,2056
10,"TORRAS Magnetic for iPhone 13 Pro Max Case [Military Grade Drop Tested] [Compatible with MagSafe] Translucent Hard PC Soft Slim Tough Anti-Fingerprint Case for iPhone 13 Pro Max Phone Case, Black",B09YD9BDLX,False,False,4.7,2923
11,peafowl iPhone 13 Pro Max Case Compatible with iPhone 13 Pro Max Ultra-Thin Shockproof Metal car Paint Cases Full Body Screen Camera Protective TPU Phone Cover 6.7 inch (Pink),B0C8PLF6NW,False,True,4.4,123
12,"JETech Matte Case for iPhone 13 Pro Max 6.7-Inch, Shockproof Military Grade Drop Protection, Frosted Translucent Back Phone Cover, Anti-Fingerprint (Black)",B0BX2VXT5C,False,False,4.5,478
13,"AOTESIER Soft Silicone for iPhone 13 Pro Max Case, [Military Shockproof Protection] Anti-Scratch Microfiber Lining Flexible Bumper Phone Case, Ultra Slim Thin Cover, 6.7 inch, (Tea Green)",B0BWWT1WLH,False,False,4.4,166
14,"ORIbox Case Compatible with iPhone 13 Pro Max and 12 Pro Max, Heavy Duty Shockproof Anti-Fall Clear",B086CB1KYD,False,False,4.4,3454
15,"JUESHITUO Magnetic Metallic Glossy Clear for iPhone 13 Pro Max Case with Full Camera Cover Protection [No.1 Strong N52 Magnets] [Military Grade Drop Protection] for Women Girls Phone Case (6.7"")-Blue",B0BPS5JGKT,False,False,4.2,2117
16,"ULTIMAL Case Designed for iPhone 13 Pro Max 6.7 Inch Compatible with Magsafe, Rugged Shockproof Sporty Bumper Case with Lightweight Slim Design for Men (Green/Black)",B0BTSPHQZ2,False,True,4.5,216
17,"Teageo Compatible with iPhone 13 Pro Max Case for Girl Women Cute Love-Heart Luxury Bling Soft Cover Raised Camera Protection Bumper Silicone Shockproof Phone Case for iPhone 13 Pro Max, Bright Blush",B0CBWS71J5,False,False,4.4,1066
18,"FireNova for iPhone 13 Pro Max Case, Silicone Upgraded [Camera Protection] Phone Case with [2 Screen Protectors], Soft Anti-Scratch Microfiber Lining Inside, 6.7 inch, Light Brown",B0BJKLH6QW,False,False,4.5,706
19,"TAURI [3 in 1 Defender Designed for iPhone 13 Pro Max Case, with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector Shockproof Slim Cover Military Grade Drop Protection 6.7 Inch",B09C5SHCRH,False,False,4.6,67288
20,"MOSNOVO Compatible with iPhone 13 Pro Max Case, Cute Dinosaur [ Buffertech Impact ] Shockproof Protective Transparent TPU Bumper Clear Phone Case Cover Designed for iPhone 13 Pro Max 6.7""",B0BFKZ53SV,False,False,4.8,2502
21,"UEEBAI Wallet Case for iPhone 13 Pro Max 6.7 inch, Vintage Premium PU Leather Cover Flip Case with Card Slots Magnetic Closure Zipper Pocket Kickstand Handbag with Hand Strap - Burgundy",B09JCK3QZP,False,True,4.3,373
