rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"TAURI 5 in 1 Designed for iPhone 14 Case Clear, [Not Yellowing] with 2X Screen Protectors + 2X Camera Lens Protectors, [Military Grade Drop Protection] Shockproof Slim 14 Cover 6.1 Inch",B0B5TLRTZ5,False,True,4.6,20069
1,"TAURI 5-in-1 Magnetic for iPhone 13 Case for iPhone 14 Case [Designed for Magsafe], with 2X Screen Protectors +2X Camera Lens Protectors, [Not-Yellowing] Magnetic Phone Case for iPhone 13/14, Clear",B0BR9V7CCN,False,True,4.7,897
2,"TAURI 5 in 1 Designed for iPhone 14 Case Clear, [Not Yellowing] with 2X Screen Protectors + 2X Camera Lens Protectors, [Military Grade Drop Protection] Shockproof Slim 14 Cover 6.1 Inch",B0B5TLRTZ5,False,False,4.6,20069
3,"OtterBox IPhone 14 & IPhone 13 Commuter Series Case - DONT BE BLUE (Blue), Slim & Tough, Pocket-Friendly, with Port Protection",B0B7CBRCN8,False,False,4.8,581
4,"FireNova for iPhone 14 Case, Silicone Upgraded [Camera Protection] Phone Case with [2 Screen Protectors], Soft Anti-Scratch Microfiber Lining Inside, 6.1 inch, Light Brown",B0BGJ91M4Z,False,False,4.7,2416
5,"for iPhone 14 Case Silicone, with 2X Screen Protector + 2X Camera Lens Protector, [Soft Anti-Scratch Microfiber Lining], Liquid Silicone Shockproof Protective Phone Cover 6.1"", Stone",B0BZ89M9C4,False,False,4.7,656
6,"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",B099JVC9HL,False,True,4.7,16085
7,"SPIDERCASE Designed for iPhone 14 Case/iPhone 15 Case, [15 FT Military Grade Protection][Non-Slip] 2 Pack [Tempered Glass Screen Protectors+Camera Lens Protectors] Heavy Duty Shockproof Case, Black",B0B65KDHD9,False,False,4.6,1997
8,"JETech Cute Case for iPhone 14 6.1-Inch, Wave Frame Curly Shape Shockproof Phone Cover for Women and Girls, Clear Hard PC Back (Purple)",B0CDGFCB3D,False,False,4.5,31
9,"JETech Matte Case for iPhone 14 6.1-Inch, Shockproof Military Grade Drop Protection, Frosted Translucent Back Phone Cover, Anti-Fingerprint (Black)",B0BCNZ8JSL,False,False,4.6,1744
10,"JETech Case for iPhone 14 6.1-Inch, Non-Yellowing Shockproof Phone Bumper Cover, Anti-Scratch Clear Back (Clear)",B0B8RHKTXQ,False,False,4.7,5585
11,for iPhone 13 Case Protective Cover: iPhone 14 case Heavy Duty Military Grade Hard Protection Shock Proof Grip | Durable Dual-Layer Design iPhone 13-14 Phone Case with Built-in Kickstand Black,B09H6RBS34,False,True,4.2,3567
12,"Miracase Designed for iPhone 14 Case with Screen Protector,[Upgraded Enhanced Camera Protection],Shockproof Liquid Silicone Case with Microfiber Lining, 6.1 inch,Black",B0B84T6LMJ,False,False,4.6,844
13,"Diaclara Designed for iPhone 14 Case, Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector, with Camera Lens Protector for iPhone 14 6.1"" (Peri Purple)",B0B9786QF5,False,False,4.5,6250
14,"for iPhone 14 Case for Women Girl Cute Love Heart Luxury Electroplate Plating Soft Bling Back Cover Raised Full Camera Protection Bumper Silicone Shockproof Phone Case for iPhone 14, Lavender",B0BC1YQ7SS,False,False,4.6,526
15,"LUHOURI iPhone 14 Case with Screen Protector, Clear Fashion Designs Protective Phone Cover for Women Girls, Slim Fit Durable Phone Case for iPhone 14 6.1"" Little Ghosts",B0B9K4R5K2,False,False,4.5,623
16,"JETech Matte Case for iPhone 14 6.1-Inch, Shockproof Military Grade Drop Protection, Frosted Translucent Back Phone Cover, Anti-Fingerprint (Black)",B0BCNZ8JSL,False,True,4.6,1744
17,"TAURI 5-in-1 Magnetic for iPhone 13 Case for iPhone 14 Case [Designed for Magsafe], with 2X Screen Protectors +2X Camera Lens Protectors, [Not-Yellowing] Magnetic Phone Case for iPhone 13/14, Clear",B0BR9V7CCN,False,False,4.7,897
18,"JJGoo Compatible with iPhone 14 Case, Bling Sparkle Soft TPU Anti-Scratch Shockproof Protective Phone Bumper, Women Girls Cute Slim Sparkly Phone Case for iPhone 14, Clear Glitter",B0B84XWNQ7,False,False,4.5,458
19,"OtterBox iPhone 14 and iPhone 13 OtterGrip Symmetry Series Case - CHILL OUT (Green), built-in grip, sleek case, snaps to MagSafe, raised edges protect camera & screen",B0BXZ381R2,False,False,3.7,65
20,"ESR for iPhone 14 Case/iPhone 13 Case, Compatible with MagSafe, Shockproof Military-Grade Protection, Magnetic Phone Case for iPhone 14/13, Classic Hybrid Case (HaloLock), Clear",B099JVC9HL,False,False,4.7,16085
21,"JAME for iPhone 14 Case with Screen Protector [2 PCS], Shockproof Bumper Case for iPhone 14 Case for Women & Men, Heavy-Duty Protection with Metal Ring Kickstand Case for iPhone 14, Red",B0B45Q7DTR,False,True,4.5,535
