rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"Amazon Basics 15W Qi Certified Wireless Charging Pad (iPhone 14/13/12/11/X, Samsung) - with USB Cable (No AC Adapter), Black",B0872RLX6Z,True,False,4.2,2798.0
1,"Amazon Basics 10W Qi Certified Wireless Charging Stand (iPhone 14/13/12/11/X, Samsung) - with USB Cable (No AC Adapter), Black",B0874YN8B9,True,False,4.3,2215.0
2,"Amazon Basics 68W Two-Port GaN Wall Charger With 1 USB-C Port (50W) & 1 USB-A Port (18W) With Power Delivery For Laptops, Tablets & Phones (iPhone 14/13/12/11/X,iPad,MacPro,Samsung), (non-PPS), White",B087MDJ8BJ,True,False,4.5,4638.0
3,"Certified Refurbished Echo Show 15 | Full HD 15.6"" smart display with Alexa and Fire TV built in | Remote not included",B08X74Y8BJ,False,False,4.4,214.0
4,"Amazon Basics iPhone 13/13 Pro Bundle: Crystal Quartz Case (1-Pack), Screen Protector (2-Pack), USB-C Lightning Cable (White 6ft)",B09F3DH61Q,True,False,5.0,1.0
5,"Amazon Basics iPhone 13/13 Pro Bundle: Crystal Quartz Case (1-Pack), Screen Protector (2-Pack), USB-C Lightning Cable (Nylon Gray 6ft)",B09F3F4DY8,True,False,,
6,"Amazon Basics USB-C to Lightning Charger Cable, Nylon Braided Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, 6 Foot, Dark Gray",B07XLCFSSN,True,False,4.6,21338.0
7,"Amazon Basics Privacy-Tempered Glass Screen Protector for iPhone X / XS and 11 Pro - 5.8 Inch, 5.43"" x 2.56"", Anti Glare & Blue Light Filter",B086HHRMWX,True,False,4.1,3292.0
8,Amazon Basics iPhone 11 Crystal Mobile Phone Case (Protective & Anti Scratch) - Pink,B07XH93YRH,True,False,4.4,8895.0
9,"Amazon Basics Shockproof and Protective Case For iPhone 12 mini, Crystal Clear",B08KQRG2QS,True,False,4.6,976.0
10,Amazon Basics Clear Soft TPU Smartphone Cover for iPhone 13,B099X2T3FJ,True,False,4.4,2070.0
11,Amazon Brand - Denali 14-Piece Pilot Point Drill Bit Set with Carry Case,B09NYDWN31,True,False,4.4,228.0
12,"Amazon Basics Large Hard Rolling Camera Case, 22 x 14 x 9 Inches, Black, Solid",B01L0LVLLY,True,False,4.6,2335.0
